text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mynyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 01, Word: 0",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מינינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 01, Word: 1",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 01, Word: 2",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
twb,"Masekhet: 71034, Page: 002, Side: 2, Line: 02, Word: 0",a,,,,,twb,,,,again,,,,תוב,twb,adverb,again
h),"Masekhet: 71034, Page: 002, Side: 2, Line: 02, Word: 1",P,,,,,hˀ,,,,this (f.),,,,הא,h),P,this (f.)
dtnN,"Masekhet: 71034, Page: 002, Side: 2, Line: 03, Word: 0",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתנן,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
..;,"Masekhet: 71034, Page: 002, Side: 2, Line: 03, Word: 1",No data,,,,,,,,,,,,,;,None,No data,
mynyyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 03, Word: 2",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מיניינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 03, Word: 3",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 03, Word: 4",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
twb,"Masekhet: 71034, Page: 002, Side: 2, Line: 05, Word: 0",a,,,,,twb,,,,again,,,,תוב,twb,adverb,again
h),"Masekhet: 71034, Page: 002, Side: 2, Line: 05, Word: 1",P,,,,,hˀ,,,,this (f.),,,,הא,h),P,this (f.)
dtnN;,"Masekhet: 71034, Page: 002, Side: 2, Line: 05, Word: 2",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתנן;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
mynyyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 0",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מיניינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 1",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 2",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
l)pwqy,"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 3",p02,verb C,,,,l_,npq,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,לאפוקי,npq,preposition with pronominal suffix | verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
mdr',"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 4",No data,,,,,,,,,,,,,מדר',None,No data,
)ly(z',"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 5",No data,,,,,,,,,,,,,אליעז',None,No data,
bN,"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 6",No data,,,,,,,,,,,,,בן,None,No data,
y(q';,"Masekhet: 71034, Page: 002, Side: 2, Line: 06, Word: 7",No data,,,,,,,,,,,,,יעק';,None,No data,
d)';,"Masekhet: 71034, Page: 002, Side: 2, Line: 07, Word: 0",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דא';,)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
xm$h,"Masekhet: 71034, Page: 002, Side: 2, Line: 07, Word: 1",n01,,,,,ḥmš,,,,five,,,,חמשה,xm$),numeral singular absolute or construct,five
hwy;,"Masekhet: 71034, Page: 002, Side: 2, Line: 07, Word: 2",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי;,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
twb,"Masekhet: 71034, Page: 002, Side: 2, Line: 09, Word: 0",a,,,,,twb,,,,again,,,,תוב,twb,adverb,again
h),"Masekhet: 71034, Page: 002, Side: 2, Line: 09, Word: 1",P,,,,,hˀ,,,,this (f.),,,,הא,h),P,this (f.)
dtnN;,"Masekhet: 71034, Page: 002, Side: 2, Line: 09, Word: 2",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתנן;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
)hky,"Masekhet: 71034, Page: 002, Side: 2, Line: 12, Word: 0",X,,,,,"hkyn, ˀkyn",,,,"so, thus",,,,אהכי,hky,X,"so, thus"
tn),"Masekhet: 71034, Page: 002, Side: 2, Line: 12, Word: 1",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנא,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
d';,"Masekhet: 71034, Page: 002, Side: 2, Line: 12, Word: 2",No data,,,,,,,,,,,,,ד';,None,No data,
twb,"Masekhet: 71034, Page: 002, Side: 2, Line: 12, Word: 3",a,,,,,twb,,,,again,,,,תוב,twb,adverb,again
h),"Masekhet: 71034, Page: 002, Side: 2, Line: 12, Word: 4",P,,,,,hˀ,,,,this (f.),,,,הא,h),P,this (f.)
dtnN;,"Masekhet: 71034, Page: 002, Side: 2, Line: 12, Word: 5",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתנן;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
mynyyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 13, Word: 0",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מיניינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 0",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 1",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
m$wM,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 2",c,,,,,mšwm,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
