text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
p$yT';,"Masekhet: 71035, Page: 002, Side: 1, Line: 13, Word: 0",A01,,,,,pšyṭ,,,,simple,,,,פשיט';,p$yT,adjective singular absolute or construct,simple
m$wM,"Masekhet: 71035, Page: 002, Side: 1, Line: 13, Word: 1",c,,,,,mšwm,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
d$xTynwN,"Masekhet: 71035, Page: 002, Side: 1, Line: 14, Word: 0",c,verb G,,,,dy,šḥṭ,,,"to cut the throat, slaughter",,,,דשחטינון,$xT,conjunction | verb peal,"to cut the throat, slaughter"
"""bdrwM""","Masekhet: 71035, Page: 002, Side: 1, Line: 14, Word: 1",No data,,,,,,,,,,,,,בדרום,None,No data,
)pqynwN,"Masekhet: 71035, Page: 002, Side: 1, Line: 14, Word: 2",verb C,,,,,npq,,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,אפקינון,npq,verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
"""mydy","Masekhet: 71035, Page: 002, Side: 1, Line: 14, Word: 3",No data,,,,,,,,,,,,,מידי,None,No data,
"m(ylh"";","Masekhet: 71035, Page: 002, Side: 1, Line: 14, Word: 4",No data,,,,,,,,,,,,,מעילה;,None,No data,
hk),"Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 0",a,,,,,hkh,,,,here,,,,הכא,hk),adverb,here
nmy,"Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 1",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
"""qd$y","Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 2",No data,,,,,,,,,,,,,קדשי,None,No data,
"qd$y'""","Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 3",No data,,,,,,,,,,,,,קדשי',None,No data,
lgby,"Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 4",p01,,,,,"lgby, lgb",,,,"towards, next to",,,,לגבי,lgby,preposition independent,"towards, next to"
"""drwM""","Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 5",No data,,,,,,,,,,,,,דרום,None,No data,
kmh,"Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 6",c,,,,,kmh d_,,,,just as,,,,כמה,kmh@d_,conjunction,just as
dxnqynwN,"Masekhet: 71035, Page: 002, Side: 1, Line: 17, Word: 7",c,verb G,,,,dy,ḥnq,,,to strangle,w. reflexive pronoun : to hang oneself,to drown someone,,דחנקינון,xnq,conjunction | verb peal,to strangle | w. reflexive pronoun : to hang oneself | to drown someone
dmy;,"Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 0",verb G,,,,,dmy,,,,to be like,ptcp. :,,,דמי;,dmy,verb peal,to be like | ptcp. :
qm'l,"Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 1",verb C,,,,,šmˁ,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,קמ'ל,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
"""qd$yM","Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 2",No data,,,,,,,,,,,,,קדשים,None,No data,
"$mtw""","Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 3",No data,,,,,,,,,,,,,שמתו,None,No data,
l),"Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 4",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
xzw,"Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 5",verb C,,,,,ḥzy,,,,to show,:  to console,,,חזו,xzy,verb (h)aphel,to show | :  to console
kll;,"Masekhet: 71035, Page: 002, Side: 1, Line: 18, Word: 6",a,,,,,kll,,,,at all,,,,כלל;,kll,adverb,at all
lmh,"Masekhet: 71035, Page: 002, Side: 1, Line: 20, Word: 0",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly,"Masekhet: 71035, Page: 002, Side: 1, Line: 20, Word: 1",p02,,,,,l_,,,,"to, for",,,,לי,l_,preposition with pronominal suffix,"to, for"
lmytny,"Masekhet: 71035, Page: 002, Side: 1, Line: 20, Word: 2",p02,verb G,,,,l_,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,למיתני,tny,preposition with pronominal suffix | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
kl,"Masekhet: 71035, Page: 002, Side: 1, Line: 20, Word: 3",noun sg. abs. or construct,,,,,"kl, klˀ",,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
hny;,"Masekhet: 71035, Page: 002, Side: 1, Line: 20, Word: 4",P01,,,,,hny,,,,"these, those",,,,הני;,hny,preposition independent,"these, those"
crykN;,"Masekhet: 71035, Page: 002, Side: 1, Line: 20, Word: 5",A03,,,,,ṣryk,,,,poor; needy,,,,צריכן;,cryk,adjective plural absolute,poor; needy
w)y,"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 0",c,c,,,,w_,ˀy,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
tn),"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 1",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנא,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
hny,"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 2",P01,,,,,hny,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
hwh,"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 3",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)myn';,"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 4",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אמינ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
ymm),"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 5",N,,,,,"ˀymm, ˀymmˀ / ymm, ymmˀ",,,,daytime,,,,יממא,ymm),noun,daytime
"""zmN","Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 6",No data,,,,,,,,,,,,,זמן,None,No data,
"hqrbh""","Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 7",No data,,,,,,,,,,,,,הקרבה,None,No data,
hw);,"Masekhet: 71035, Page: 002, Side: 1, Line: 28, Word: 8",P01,,,,,hwˀ,,,,he,,,,הוא;,hw),preposition independent,he
"""hw)yl""","Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 0",No data,,,,,,,,,,,,,הואיל,None,No data,
wl)w,"Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 1",c,a,,,,w_,"lˀw, lw",,,"and, also","not, it is not",,,ולאו,l)w,conjunction | adverb,"and, also | not, it is not"
"""zmN","Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 2",No data,,,,,,,,,,,,,זמן,None,No data,
"hqrbh""","Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 3",No data,,,,,,,,,,,,,הקרבה,None,No data,
hw),"Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 4",P01,,,,,hwˀ,,,,he,,,,הוא,hw),preposition independent,he
km)N,"Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 5",c,,,,,kmh d_,,,,just as,,,,כמאן,km)n@d_,conjunction,just as
dxnqynwN,"Masekhet: 71035, Page: 002, Side: 1, Line: 30, Word: 6",verb G,,,,,ḥnq,,,,to strangle,w. reflexive pronoun : to hang oneself,to drown someone,,דחנקינון,xnq,verb peal,to strangle | w. reflexive pronoun : to hang oneself | to drown someone
dmy;,"Masekhet: 71035, Page: 002, Side: 1, Line: 31, Word: 0",verb G,,,,,dmy,,,,to be like,ptcp. :,,,דמי;,dmy,verb peal,to be like | ptcp. :
wl) )yt,"Masekhet: 71035, Page: 002, Side: 1, Line: 31, Word: 1",c,V,,,,w_,"lyt, l)yty",,,"and, also",there is/are not,,,ולא אית,lyt,conjunction | V,"and, also | there is/are not"
