text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
w)ytym',"Masekhet: 71016, Page: 002, Side: 1, Line: 13, Word: 0",c,verb Gt,,,,w_,ˀmr,,,to be said,"to be ordered, commanded",,,ואיתימ',)mr,conjunction | verb ethpeel,"to be said | to be ordered, commanded"
kdy;,"Masekhet: 71016, Page: 002, Side: 1, Line: 13, Word: 1",a,,,,,kdy,,,,"for nothing, of no value",,,,כדי;,kdy,adverb,"for nothing, of no value"
xswry,"Masekhet: 71016, Page: 002, Side: 1, Line: 13, Word: 2",verb D,,,,,ḥsr,,,,to make to lack,to harm,,,חסורי,xsr,verb pael,to make to lack | to harm
mxsr',"Masekhet: 71016, Page: 002, Side: 1, Line: 13, Word: 3",verb D,,,,,ḥsr,,,,to make to lack,to harm,,,מחסר',xsr,verb pael,to make to lack | to harm
whky,"Masekhet: 71016, Page: 002, Side: 1, Line: 13, Word: 4",c,X,,,,w_,"hkyn, ˀkyn",,,"and, also","so, thus",,,והכי,hky,conjunction | X,"and, also | so, thus"
qtny;,"Masekhet: 71016, Page: 002, Side: 1, Line: 13, Word: 5",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,קתני;,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
wlyprw$,"Masekhet: 71016, Page: 002, Side: 1, Line: 16, Word: 0",c,verb G,,,,w_,prš,,,to separate,to be(come) separated,to depart,"to specify, distinguish, clarify",וליפרוש,pr$,conjunction | verb peal,"to separate | to be(come) separated | to depart | to specify, distinguish, clarify"
knwyy,"Masekhet: 71016, Page: 002, Side: 1, Line: 16, Word: 1",noun pl. emphatic,,,,,"knwy, knwyˀ",,,,alternative name,,,,כנויי,kynwy),noun pl. emphatic,alternative name
mry$';,"Masekhet: 71016, Page: 002, Side: 1, Line: 16, Word: 2",p,noun sg. emphatic,,,,mn,"ryš, ryšˀ",,,from,head; top; chief,,,מריש';,ry$),preposition | noun sg. emphatic,from | head; top; chief
tn),"Masekhet: 71016, Page: 002, Side: 1, Line: 16, Word: 3",noun sg. emphatic,,,,,"tny, tnyˀ, tnˀ",,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
mhhw',"Masekhet: 71016, Page: 002, Side: 1, Line: 16, Word: 4",P,,,,,hhwˀ,,,,that one (m.),,,,מההו',hhw),P,that one (m.)
dslyq,"Masekhet: 71016, Page: 002, Side: 1, Line: 17, Word: 0",c,verb G,,,,dy,slq,,,to go up,to result,to travel,idioms:,דסליק,slq,conjunction | verb peal,to go up | to result | to travel | idioms:
hhw',"Masekhet: 71016, Page: 002, Side: 1, Line: 17, Word: 1",P01,,,,,hhwˀ,,,,that one (m.),,,,ההו',hhw),preposition independent,that one (m.)
mpr',"Masekhet: 71016, Page: 002, Side: 1, Line: 17, Word: 2",verb D,,,,,prš,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפר',pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
bry$';,"Masekhet: 71016, Page: 002, Side: 1, Line: 17, Word: 3",p02,noun sg. emphatic,,,,b_,"ryš, ryšˀ",,,"in, with",head; top; chief,,,בריש';,ry$),preposition with pronominal suffix | noun sg. emphatic,"in, with | head; top; chief"
