text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)hrN,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 0",No data,,,,,,,,,,,,,אהרן,None,No data,
kl,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 1",noun sg. abs. or construct,,,,,"kl, kl?",,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
xd,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 2",n01,,,,,?d,,,,one,,,,חד,xd,numeral singular absolute or construct,one
wxd,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 3",c,n01,,,,w_,?d,,,"and, also",one,,,וחד,xd,conjunction | numeral singular absolute or construct,"and, also | one"
lxwdyh;,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 4",p02,,,,,"l?wd, lhwd",,,,only; alone,,,,לחודיה;,lxwd_,preposition with pronominal suffix,only; alone
rb,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 5",No data,,,,,,,,,,,,,רב,None,No data,
)$y,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 6",No data,,,,,,,,,,,,,אשי,None,No data,
)';,"Masekhet: 71036, Page: 026, Side: 1, Line: 31, Word: 0",verb G,,,,,?mr,,,,to say,to command,to think,idiomatic and special usages:,א';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
msypyh,"Masekhet: 71036, Page: 026, Side: 1, Line: 31, Word: 1",p,noun sg. emphatic,,,,mn,"syp, syp?",,,from,end,,,מסיפיה,syp),preposition | noun sg. emphatic,from | end
dqr);,"Masekhet: 71036, Page: 026, Side: 1, Line: 31, Word: 2",p,noun sg. emphatic,,,,dy,"qry, qry?",,,"of, genitive particle",crying; reading,,,דקרא;,qr),preposition | noun sg. emphatic,"of, genitive particle | crying; reading"
)w,"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 0",c,,,,,?w,,,,or,,,,או,)w,conjunction,or
dyl',"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 1",c,,,,,dlmh,,,,"lest, perhaps",,,,דיל',dylm),conjunction,"lest, perhaps"
dgbyhy,"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 2",c,verb G,,,,dy,gbh,,,"to be high, raised up",p.p. :,,,דגביהי,gbh,conjunction | verb peal,"to be high, raised up | p.p. :"
mgbh,"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 3",verb G,,,,,gbh,,,,"to be high, raised up",p.p. :,,,מגבה,gbh,verb peal,"to be high, raised up | p.p. :"
"""k(lywt"";","Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 4",No data,,,,,,,,,,,,,כעליות;,None,No data,
wxd,"Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 0",c,n01,,,,w_,?d,,,"and, also",one,,,וחד,xd,conjunction | numeral singular absolute or construct,"and, also | one"
"""$ymwr""","Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 1",No data,,,,,,,,,,,,,שימור,None,No data,
hw),"Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 2",P01,,,,,hw?,,,,he,,,,הוא,hw),preposition independent,he
