text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
lym),"Masekhet: 71028, Page: 002, Side: 1, Line: 18, Word: 0",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,לימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lK,"Masekhet: 71028, Page: 002, Side: 1, Line: 18, Word: 1",p02,,,,,l_,,,,"to, for",,,,לך,l_,preposition with pronominal suffix,"to, for"
"""dlb(lyM""","Masekhet: 71028, Page: 002, Side: 1, Line: 18, Word: 2",No data,,,,,,,,,,,,,דלבעלים,None,No data,
hw);,"Masekhet: 71028, Page: 002, Side: 1, Line: 18, Word: 3",P01,,,,,hwˀ,,,,he,,,,הוא;,hw),preposition independent,he
)bl,"Masekhet: 71028, Page: 002, Side: 1, Line: 18, Word: 4",No data,,,,,,,,,,,,,אבל,None,No data,
bqdw$tyhw,"Masekhet: 71028, Page: 002, Side: 1, Line: 19, Word: 0",p02,noun sg. emphatic,,,,b_,"qdwšh, qwdštˀ",,,"in, with",sanctity,,,בקדושתיהו,qdw$t),preposition with pronominal suffix | noun sg. emphatic,"in, with | sanctity"
qym),"Masekhet: 71028, Page: 002, Side: 1, Line: 19, Word: 1",verb G,,,,,qwm,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קימא,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
w)syr,"Masekhet: 71028, Page: 002, Side: 1, Line: 19, Word: 2",c,A01,,,,w_,ˀsyr,,,"and, also",captured; forbidden,,,ואסיר,)syr,conjunction | adjective singular absolute or construct,"and, also | captured; forbidden"
l$nwyy,"Masekhet: 71028, Page: 002, Side: 1, Line: 19, Word: 3",p02,verb D,,,,l_,šny,,,to change (trans.),"(d.o. mind, reason) : to act insane",to move from place to place (intrans.),to reply,לשנויי,$ny,preposition with pronominal suffix | verb pael,"to change (trans.) | (d.o. mind, reason) : to act insane | to move from place to place (intrans.) | to reply"
bhw,"Masekhet: 71028, Page: 002, Side: 1, Line: 19, Word: 4",p02,,,,,b_,,,,"in, with",,,,בהו,b_,preposition with pronominal suffix,"in, with"
