scroll_name,scroll_id,column,line,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
Enoch_All,4Q201_4QEn_a,101,01,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.8,0.0,0.0
Enoch_All,4Q201_4QEn_a,101,02,0.0,0.25,0.25,0.5,0.25,0.0,0.0,4.0,6.25,0.0,0.0
Enoch_All,4Q201_4QEn_a,101,03,0.0,0.25,0.375,0.375,0.0,0.0,0.0,8.0,4.5,0.0,0.0
Enoch_All,4Q201_4QEn_a,101,04,0.0,0.2222,0.1111,0.5556,0.1111,0.0,0.0,9.0,4.1111,0.0,0.0
Enoch_All,4Q201_4QEn_a,101,05,0.0,0.0,0.1429,0.5714,0.1429,0.0,0.0,7.0,4.2857,0.0,0.0
Enoch_All,4Q201_4QEn_a,101,06,0.0,0.1429,0.1429,0.4286,0.1429,0.0,0.0,7.0,5.1429,0.0,0.0
Enoch_All,4Q201_4QEn_a,101,07,0.0,0.5,0.125,0.5,0.375,0.125,0.0,8.0,4.375,0.3333,0.0
Enoch_All,4Q201_4QEn_a,101,08,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,4.25,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,01,0.0,0.2222,0.4444,0.5556,1.0,0.6667,0.0,9.0,7.1111,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,02,0.0,0.1818,0.0909,0.6364,0.6364,0.3636,0.0,11.0,6.1818,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,03,0.0,0.4444,0.3333,0.5556,0.0,0.0,0.0,9.0,5.0,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,04,0.0,0.5,0.0,0.7,0.5,0.2,0.0,10.0,5.2,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,05,0.0,0.1429,0.1429,0.5714,0.7143,0.5714,0.0,7.0,7.1429,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,06,0.0,0.2222,0.1111,0.5556,0.3333,0.2222,0.0,9.0,4.6667,0.0,0.0
Enoch_All,4Q201_4QEn_a,102,07,0.0,0.125,0.5,0.5,0.125,0.0,0.0,8.0,6.0,0.0,0.0
