scroll_name,column,line,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
Levi_All,000,00,0.0,0.3256,0.2093,0.4186,0.0698,0.0,0.0,43.0,5.3488,0.2143,0.75
Levi_All,000,10,0.04,0.12,0.12,0.24,0.08,0.0,0.25,25.0,3.76,0.5,2.0
Levi_All,000,11,0.0244,0.2439,0.3415,0.4634,0.2195,0.0,0.0909,41.0,4.2195,0.8182,1.125
Levi_All,000,20,0.0,0.375,0.0625,0.4375,0.0625,0.0,0.0,16.0,3.875,0.1667,1.0
Levi_All,000,21,0.0789,0.1842,0.4211,0.5,0.1316,0.0526,0.3,38.0,4.1842,0.5,0.5556
Levi_All,000,30,0.0,0.4068,0.2203,0.3559,0.0847,0.0,0.0,59.0,5.4915,0.2083,0.625
Levi_All,000,40,0.0,0.1707,0.2683,0.5122,0.2927,0.0,0.0,41.0,6.2439,1.7143,1.7143
Levi_All,000,50,0.0,0.0714,0.1429,0.2857,0.0,0.0,0.0,14.0,6.2143,0.0,0.0
Levi_All,010,00,0.0,0.1605,0.1481,0.321,0.0864,0.0,0.0,81.0,4.3333,0.5385,1.0
Levi_All,010,10,0.0,0.1613,0.1935,0.3871,0.129,0.0,0.0,31.0,4.0,0.8,1.3333
Levi_All,010,11,0.0192,0.3654,0.3269,0.4423,0.2308,0.0,0.05,52.0,4.5577,0.6,1.0909
Levi_All,010,12,0.0,0.25,0.375,0.375,0.0,0.0,0.0,8.0,4.375,0.0,0.0
Levi_All,010,20,0.0,0.2857,0.1905,0.4286,0.119,0.0,0.0,42.0,5.1667,0.4167,2.5
Levi_All,010,21,0.0,0.25,0.1786,0.3929,0.1071,0.0,0.0,28.0,5.3571,0.4286,1.5
Levi_All,020,00,0.0,0.1807,0.1928,0.3012,0.0482,0.0241,0.0,83.0,4.9518,0.2667,0.5
Levi_All,020,01,0.0,0.3333,0.1667,0.5,0.0,0.0,0.0,6.0,4.3333,0.0,0.0
Levi_All,020,10,0.0,0.0625,0.1875,0.1875,0.0,0.0,0.0,16.0,4.9375,0.0,0.0
Levi_All,020,20,0.0,0.1667,0.1111,0.3333,0.1667,0.1111,0.0,18.0,4.8333,1.0,0.0
Levi_All,030,00,0.0,0.1538,0.3077,0.3846,0.0,0.0,0.0,13.0,4.9231,0.0,0.0
Levi_All,040,00,0.0,0.0667,0.0667,0.0667,0.0,0.0,0.0,15.0,4.0667,0.0,0.0
Levi_All,050,00,0.0,0.0417,0.0,0.0833,0.0417,0.0,0.0,24.0,4.2083,1.0,0.0
Levi_All,050,10,0.0,0.1923,0.1923,0.3077,0.1538,0.0769,0.0,26.0,4.8462,0.8,1.3333
Levi_All,050,20,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,7.3333,0.0,0.0
Levi_All,060,00,0.0,0.0,0.0,0.3333,0.1667,0.0,0.0,6.0,5.3333,0.0,0.0
Levi_All,070,00,0.0,0.2857,0.1429,0.4286,0.0,0.0,0.0,7.0,4.0,0.0,0.0
