text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
wtny,"Masekhet: 71032, Page: 002, Side: 1, Line: 19, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
whdr,"Masekhet: 71032, Page: 002, Side: 1, Line: 19, Word: 1",c,verb G,,,,to return,to do something again,"to go around, surround",to get married,והדר,hdr,conjunction | verb peal,"to return | to do something again | to go around, surround | to get married"
mpr$,"Masekhet: 71032, Page: 002, Side: 1, Line: 20, Word: 0",verb D,,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפרש,pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
wrbnN,"Masekhet: 71032, Page: 002, Side: 1, Line: 31, Word: 0",c,N,,,,"and, also","lord, master",,,ורבנן,rbnn,conjunction | noun,"and, also | lord, master"
h)y,"Masekhet: 71032, Page: 002, Side: 1, Line: 31, Word: 1",P01,,,,,this,,,,האי,h)y,preposition independent,this
"""qrbnw""","Masekhet: 71032, Page: 002, Side: 1, Line: 31, Word: 2",No data,,,,,,,,,קרבנו,None,No data,
m)y,"Masekhet: 71032, Page: 002, Side: 1, Line: 32, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
(bdy,"Masekhet: 71032, Page: 002, Side: 1, Line: 32, Word: 1",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבדי,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
lyh,"Masekhet: 71032, Page: 002, Side: 1, Line: 32, Word: 2",p02,,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
"""lrbwt","Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 0",No data,,,,,,,,,לרבות,None,No data,
kl,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 1",No data,,,,,,,,,כל,None,No data,
b(ly,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 2",No data,,,,,,,,,בעלי,None,No data,
qrbN,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 3",No data,,,,,,,,,קרבן,None,No data,
"lsbkh""","Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 4",No data,,,,,,,,,לסבכה,None,No data,
lyt,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 5",V,,,,,there is/are not,,,,לית,lyt,V,there is/are not
lyh;,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 6",p02,,,,,"to, for",,,,ליה;,l_,preposition with pronominal suffix,"to, for"
)ynmy,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 7",a,,,,,also,,,,אינמי,nmy,adverb,also
)yt,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 8",V,,,,,"there is, exists",,,,אית,)yt,V,"there is, exists"
lyh,"Masekhet: 71032, Page: 002, Side: 1, Line: 36, Word: 9",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
"""gwy","Masekhet: 71032, Page: 002, Side: 2, Line: 01, Word: 0",No data,,,,,,,,,גוי,None,No data,
"wxbyrw""","Masekhet: 71032, Page: 002, Side: 2, Line: 01, Word: 1",No data,,,,,,,,,וחבירו,None,No data,
mxd,"Masekhet: 71032, Page: 002, Side: 2, Line: 01, Word: 2",n01,,,,,one,,,,מחד,xd,numeral singular absolute or construct,one
qr),"Masekhet: 71032, Page: 002, Side: 2, Line: 01, Word: 3",noun sg. emphatic,,,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
npqy;,"Masekhet: 71032, Page: 002, Side: 2, Line: 01, Word: 4",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפקי;,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
)yytry,"Masekhet: 71032, Page: 002, Side: 2, Line: 01, Word: 5",verb Dt,,,,,to be made better,to be left over,to evaluate positively,as co-verb: to do something excessively,אייתרי,ytr,verb ethpaal,to be made better | to be left over | to evaluate positively | as co-verb: to do something excessively
lhw,"Masekhet: 71032, Page: 002, Side: 2, Line: 02, Word: 0",p02,,,,,"to, for",,,,להו,l_,preposition with pronominal suffix,"to, for"
try;,"Masekhet: 71032, Page: 002, Side: 2, Line: 02, Word: 1",n02,,,,,two,,,,תרי;,try,numeral singular determined,two
wdl),"Masekhet: 71032, Page: 002, Side: 2, Line: 26, Word: 0",c,c,a,,,"and, also","who,which (relative)","no, not",,ודלא,d_,conjunction | conjunction | adverb,"and, also | who,which (relative) | no, not"
ky,"Masekhet: 71032, Page: 002, Side: 2, Line: 26, Word: 1",p,,,,,like,,,,כי,ky,preposition,like
