text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
xd,"Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 0",n01,,,,,one,,,,חד,xd,numeral singular absolute or construct,one
t)ny,"Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תאני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")ydyhN"";","Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 2",No data,,,,,,,,,אידיהן;,None,No data,
wxd,"Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 3",c,n01,,,,"and, also",one,,,וחד,xd,conjunction | numeral singular absolute or construct,"and, also | one"
t)ny,"Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 4",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תאני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""(ydyhN"";","Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 5",No data,,,,,,,,,עידיהן;,None,No data,
m)N,"Masekhet: 71026, Page: 002, Side: 1, Line: 07, Word: 6",P01,,,,,who?,,,,מאן,m)n,preposition independent,who?
dtny,"Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")ydyhN""","Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 1",No data,,,,,,,,,אידיהן,None,No data,
l),"Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 2",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
m$tb$;,"Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 3",verb Dt,,,,,to be confounded,,,,משתבש;,$b$,verb ethpaal,to be confounded
wm)N,"Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 4",c,P01,,,,"and, also",who?,,,ומאן,m)n,conjunction | preposition independent,"and, also | who?"
dtny,"Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 5",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""(ydyhN""","Masekhet: 71026, Page: 002, Side: 1, Line: 08, Word: 6",No data,,,,,,,,,עידיהן,None,No data,
l),"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 0",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
m$tb$;,"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 1",verb Dt,,,,,to be confounded,,,,משתבש;,$b$,verb ethpaal,to be confounded
m)N,"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 2",P01,,,,,who?,,,,מאן,m)n,preposition independent,who?
dtny,"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 3",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")ydyhN""","Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 4",No data,,,,,,,,,אידיהן,None,No data,
l),"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 5",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
m$tb$;,"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 6",verb Dt,,,,,to be confounded,,,,משתבש;,$b$,verb ethpaal,to be confounded
wm)N,"Masekhet: 71026, Page: 002, Side: 1, Line: 09, Word: 7",c,P01,,,,"and, also",who?,,,ומאן,m)n,conjunction | preposition independent,"and, also | who?"
