text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
kl,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 0",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
hny,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 1",P01,,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
lmh,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 2",c,,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 3",p02,,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
cryky;,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 4",A03,,,,,poor; needy,,,,צריכי;,cryk,adjective plural absolute,poor; needy
d)y,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 5",c,c,,,,"who,which (relative)","if, whether",,,דאי,)y,conjunction | conjunction,"who,which (relative) | if, whether"
tn),"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 6",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנא,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""lwqx"";","Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 7",No data,,,,,,,,,לוקח;,None,No data,
hwh,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 8",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)myn';,"Masekhet: 71031, Page: 002, Side: 1, Line: 06, Word: 9",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמינ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
