text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 0",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
h^y^k),"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 1",a,,,,,where,,,,היכא,hyk),adverb,where
q)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 2",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קאי,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
dqtny,"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 3",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""m)ymty""","Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 4",No data,,,,,,,,,מאימתי,None,No data,
wtw;,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 0",c,X,,,,"and, also",again,,,ותו;,tw,conjunction | X,"and, also | again"
m)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 1",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 2",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
dtny,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 3",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 4",No data,,,,,,,,,ערבית,None,No data,
bry$),"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 5",a,,,,,"at the head, first",,,,ברישא,bry$),adverb,"at the head, first"
lytny,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ליתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""$xryt""","Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 1",No data,,,,,,,,,שחרית,None,No data,
bry$);,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 2",a,,,,,"at the head, first",,,,ברישא;,bry$),adverb,"at the head, first"
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 3",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
)qr',"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 4",noun sg. emphatic,,,,,crying; reading,,,,אקר',qr),noun sg. emphatic,crying; reading
q)y';,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 5",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קאי';,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
?w?)yb(yt,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 0",c,verb G,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,ואיבעית,b(y,conjunction | verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
)ym';,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אימ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
ylyP,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 2",V,,,,,,,,,יליף,ylp,V,
"""mbryytw","Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 3",No data,,,,,,,,,מברייתו,None,No data,
$l,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 4",No data,,,,,,,,,של,None,No data,
"(wlM""","Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 5",No data,,,,,,,,,עולם,None,No data,
lytny,"Masekhet: 71001, Page: 002, Side: 1, Line: 24, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ליתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 24, Word: 1",No data,,,,,,,,,ערבית,None,No data,
bry$';,"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 0",noun sg. emphatic,,,,,head; top; chief,,,,בריש';,ry$),noun sg. emphatic,head; top; chief
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 1",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
ptx,"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 2",verb G,,,,,to open,"fig.: to explain, solve",to begin (especially a speech or text),to issue a summons,פתח,ptx,verb peal,"to open | fig.: to explain, solve | to begin (especially a speech or text) | to issue a summons"
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 3",No data,,,,,,,,,ערבית,None,No data,
