text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
m)y,"Masekhet: 71008, Page: 002, Side: 1, Line: 12, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
T(m',"Masekhet: 71008, Page: 002, Side: 1, Line: 12, Word: 1",noun sg. emphatic,,,,,taste; order,,,,טעמ',T(m),noun sg. emphatic,taste; order
dbyt hll;,"Masekhet: 71008, Page: 002, Side: 1, Line: 12, Word: 2",p,,,,,"of, genitive particle",,,,דבית הלל;,d_,preposition,"of, genitive particle"
)wkl),"Masekhet: 71008, Page: 002, Side: 1, Line: 12, Word: 3",noun sg. emphatic,,,,,laundry vat,,,,אוכלא,)wkl),noun sg. emphatic,laundry vat
d)yprt,"Masekhet: 71008, Page: 002, Side: 1, Line: 13, Word: 0",c,verb Gt,,,,to burst open,,,,דאיפרת,prt,conjunction | verb ethpeel,to burst open
hw);,"Masekhet: 71008, Page: 002, Side: 1, Line: 13, Word: 1",P01,,,,,he,,,,הוא;,hw),preposition independent,he
gby,"Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 0",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""ywM","Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 1",No data,,,,,,,,,יום,None,No data,
"Twb""","Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 2",No data,,,,,,,,,טוב,None,No data,
dstM,"Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 3",c,verb G,,,,"to close up, stop up",to state a law anonymously,,,דסתם,stm,conjunction | verb peal,"to close up, stop up | to state a law anonymously"
lN,"Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 4",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
tn),"Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 5",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
kr',"Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 6",p02,,,,,like,,,,כר',k_,preposition with pronominal suffix,like
yhwdh;,"Masekhet: 71008, Page: 002, Side: 2, Line: 01, Word: 7",No data,,,,,,,,,יהודה;,None,No data,
mwqyM,"Masekhet: 71008, Page: 002, Side: 2, Line: 03, Word: 0",verb C,,,,,"to make to stand, to position",fig. : to impose,to awaken s.o.,to make a contractual arrangement,מוקים,qwm,verb (h)aphel,"to make to stand, to position | fig. : to impose | to awaken s.o. | to make a contractual arrangement"
lh,"Masekhet: 71008, Page: 002, Side: 2, Line: 03, Word: 1",p02,,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
lbyt hll,"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 0",p03,,,,,"to, for",,,,לבית הלל,l_,preposition proclitic,"to, for"
kr',"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 1",p02,,,,,like,,,,כר',k_,preposition with pronominal suffix,like
yhwdh;,"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 2",No data,,,,,,,,,יהודה;,None,No data,
mkdy,"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 3",a,,,,,"now, well, since",,,,מכדי,mkdy,adverb,"now, well, since"
m)N,"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 4",P01,,,,,who?,,,,מאן,m)n,preposition independent,who?
stmh,"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 5",verb G,,,,,"to close up, stop up",to state a law anonymously,,,סתמה,stm,verb peal,"to close up, stop up | to state a law anonymously"
lmtnytyN;,"Masekhet: 71008, Page: 002, Side: 2, Line: 04, Word: 6",p03,noun sg. emphatic,,,,"to, for",tannaitic tradition,,,למתניתין;,mtnyt),preposition proclitic | noun sg. emphatic,"to, for | tannaitic tradition"
r';,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 0",No data,,,,,,,,,ר';,None,No data,
m)y,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 1",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 2",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
"""bywM","Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 3",No data,,,,,,,,,ביום,None,No data,
"Twb""","Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 4",No data,,,,,,,,,טוב,None,No data,
dstM,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 5",c,verb G,,,,"to close up, stop up",to state a law anonymously,,,דסתם,stm,conjunction | verb peal,"to close up, stop up | to state a law anonymously"
lN,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 6",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
tn),"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 7",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
kr',"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 8",p02,,,,,like,,,,כר',k_,preposition with pronominal suffix,like
yhwdh;,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 9",No data,,,,,,,,,יהודה;,None,No data,
wgby,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 10",c,p,,,,"and, also","at the side of, together with",,,וגבי,gby,conjunction | preposition,"and, also | at the side of, together with"
"""$bt""","Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 11",No data,,,,,,,,,שבת,None,No data,
dstM,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 12",c,verb G,,,,"to close up, stop up",to state a law anonymously,,,דסתם,stm,conjunction | verb peal,"to close up, stop up | to state a law anonymously"
lN,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 13",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
tn),"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 14",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
