text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
m)y,"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 1",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 2",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""swkh""","Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 3",No data,,,,,,,,,סוכה,None,No data,
dtny,"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 4",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""pswlh""","Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 5",No data,,,,,,,,,פסולה,None,No data,
wm)y,"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 6",c,P01,,,,"and, also",what,,,ומאי,m)y,conjunction | preposition independent,"and, also | what"
$n),"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 7",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 8",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""mbwy""","Masekhet: 71003, Page: 002, Side: 1, Line: 08, Word: 9",No data,,,,,,,,,מבוי,None,No data,
dtny,"Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt);,"Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 1",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא;,tqnt),noun sg. emphatic,"arrangement, setting"
"""swkh""","Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 2",No data,,,,,,,,,סוכה,None,No data,
d)wryt',"Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 3",p,noun sg. emphatic,,,,"of, genitive particle","law, teaching; the Torah",,,דאורית',)wryyt),preposition | noun sg. emphatic,"of, genitive particle | law, teaching; the Torah"
tny;,"Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 4",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני;,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""pswlh;","Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 5",No data,,,,,,,,,פסולה;,None,No data,
"mbwy""","Masekhet: 71003, Page: 002, Side: 1, Line: 09, Word: 6",No data,,,,,,,,,מבוי,None,No data,
drbnN,"Masekhet: 71003, Page: 002, Side: 1, Line: 10, Word: 0",p,N,,,,"of, genitive particle","lord, master",,,דרבנן,rbnn,preposition | noun,"of, genitive particle | lord, master"
tny,"Masekhet: 71003, Page: 002, Side: 1, Line: 10, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt);,"Masekhet: 71003, Page: 002, Side: 1, Line: 10, Word: 2",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא;,tqnt),noun sg. emphatic,"arrangement, setting"
w)yk),"Masekhet: 71003, Page: 002, Side: 1, Line: 10, Word: 3",c,a,,,,"and, also",there is here,,,ואיכא,)yk),conjunction | adverb,"and, also | there is here"
)y';,"Masekhet: 71003, Page: 002, Side: 1, Line: 10, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אי';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
d)wryt),"Masekhet: 71003, Page: 002, Side: 1, Line: 10, Word: 5",p,noun sg. emphatic,,,,"of, genitive particle","law, teaching; the Torah",,,דאוריתא,)wryyt),preposition | noun sg. emphatic,"of, genitive particle | law, teaching; the Torah"
nmy,"Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 0",a,,,,,also,,,,נמי,nmy,adverb,also
tny,"Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt);,"Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 2",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא;,tqnt),noun sg. emphatic,"arrangement, setting"
)l),"Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 3",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
"""swkh""","Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 4",No data,,,,,,,,,סוכה,None,No data,
dnpy$yN,"Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 5",c,A03,,,,"who,which (relative)",substantial; refreshed,,,דנפישין,npy$,conjunction | adjective plural absolute,"who,which (relative) | substantial; refreshed"
mylh,"Masekhet: 71003, Page: 002, Side: 1, Line: 11, Word: 6",noun sg. abs. or construct,,,,,"word, speech; thing",,,,מילה,mylt),noun sg. abs. or construct,"word, speech; thing"
)psyq,"Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 0",verb C,,,,,"to divide, to sever","to interrupt, make stop",to bestow,,אפסיק,psq,verb (h)aphel,"to divide, to sever | to interrupt, make stop | to bestow"
wtny;,"Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 1",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותני;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""pswlh""","Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 2",No data,,,,,,,,,פסולה,None,No data,
dl),"Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 3",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
npy$yN,"Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 4",A03,,,,,substantial; refreshed,,,,נפישין,npy$,adjective plural absolute,substantial; refreshed
myly',"Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 5",noun pl. emphatic,,,,,"word, speech; thing",,,,מילי',mylt),noun pl. emphatic,"word, speech; thing"
tny,"Masekhet: 71003, Page: 002, Side: 1, Line: 12, Word: 6",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt);,"Masekhet: 71003, Page: 002, Side: 1, Line: 13, Word: 0",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא;,tqnt),noun sg. emphatic,"arrangement, setting"
"""qdw$t","Masekhet: 71003, Page: 002, Side: 1, Line: 20, Word: 0",No data,,,,,,,,,קדושת,None,No data,
"hykl""","Masekhet: 71003, Page: 002, Side: 1, Line: 20, Word: 1",No data,,,,,,,,,היכל,None,No data,
lxwd,"Masekhet: 71003, Page: 002, Side: 1, Line: 20, Word: 2",a,,,,,only; alone,,,,לחוד,lxwd,adverb,only; alone
"""wqdw$t","Masekhet: 71003, Page: 002, Side: 1, Line: 20, Word: 3",No data,,,,,,,,,וקדושת,None,No data,
")wlM""","Masekhet: 71003, Page: 002, Side: 1, Line: 20, Word: 4",No data,,,,,,,,,אולם,None,No data,
lxwd;,"Masekhet: 71003, Page: 002, Side: 1, Line: 20, Word: 5",a,,,,,only; alone,,,,לחוד;,lxwd,adverb,only; alone
"""qdw$t","Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 0",No data,,,,,,,,,קדושת,None,No data,
)wlM,"Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 1",No data,,,,,,,,,אולם,None,No data,
"whykl""","Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 2",No data,,,,,,,,,והיכל,None,No data,
xd),"Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 3",n01,,,,,one,,,,חדא,xd,numeral singular absolute or construct,one
hy);,"Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 4",P01,,,,,she,,,,היא;,hy),preposition independent,she
wky,"Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 5",c,c,,,,"and, also",when,,,וכי,ky,conjunction | conjunction,"and, also | when"
ktb,"Masekhet: 71003, Page: 002, Side: 1, Line: 22, Word: 6",verb G,,,,,to write,to draw,,,כתב,ktb,verb peal,to write | to draw
"""ptx","Masekhet: 71003, Page: 002, Side: 1, Line: 23, Word: 0",No data,,,,,,,,,פתח,None,No data,
)hl,"Masekhet: 71003, Page: 002, Side: 1, Line: 23, Word: 1",No data,,,,,,,,,אהל,None,No data,
"mw(d""","Masekhet: 71003, Page: 002, Side: 1, Line: 23, Word: 2",No data,,,,,,,,,מועד,None,No data,
)trwyhw,"Masekhet: 71003, Page: 002, Side: 1, Line: 23, Word: 3",n02,,,,,two,,,,אתרויהו,try,numeral singular determined,two
kty';,"Masekhet: 71003, Page: 002, Side: 1, Line: 23, Word: 4",verb G,,,,,to write,to draw,,,כתי';,ktb,verb peal,to write | to draw
)$kxN,"Masekhet: 71003, Page: 002, Side: 1, Line: 30, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכחן,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
"""m$kN""","Masekhet: 71003, Page: 002, Side: 1, Line: 30, Word: 1",No data,,,,,,,,,משכן,None,No data,
d)yqry,"Masekhet: 71003, Page: 002, Side: 1, Line: 30, Word: 2",c,verb Gt,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,דאיקרי,qry,conjunction | verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
"""mqd$;","Masekhet: 71003, Page: 002, Side: 1, Line: 30, Word: 3",No data,,,,,,,,,מקדש;,None,No data,
"wmqd$""","Masekhet: 71003, Page: 002, Side: 1, Line: 30, Word: 4",No data,,,,,,,,,ומקדש,None,No data,
d)yqry,"Masekhet: 71003, Page: 002, Side: 1, Line: 31, Word: 0",c,verb Gt,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,דאיקרי,qry,conjunction | verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
"""m$kN"";","Masekhet: 71003, Page: 002, Side: 1, Line: 31, Word: 1",No data,,,,,,,,,משכן;,None,No data,
d)y,"Masekhet: 71003, Page: 002, Side: 1, Line: 31, Word: 2",c,c,,,,"who,which (relative)","if, whether",,,דאי,)y,conjunction | conjunction,"who,which (relative) | if, whether"
l),"Masekhet: 71003, Page: 002, Side: 1, Line: 31, Word: 3",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
tym),"Masekhet: 71003, Page: 002, Side: 1, Line: 31, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,תימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hky;,"Masekhet: 71003, Page: 002, Side: 1, Line: 31, Word: 5",X,,,,,"so, thus",,,,הכי;,hky,X,"so, thus"
b$lm),"Masekhet: 71003, Page: 002, Side: 1, Line: 37, Word: 0",a,,,,,it is all right,,,,בשלמא,b$lm),adverb,it is all right
"""mqd$""","Masekhet: 71003, Page: 002, Side: 1, Line: 37, Word: 1",No data,,,,,,,,,מקדש,None,No data,
d)yqry,"Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 0",c,verb Gt,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,דאיקרי,qry,conjunction | verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
"""m$kN","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 1",No data,,,,,,,,,משכן,None,No data,
"wm$kN""","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 2",No data,,,,,,,,,ומשכן,None,No data,
d)yqry,"Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 3",c,verb Gt,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,דאיקרי,qry,conjunction | verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
"""mqd$"";","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 4",No data,,,,,,,,,מקדש;,None,No data,
b$lm),"Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 5",a,,,,,it is all right,,,,בשלמא,b$lm),adverb,it is all right
"""mqd$""","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 6",No data,,,,,,,,,מקדש,None,No data,
d)yqry,"Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 7",c,verb Gt,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,דאיקרי,qry,conjunction | verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
"""m$kN""","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 8",No data,,,,,,,,,משכן,None,No data,
dkty',"Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 9",c,,,,,"who,which (relative)",,,,דכתי',d_,conjunction,"who,which (relative)"
"""wntty","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 10",No data,,,,,,,,,ונתתי,None,No data,
"m$kny""","Masekhet: 71003, Page: 002, Side: 1, Line: 38, Word: 11",No data,,,,,,,,,משכני,None,No data,
"""btwkkM"";","Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 0",No data,,,,,,,,,בתוככם;,None,No data,
)l),"Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 1",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
"""m$kN""","Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 2",No data,,,,,,,,,משכן,None,No data,
d)yqry,"Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 3",c,verb Gt,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,דאיקרי,qry,conjunction | verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
"""mqd$""","Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 4",No data,,,,,,,,,מקדש,None,No data,
mn),"Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 5",a,,,,,whence,,,,מנא,mn),adverb,whence
lN;,"Masekhet: 71003, Page: 002, Side: 1, Line: 39, Word: 6",p02,,,,,"to, for",,,,לן;,l_,preposition with pronominal suffix,"to, for"
lylpw,"Masekhet: 71003, Page: 002, Side: 2, Line: 03, Word: 0",V,,,,,,,,,לילפו,ylp,V,
"""mptx","Masekhet: 71003, Page: 002, Side: 2, Line: 03, Word: 1",No data,,,,,,,,,מפתח,None,No data,
$(r,"Masekhet: 71003, Page: 002, Side: 2, Line: 03, Word: 2",No data,,,,,,,,,שער,None,No data,
"hxcr"";","Masekhet: 71003, Page: 002, Side: 2, Line: 03, Word: 3",No data,,,,,,,,,החצר;,None,No data,
hk),"Masekhet: 71003, Page: 002, Side: 2, Line: 09, Word: 0",a,,,,,here,,,,הכא,hk),adverb,here
"""xm$","Masekhet: 71003, Page: 002, Side: 2, Line: 09, Word: 1",No data,,,,,,,,,חמש,None,No data,
brwxb,"Masekhet: 71003, Page: 002, Side: 2, Line: 09, Word: 2",No data,,,,,,,,,ברוחב,None,No data,
"($ryM""","Masekhet: 71003, Page: 002, Side: 2, Line: 09, Word: 3",No data,,,,,,,,,עשרים,None,No data,
..;,"Masekhet: 71003, Page: 002, Side: 2, Line: 09, Word: 4",No data,,,,,,,,,;,None,No data,
hhw),"Masekhet: 71003, Page: 002, Side: 2, Line: 09, Word: 5",P01,,,,,that one (m.),,,,ההוא,hhw),preposition independent,that one (m.)
"""ptx","Masekhet: 71003, Page: 002, Side: 2, Line: 10, Word: 0",No data,,,,,,,,,פתח,None,No data,
