text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
m)y,"Masekhet: 71018, Page: 002, Side: 2, Line: 02, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
bnyyhw;,"Masekhet: 71018, Page: 002, Side: 2, Line: 02, Word: 1",p02,,,,,"between, among",,,,בנייהו;,byn,preposition with pronominal suffix,"between, among"
)yk),"Masekhet: 71018, Page: 002, Side: 2, Line: 02, Word: 2",a,,,,,there is here,,,,איכא,)yk),adverb,there is here
bynyyhw,"Masekhet: 71018, Page: 002, Side: 2, Line: 03, Word: 0",p02,,,,,"between, among",,,,בינייהו,byn,preposition with pronominal suffix,"between, among"
d)yytywh,"Masekhet: 71018, Page: 002, Side: 2, Line: 03, Word: 1",c,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,דאייתיוה,)ty,conjunction | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
by try;,"Masekhet: 71018, Page: 002, Side: 2, Line: 03, Word: 2",p,,,,,between,,,,בי תרי;,by@try,preposition,between
dh),"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 0",c,I,,,,"who,which (relative)",here! look!,,,דהא,h),conjunction | interjection,"who,which (relative) | here! look!"
l),"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 1",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
)ytxzq,"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 2",verb Ct,,,,,to be presumed,,,,איתחזק,xzq,verb ettaphal,to be presumed
)yswr);,"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 3",noun sg. emphatic,,,,,prohibition,,,,איסורא;,)yswr),noun sg. emphatic,prohibition
)bl,"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 4",No data,,,,,,,,,אבל,None,No data,
hk),"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 5",a,,,,,here,,,,הכא,hk),adverb,here
d)ytxzq,"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 6",c,verb Ct,,,,to be presumed,,,,דאיתחזק,xzq,conjunction | verb ettaphal,to be presumed
)ys',"Masekhet: 71018, Page: 002, Side: 2, Line: 10, Word: 7",noun sg. emphatic,,,,,prohibition,,,,איס',)yswr),noun sg. emphatic,prohibition
"""d)$t","Masekhet: 71018, Page: 002, Side: 2, Line: 11, Word: 0",No data,,,,,,,,,דאשת,None,No data,
")y$""","Masekhet: 71018, Page: 002, Side: 2, Line: 11, Word: 1",No data,,,,,,,,,איש,None,No data,
hwy,"Masekhet: 71018, Page: 002, Side: 2, Line: 11, Word: 2",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
"""dbr","Masekhet: 71018, Page: 002, Side: 2, Line: 11, Word: 3",No data,,,,,,,,,דבר,None,No data,
"$b(rwh"";","Masekhet: 71018, Page: 002, Side: 2, Line: 11, Word: 4",No data,,,,,,,,,שבערוה;,None,No data,
