text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""hkl""","Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 0",No data,,,,,,,,,הכל,None,No data,
l)yytwyy,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 1",p03,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,לאייתויי,)ty,preposition proclitic | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
m)y;,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 2",P01,,,,,what,,,,מאי;,m)y,preposition independent,what
l)ytwyy,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 3",p02,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,לאיתויי,)ty,preposition with pronominal suffix | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
"""my","Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 4",No data,,,,,,,,,מי,None,No data,
$xcyw,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 5",No data,,,,,,,,,שחציו,None,No data,
(bd,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 6",No data,,,,,,,,,עבד,None,No data,
wxcyw,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 7",No data,,,,,,,,,וחציו,None,No data,
bN,"Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 8",No data,,,,,,,,,בן,None,No data,
"xwryN"";","Masekhet: 71012, Page: 002, Side: 1, Line: 14, Word: 9",No data,,,,,,,,,חורין;,None,No data,
"""hkl""","Masekhet: 71012, Page: 002, Side: 1, Line: 16, Word: 0",No data,,,,,,,,,הכל,None,No data,
l)ytwyy,"Masekhet: 71012, Page: 002, Side: 1, Line: 16, Word: 1",p02,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,לאיתויי,)ty,preposition with pronominal suffix | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
m)y;,"Masekhet: 71012, Page: 002, Side: 1, Line: 16, Word: 2",P01,,,,,what,,,,מאי;,m)y,preposition independent,what
l)ytwyy,"Masekhet: 71012, Page: 002, Side: 1, Line: 17, Word: 0",p02,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,לאיתויי,)ty,preposition with pronominal suffix | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
..;,"Masekhet: 71012, Page: 002, Side: 1, Line: 17, Word: 1",No data,,,,,,,,,;,None,No data,
l)ytwyy,"Masekhet: 71012, Page: 002, Side: 1, Line: 20, Word: 0",p02,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,לאיתויי,)ty,preposition with pronominal suffix | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
m)y;,"Masekhet: 71012, Page: 002, Side: 1, Line: 20, Word: 1",P01,,,,,what,,,,מאי;,m)y,preposition independent,what
