text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mylt),"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 0",noun sg. emphatic,,,,,"word, speech; thing",,,,מילתא,mylt),noun sg. emphatic,"word, speech; thing"
dp$yT),"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 1",c,A01,,,,"who,which (relative)",simple,,,דפשיטא,p$yT,conjunction | adjective singular absolute or construct,"who,which (relative) | simple"
lyh,"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 2",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
lrb),"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 3",p03,,,,,"to, for",,,,לרבא,l_,preposition proclitic,"to, for"
myb(y),"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 4",verb Gt,,,,,to be sought,"to be necessary, required",to ask one another,,מיבעיא,b(y,verb ethpeel,"to be sought | to be necessary, required | to ask one another"
lyh,"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 5",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
lrmy,"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 6",p03,,,,,"to, for",,,,לרמי,l_,preposition proclitic,"to, for"
br,"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 7",No data,,,,,,,,,בר,None,No data,
xm);,"Masekhet: 71027, Page: 002, Side: 1, Line: 37, Word: 8",No data,,,,,,,,,חמא;,None,No data,
kywN,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 0",c,,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
dky,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 1",c,c,,,,"who,which (relative)",when,,,דכי,ky,conjunction | conjunction,"who,which (relative) | when"
mtyd(,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 2",verb Gt,,,,,to be known,,,,מתידע,yd(,verb ethpeel,to be known
lhw,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 3",p02,,,,,"to, for",,,,להו,l_,preposition with pronominal suffix,"to, for"
lby dyn),"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 4",p03,noun sg. emphatic,,,,"to, for",court,,,לבי דינא,by@dyn),preposition proclitic | noun sg. emphatic,"to, for | court"
hdry,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 5",verb G,,,,,to return,to do something again,"to go around, surround",to get married,הדרי,hdr,verb peal,"to return | to do something again | to go around, surround | to get married"
bhw;,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 6",p02,,,,,"in, with",,,,בהו;,b_,preposition with pronominal suffix,"in, with"
hw),"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 7",P01,,,,,he,,,,הוא,hw),preposition independent,he
nmy,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 8",a,,,,,also,,,,נמי,nmy,adverb,also
hdr,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 9",verb G,,,,,to return,to do something again,"to go around, surround",to get married,הדר,hdr,verb peal,"to return | to do something again | to go around, surround | to get married"
byh,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 10",p02,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix,"in, with"
"""$b","Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 11",No data,,,,,,,,,שב,None,No data,
"mydy(tw""","Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 12",No data,,,,,,,,,מידיעתו,None,No data,
qry',"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 13",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",קרי',qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
byh;,"Masekhet: 71027, Page: 002, Side: 1, Line: 46, Word: 14",p02,,,,,"in, with",,,,ביה;,b_,preposition with pronominal suffix,"in, with"
lmh,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 0",c,,,,,why?,,,,למה,lmh,conjunction,why?
ly,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 1",p02,,,,,"to, for",,,,לי,l_,preposition with pronominal suffix,"to, for"
lmytn),"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 2",p02,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,למיתנא,tny,preposition with pronominal suffix | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
kl,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 3",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
hny;,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 4",P01,,,,,"these, those",,,,הני;,hny,preposition independent,"these, those"
b$lm),"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 5",a,,,,,it is all right,,,,בשלמא,b$lm),adverb,it is all right
ry$);,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 6",noun sg. emphatic,,,,,head; top; chief,,,,רישא;,ry$),noun sg. emphatic,head; top; chief
"""l)","Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 7",No data,,,,,,,,,לא,None,No data,
zw,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 8",No data,,,,,,,,,זו,None,No data,
)P,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 9",No data,,,,,,,,,אף,None,No data,
"zw""","Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 10",No data,,,,,,,,,זו,None,No data,
qtny;,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 11",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,קתני;,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
)l),"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 12",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
syp),"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 13",noun sg. emphatic,,,,,end,,,,סיפא,syp),noun sg. emphatic,end
)ypk),"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 14",noun sg. emphatic,,,,,"opposite, in an opposite manner",,,,איפכא,)ypk),noun sg. emphatic,"opposite, in an opposite manner"
myb(y,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 15",verb Gt,,,,,to be sought,"to be necessary, required",to ask one another,,מיבעי,b(y,verb ethpeel,"to be sought | to be necessary, required | to ask one another"
lyh;,"Masekhet: 71027, Page: 002, Side: 1, Line: 48, Word: 16",p02,,,,,"to, for",,,,ליה;,l_,preposition with pronominal suffix,"to, for"
trty,"Masekhet: 71027, Page: 002, Side: 2, Line: 02, Word: 0",n02,,,,,two,,,,תרתי,try,numeral singular determined,two
)ycTryK;,"Masekhet: 71027, Page: 002, Side: 2, Line: 03, Word: 0",verb Gt,,,,,"to be in want, needy",to have need of,,,איצטריך;,crk,verb ethpeel,"to be in want, needy | to have need of"
sd');,"Masekhet: 71027, Page: 002, Side: 2, Line: 03, Word: 1",verb G,,,,,to go up,to result,to travel,idioms:,סד'א;,slq,verb peal,to go up | to result | to travel | idioms:
