text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)yN;,"Masekhet: 71030, Page: 002, Side: 2, Line: 06, Word: 0",I,,,,,yes,,,,אין;,)yn,interjection,yes
)yk',"Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 0",a,,,,,there is here,,,,איכ',)yk),adverb,there is here
"""hkl","Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 1",No data,,,,,,,,,הכל,None,No data,
"lktxylh""","Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 2",No data,,,,,,,,,לכתחילה,None,No data,
w)yk',"Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 3",c,a,,,,"and, also",there is here,,,ואיכ',)yk),conjunction | adverb,"and, also | there is here"
"""hkl""","Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 4",No data,,,,,,,,,הכל,None,No data,
dy(bd;,"Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 5",a,,,,,already having been done,,,,דיעבד;,dy(bd,adverb,already having been done
w)l),"Masekhet: 71030, Page: 002, Side: 2, Line: 07, Word: 6",c,c,,,,"and, also",but rather,,,ואלא,)l),conjunction | conjunction,"and, also | but rather"
"""hkl""","Masekhet: 71030, Page: 002, Side: 2, Line: 08, Word: 0",No data,,,,,,,,,הכל,None,No data,
dhk),"Masekhet: 71030, Page: 002, Side: 2, Line: 08, Word: 1",p,a,,,,"of, genitive particle",here,,,דהכא,hk),preposition | adverb,"of, genitive particle | here"
mm)y,"Masekhet: 71030, Page: 002, Side: 2, Line: 08, Word: 2",P01,,,,,what,,,,ממאי,m)y,preposition independent,what
"""dlktxylh""","Masekhet: 71030, Page: 002, Side: 2, Line: 08, Word: 3",No data,,,,,,,,,דלכתחילה,None,No data,
hw);,"Masekhet: 71030, Page: 002, Side: 2, Line: 08, Word: 4",P01,,,,,he,,,,הוא;,hw),preposition independent,he
