text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
wlypslyh,"Masekhet: 71024, Page: 002, Side: 1, Line: 22, Word: 0",c,verb G,,,,to make unfit,"to scorn, abhor",,,וליפסליה,psl,conjunction | verb peal,"to make unfit | to scorn, abhor"
ldydyh,"Masekhet: 71024, Page: 002, Side: 1, Line: 22, Word: 1",p,,,,,"self, to oneself",,,,לדידיה,ldyd_,preposition,"self, to oneself"
wl),"Masekhet: 71024, Page: 002, Side: 1, Line: 22, Word: 2",c,a,,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
lpslyh,"Masekhet: 71024, Page: 002, Side: 1, Line: 22, Word: 3",p02,verb G,,,,to make unfit,"to scorn, abhor",,,לפסליה,psl,preposition with pronominal suffix | verb peal,"to make unfit | to scorn, abhor"
lzr(yh;,"Masekhet: 71024, Page: 002, Side: 1, Line: 22, Word: 4",p03,noun sg. emphatic,,,,"to, for",seed,,,לזרעיה;,zr(),preposition proclitic | noun sg. emphatic,"to, for | seed"
b(yn),"Masekhet: 71024, Page: 002, Side: 1, Line: 22, Word: 5",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעינא,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
"""k)$'","Masekhet: 71024, Page: 002, Side: 1, Line: 23, Word: 0",No data,,,,,,,,,כאש',None,No data,
"zmM""","Masekhet: 71024, Page: 002, Side: 1, Line: 23, Word: 1",No data,,,,,,,,,זמם,None,No data,
wlyk);,"Masekhet: 71024, Page: 002, Side: 1, Line: 23, Word: 2",c,a,,,,"and, also",there isn't here,,,וליכא;,lyk),conjunction | adverb,"and, also | there isn't here"
)l),"Masekhet: 71024, Page: 002, Side: 2, Line: 02, Word: 0",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
mxwrt),"Masekhet: 71024, Page: 002, Side: 2, Line: 02, Word: 1",X,,,,,"it is evident, clearly",,,,מחורתא,mxwwrt),X,"it is evident, clearly"
kd,"Masekhet: 71024, Page: 002, Side: 2, Line: 03, Word: 0",c,,,,,when,,,,כד,kd,conjunction,when
$nyN,"Masekhet: 71024, Page: 002, Side: 2, Line: 03, Word: 1",verb D,,,,,to change (trans.),to remove,to move around from place to place,to reply,שנין,$ny#2,verb pael,to change (trans.) | to remove | to move around from place to place | to reply
m(yqr),"Masekhet: 71024, Page: 002, Side: 2, Line: 03, Word: 2",a,,,,,"originally, at first",,,,מעיקרא,m(yqr),adverb,"originally, at first"
mn),"Masekhet: 71024, Page: 002, Side: 2, Line: 04, Word: 0",a,,,,,whence,,,,מנא,mn),adverb,whence
hny,"Masekhet: 71024, Page: 002, Side: 2, Line: 04, Word: 1",P01,,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
mly;,"Masekhet: 71024, Page: 002, Side: 2, Line: 04, Word: 2",noun pl. emphatic,,,,,"word, speech; thing",,,,מלי;,mylt),noun pl. emphatic,"word, speech; thing"
l),"Masekhet: 71024, Page: 002, Side: 2, Line: 10, Word: 0",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
lygly,"Masekhet: 71024, Page: 002, Side: 2, Line: 10, Word: 1",verb G,,,,,to uncover,to go into exile,to create,,ליגלי,gly,verb peal,to uncover | to go into exile | to create
ky hyky,"Masekhet: 71024, Page: 002, Side: 2, Line: 10, Word: 2",c,,,,,in order that,,,,כי היכי,ky@hyky,conjunction,in order that
dl),"Masekhet: 71024, Page: 002, Side: 2, Line: 10, Word: 3",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
lyhwy,"Masekhet: 71024, Page: 002, Side: 2, Line: 10, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,ליהוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
lyh,"Masekhet: 71024, Page: 002, Side: 2, Line: 10, Word: 5",p02,,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
"""kprh;","Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 0",No data,,,,,,,,,כפרה;,None,No data,
hN,"Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 1",No data,,,,,,,,,הן,None,No data,
$l),"Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 2",No data,,,,,,,,,שלא,None,No data,
($w,"Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 3",No data,,,,,,,,,עשו,None,No data,
m($',"Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 4",No data,,,,,,,,,מעש',None,No data,
"bmzyd""","Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 5",No data,,,,,,,,,במזיד,None,No data,
nmy,"Masekhet: 71024, Page: 002, Side: 2, Line: 11, Word: 6",a,,,,,also,,,,נמי,nmy,adverb,also
lygly,"Masekhet: 71024, Page: 002, Side: 2, Line: 12, Word: 0",verb G,,,,,to uncover,to go into exile,to create,,ליגלי,gly,verb peal,to uncover | to go into exile | to create
ky hyky,"Masekhet: 71024, Page: 002, Side: 2, Line: 12, Word: 1",c,,,,,in order that,,,,כי היכי,ky@hyky,conjunction,in order that
dthwy,"Masekhet: 71024, Page: 002, Side: 2, Line: 12, Word: 2",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דתהוי,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
lhw,"Masekhet: 71024, Page: 002, Side: 2, Line: 12, Word: 3",p02,,,,,"to, for",,,,להו,l_,preposition with pronominal suffix,"to, for"
"""kprh"";","Masekhet: 71024, Page: 002, Side: 2, Line: 12, Word: 4",No data,,,,,,,,,כפרה;,None,No data,
)l),"Masekhet: 71024, Page: 002, Side: 2, Line: 12, Word: 5",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
mxwrt),"Masekhet: 71024, Page: 002, Side: 2, Line: 13, Word: 0",X,,,,,"it is evident, clearly",,,,מחורתא,mxwwrt),X,"it is evident, clearly"
kdr',"Masekhet: 71024, Page: 002, Side: 2, Line: 13, Word: 1",p,,,,,according to,,,,כדר',kd_,preposition,according to
$m(wN,"Masekhet: 71024, Page: 002, Side: 2, Line: 13, Word: 2",No data,,,,,,,,,שמעון,None,No data,
bN,"Masekhet: 71024, Page: 002, Side: 2, Line: 13, Word: 3",No data,,,,,,,,,בן,None,No data,
lqy$;,"Masekhet: 71024, Page: 002, Side: 2, Line: 13, Word: 4",No data,,,,,,,,,לקיש;,None,No data,
w)tw,"Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 0",c,verb G,,,,to come,to occur; w.,: to befall,to be fitting,ואתו,)ty,conjunction | verb peal,to come | to occur; w. | : to befall | to be fitting
"""(dyM""","Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 1",No data,,,,,,,,,עדים,None,No data,
)xryny,"Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 2",R,,,,,other,,,,אחריני,)xryn),R,other
w)zymwnhw,"Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 3",c,verb Ct,,,,to be shown to be a false witness,,,,ואזימונהו,zmm,conjunction | verb ettaphal,to be shown to be a false witness
"""whcdyqw","Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 4",No data,,,,,,,,,והצדיקו,None,No data,
)t,"Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 5",No data,,,,,,,,,את,None,No data,
"hcdyq""","Masekhet: 71024, Page: 002, Side: 2, Line: 21, Word: 6",No data,,,,,,,,,הצדיק,None,No data,
dm(yqr);,"Masekhet: 71024, Page: 002, Side: 2, Line: 22, Word: 0",c,a,,,,"who,which (relative)","originally, at first",,,דמעיקרא;,m(yqr),conjunction | adverb,"who,which (relative) | originally, at first"
w$wwnhw,"Masekhet: 71024, Page: 002, Side: 2, Line: 22, Word: 1",c,verb D,,,,"to spread out a carpet or covering as a place for sitting, eating or sleeping (cf.",'bed'),"to place something down, install","to do well, prosper",ושוונהו,$wy,conjunction | verb pael,"to spread out a carpet or covering as a place for sitting, eating or sleeping (cf. | 'bed') | to place something down, install | to do well, prosper"
lhny,"Masekhet: 71024, Page: 002, Side: 2, Line: 22, Word: 2",p03,P01,,,,"to, for","these, those",,,להני,hny,preposition proclitic | preposition independent,"to, for | these, those"
"""r$(yM"";","Masekhet: 71024, Page: 002, Side: 2, Line: 22, Word: 3",No data,,,,,,,,,רשעים;,None,No data,
m)y,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
l)w,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 1",a,,,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
bh),"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 2",p02,P01,,,,"in, with",this (f.),,,בהא,h),preposition with pronominal suffix | preposition independent,"in, with | this (f.)"
q),"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 3",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
myplgy;,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 4",verb Gt,,,,,to be divided,to be allotted,to be in doubt,,מיפלגי;,plg,verb ethpeel,to be divided | to be allotted | to be in doubt
dmr,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 5",p,noun sg. emphatic,,,,"of, genitive particle",a type of spade,,,דמר,mr,preposition | noun sg. emphatic,"of, genitive particle | a type of spade"
sbr,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 6",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
"""kwpr""","Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 7",No data,,,,,,,,,כופר,None,No data,
mmwn);,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 8",noun sg. emphatic,,,,,money,,,,ממונא;,mmwn),noun sg. emphatic,money
wmr,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 9",c,noun sg. emphatic,,,,"and, also",a type of spade,,,ומר,mr,conjunction | noun sg. emphatic,"and, also | a type of spade"
sbr,"Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 10",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
"""kwpr""","Masekhet: 71024, Page: 002, Side: 2, Line: 31, Word: 11",No data,,,,,,,,,כופר,None,No data,
"""kprh;","Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 0",No data,,,,,,,,,כפרה;,None,No data,
)m',"Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 1",No data,,,,,,,,,אמ',None,No data,
rb,"Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 2",No data,,,,,,,,,רב,None,No data,
"pp)"";","Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 3",No data,,,,,,,,,פפא;,None,No data,
l);,"Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 4",a,,,,,"no, not",,,,לא;,l),adverb,"no, not"
dkwly (lm',"Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 5",p,noun pl. construct,noun sg. emphatic,,,"of, genitive particle","all, every",eternity; world,,דכולי עלמ',kl,preposition | noun pl. construct | noun sg. emphatic,"of, genitive particle | all, every | eternity; world"
"""kwpr","Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 6",No data,,,,,,,,,כופר,None,No data,
"kprh"";","Masekhet: 71024, Page: 002, Side: 2, Line: 32, Word: 7",No data,,,,,,,,,כפרה;,None,No data,
whk),"Masekhet: 71024, Page: 002, Side: 2, Line: 33, Word: 0",c,a,,,,"and, also",here,,,והכא,hk),conjunction | adverb,"and, also | here"
bh),"Masekhet: 71024, Page: 002, Side: 2, Line: 33, Word: 1",p02,P01,,,,"in, with",this (f.),,,בהא,h),preposition with pronominal suffix | preposition independent,"in, with | this (f.)"
q),"Masekhet: 71024, Page: 002, Side: 2, Line: 33, Word: 2",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
myplgy;,"Masekhet: 71024, Page: 002, Side: 2, Line: 33, Word: 3",verb Gt,,,,,to be divided,to be allotted,to be in doubt,,מיפלגי;,plg,verb ethpeel,to be divided | to be allotted | to be in doubt
