text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mn),"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 0",a,,,,,whence,,,,מנא,mn),adverb,whence
lN;,"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 1",p02,,,,,"to, for",,,,לן;,l_,preposition with pronominal suffix,"to, for"
ky,"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 2",c,,,,,when,,,,כי,ky,conjunction,when
db(nN,"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 3",c,verb G,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דבענן,b(y,conjunction | verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
lmymr,"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 4",p02,verb G,,,,to say,to command,to think,idiomatic and special usages:,למימר,)mr,preposition with pronominal suffix | verb peal,to say | to command | to think | idiomatic and special usages:
lqmN;,"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 5",p02,,,,,before,,,,לקמן;,lqmy,preposition with pronominal suffix,before
d)ytmr..;,"Masekhet: 71010, Page: 002, Side: 1, Line: 19, Word: 6",No data,,,,,,,,,דאיתמר;,None,No data,
)nN,"Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 0",P01,,,,,we,,,,אנן,)nn,preposition independent,we
hky,"Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 1",X,,,,,"so, thus",,,,הכי,hky,X,"so, thus"
)mrynN;,"Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרינן;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
mykdy,"Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 3",a,,,,,"now, well, since",,,,מיכדי,mkdy,adverb,"now, well, since"
kwlhw,"Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 4",noun sg. emphatic,,,,,"all, every",,,,כולהו,kl,noun sg. emphatic,"all, every"
""")n$y","Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 5",No data,,,,,,,,,אנשי,None,No data,
knst,"Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 6",No data,,,,,,,,,כנסת,None,No data,
"hgdwlh""","Masekhet: 71010, Page: 002, Side: 1, Line: 22, Word: 7",No data,,,,,,,,,הגדולה,None,No data,
tqynw;,"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 0",verb D,,,,,"to establish properly, correct","to place, install","to ordain, declare",,תקינו;,tqn,verb pael,"to establish properly, correct | to place, install | to ordain, declare"
d)yslq),"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 1",c,verb G,,,,to go up,to result,to travel,idioms:,דאיסלקא,slq,conjunction | verb peal,to go up | to result | to travel | idioms:
d(t),"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 2",noun sg. emphatic,,,,,knowledge,,,,דעתא,d(t),noun sg. emphatic,knowledge
""")n$y","Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 3",No data,,,,,,,,,אנשי,None,No data,
knst,"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 4",No data,,,,,,,,,כנסת,None,No data,
"hgdwlh""","Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 5",No data,,,,,,,,,הגדולה,None,No data,
tqynw,"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 6",verb D,,,,,"to establish properly, correct","to place, install","to ordain, declare",,תקינו,tqn,verb pael,"to establish properly, correct | to place, install | to ordain, declare"
""")rb(h","Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 7",No data,,,,,,,,,ארבעה,None,No data,
($r,"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 8",No data,,,,,,,,,עשר,None,No data,
wxm$h,"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 9",No data,,,,,,,,,וחמשה,None,No data,
"($r""","Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 10",No data,,,,,,,,,עשר,None,No data,
hw),"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 11",P01,,,,,he,,,,הוא,hw),preposition independent,he
dtqwN;,"Masekhet: 71010, Page: 002, Side: 1, Line: 23, Word: 12",c,verb D,,,,"to establish properly, correct","to place, install","to ordain, declare",,דתקון;,tqn,conjunction | verb pael,"to establish properly, correct | to place, install | to ordain, declare"
hyky,"Masekhet: 71010, Page: 002, Side: 1, Line: 24, Word: 0",a,,,,,how,,,,היכי,hyky,adverb,how
)tw,"Masekhet: 71010, Page: 002, Side: 1, Line: 24, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתו,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
rbnN,"Masekhet: 71010, Page: 002, Side: 1, Line: 24, Word: 2",N,,,,,"lord, master",,,,רבנן,rbnn,noun,"lord, master"
(qry,"Masekhet: 71010, Page: 002, Side: 1, Line: 24, Word: 3",verb G,,,,,"to uproot, extract","to destroy without a trace, eradicate, abolish","to exclude, specify exclusion in a contract","to move away from one's home, flee",עקרי,(qr,verb peal,"to uproot, extract | to destroy without a trace, eradicate, abolish | to exclude, specify exclusion in a contract | to move away from one's home, flee"
tqnt),"Masekhet: 71010, Page: 002, Side: 1, Line: 24, Word: 4",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא,tqnt),noun sg. emphatic,"arrangement, setting"
dtqynw;,"Masekhet: 71010, Page: 002, Side: 1, Line: 24, Word: 5",c,verb D,,,,"to establish properly, correct","to place, install","to ordain, declare",,דתקינו;,tqn,conjunction | verb pael,"to establish properly, correct | to place, install | to ordain, declare"
)l),"Masekhet: 71010, Page: 002, Side: 1, Line: 27, Word: 0",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
p$yT),"Masekhet: 71010, Page: 002, Side: 1, Line: 27, Word: 1",A01,,,,,simple,,,,פשיטא,p$yT,adjective singular absolute or construct,simple
