text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)yb',"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 0",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,איב',b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
)ym',"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אימ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
^s^br),"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 2",noun sg. emphatic,,,,,opinion,,,,סברא,sbr),noun sg. emphatic,opinion
w)y',"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 3",c,c,,,,"and, also","if, whether",,,ואי',)y,conjunction | conjunction,"and, also | if, whether"
)ym',"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אימ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
qr);,"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 5",noun sg. emphatic,,,,,crying; reading,,,,קרא;,qr),noun sg. emphatic,crying; reading
)y',"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 6",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,אי',b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
)ym',"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אימ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
sbr);,"Masekhet: 71029, Page: 002, Side: 1, Line: 15, Word: 8",noun sg. emphatic,,,,,opinion,,,,סברא;,sbr),noun sg. emphatic,opinion
m$wM,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 0",c,,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
d$ny,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 1",c,verb D,,,,to change (trans.),to remove,to move around from place to place,to reply,דשני,$ny#2,conjunction | verb pael,to change (trans.) | to remove | to move around from place to place | to reply
bh,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 2",p02,,,,,"in, with",,,,בה,b_,preposition with pronominal suffix,"in, with"
kl hky,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 3",X,,,,,where,,,,כל הכי,kl@hyk),X,where
ny$ny,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 4",verb D,,,,,to change (trans.),to remove,to move around from place to place,to reply,נישני,$ny#2,verb pael,to change (trans.) | to remove | to move around from place to place | to reply
bh,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 5",p02,,,,,"in, with",,,,בה,b_,preposition with pronominal suffix,"in, with"
wnyzy;,"Masekhet: 71029, Page: 002, Side: 1, Line: 16, Word: 6",c,verb G,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",וניזי;,)zl,conjunction | verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
my,"Masekhet: 71029, Page: 002, Side: 1, Line: 18, Word: 0",c,,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
$ry,"Masekhet: 71029, Page: 002, Side: 1, Line: 18, Word: 1",A01,,,,,"free, unrestrained",,,,שרי,$ry,adjective singular absolute or construct,"free, unrestrained"
