text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
h$t),"Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 0",a,,,,,now,,,,השתא,h$t),adverb,now
"""y$","Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 1",No data,,,,,,,,,יש,None,No data,
lwm';,"Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 2",No data,,,,,,,,,לומ';,None,No data,
mm(yN,"Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 3",No data,,,,,,,,,ממעין,None,No data,
$yc),"Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 4",No data,,,,,,,,,שיצא,None,No data,
"btxlh""","Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 5",No data,,,,,,,,,בתחלה,None,No data,
d)ty,"Masekhet: 71011, Page: 002, Side: 1, Line: 13, Word: 6",c,verb G,,,,to come,to occur; w.,: to befall,to be fitting,דאתי,)ty,conjunction | verb peal,to come | to occur; w. | : to befall | to be fitting
l)ynpwly,"Masekhet: 71011, Page: 002, Side: 1, Line: 14, Word: 0",p02,verb Gt,,,,"to fall in on oneself, collapse",,,,לאינפולי,npl,preposition with pronominal suffix | verb ethpeel,"to fall in on oneself, collapse"
"""m$qyN;","Masekhet: 71011, Page: 002, Side: 1, Line: 14, Word: 1",No data,,,,,,,,,משקין;,None,No data,
"mm(yN""","Masekhet: 71011, Page: 002, Side: 1, Line: 14, Word: 2",No data,,,,,,,,,ממעין,None,No data,
"""$l)","Masekhet: 71011, Page: 002, Side: 1, Line: 15, Word: 0",No data,,,,,,,,,שלא,None,No data,
"yc)""","Masekhet: 71011, Page: 002, Side: 1, Line: 15, Word: 1",No data,,,,,,,,,יצא,None,No data,
mb(y);,"Masekhet: 71011, Page: 002, Side: 1, Line: 15, Word: 2",verb Gt,,,,,to be sought,"to be necessary, required",to ask one another,,מבעיא;,b(y,verb ethpeel,"to be sought | to be necessary, required | to ask one another"
)mry;,"Masekhet: 71011, Page: 002, Side: 1, Line: 15, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרי;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
)y,"Masekhet: 71011, Page: 002, Side: 1, Line: 15, Word: 4",c,,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
tn),"Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 0",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
"""m(yN","Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 1",No data,,,,,,,,,מעין,None,No data,
$yc),"Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 2",No data,,,,,,,,,שיצא,None,No data,
"btxlh"";","Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 3",No data,,,,,,,,,בתחלה;,None,No data,
hwh,"Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)myn),"Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 5",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמינא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hk),"Masekhet: 71011, Page: 002, Side: 1, Line: 16, Word: 6",a,,,,,here,,,,הכא,hk),adverb,here
hw),"Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 0",P01,,,,,he,,,,הוא,hw),preposition independent,he
"""dbyt","Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 1",No data,,,,,,,,,דבית,None,No data,
"h$lxyN""","Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 2",No data,,,,,,,,,השלחין,None,No data,
)yN;,"Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 3",I,,,,,yes,,,,אין;,)yn,interjection,yes
"""byt","Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 4",No data,,,,,,,,,בית,None,No data,
"hb(l""","Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 5",No data,,,,,,,,,הבעל,None,No data,
l);,"Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 6",a,,,,,"no, not",,,,לא;,l),adverb,"no, not"
m$wM,"Masekhet: 71011, Page: 002, Side: 1, Line: 17, Word: 7",p01,,,,,because of,,,,משום,m$wm,preposition independent,because of
d)ty,"Masekhet: 71011, Page: 002, Side: 1, Line: 18, Word: 0",c,verb G,,,,to come,to occur; w.,: to befall,to be fitting,דאתי,)ty,conjunction | verb peal,to come | to occur; w. | : to befall | to be fitting
l)ynpwly;,"Masekhet: 71011, Page: 002, Side: 1, Line: 18, Word: 1",p02,verb Gt,,,,"to fall in on oneself, collapse",,,,לאינפולי;,npl,preposition with pronominal suffix | verb ethpeel,"to fall in on oneself, collapse"
""")bl","Masekhet: 71011, Page: 002, Side: 1, Line: 18, Word: 2",No data,,,,,,,,,אבל,None,No data,
m(yN,"Masekhet: 71011, Page: 002, Side: 1, Line: 18, Word: 3",No data,,,,,,,,,מעין,None,No data,
$l),"Masekhet: 71011, Page: 002, Side: 1, Line: 18, Word: 4",No data,,,,,,,,,שלא,None,No data,
"yc)""","Masekhet: 71011, Page: 002, Side: 1, Line: 18, Word: 5",No data,,,,,,,,,יצא,None,No data,
"""btxlh"";","Masekhet: 71011, Page: 002, Side: 1, Line: 19, Word: 0",No data,,,,,,,,,בתחלה;,None,No data,
dl),"Masekhet: 71011, Page: 002, Side: 1, Line: 19, Word: 1",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
)ty,"Masekhet: 71011, Page: 002, Side: 1, Line: 19, Word: 2",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
l)ynpwly,"Masekhet: 71011, Page: 002, Side: 1, Line: 19, Word: 3",p02,verb Gt,,,,"to fall in on oneself, collapse",,,,לאינפולי,npl,preposition with pronominal suffix | verb ethpeel,"to fall in on oneself, collapse"
)ym),"Masekhet: 71011, Page: 002, Side: 1, Line: 19, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
)plw,"Masekhet: 71011, Page: 002, Side: 1, Line: 19, Word: 5",c,,,,,"even if , even",,,,אפלו,)plw,conjunction,"even if , even"
"""byt","Masekhet: 71011, Page: 002, Side: 1, Line: 20, Word: 0",No data,,,,,,,,,בית,None,No data,
"hb(l""","Masekhet: 71011, Page: 002, Side: 1, Line: 20, Word: 1",No data,,,,,,,,,הבעל,None,No data,
nmy;,"Masekhet: 71011, Page: 002, Side: 1, Line: 20, Word: 2",a,,,,,also,,,,נמי;,nmy,adverb,also
q),"Masekhet: 71011, Page: 002, Side: 1, Line: 20, Word: 3",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
m$m(,"Masekhet: 71011, Page: 002, Side: 1, Line: 20, Word: 4",verb C,,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,משמע,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
