text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
m)y,"Masekhet: 71015, Page: 002, Side: 2, Line: 01, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71015, Page: 002, Side: 2, Line: 01, Word: 1",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71015, Page: 002, Side: 2, Line: 01, Word: 2",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""nzyr""","Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 0",No data,,,,,,,,,נזיר,None,No data,
dl),"Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 1",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
tny,"Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
lkwlhw;,"Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 3",p03,noun sg. emphatic,,,,"to, for","all, every",,,לכולהו;,kl,preposition proclitic | noun sg. emphatic,"to, for | all, every"
wm)y,"Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 4",c,P01,,,,"and, also",what,,,ומאי,m)y,conjunction | preposition independent,"and, also | what"
$n),"Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 5",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71015, Page: 002, Side: 2, Line: 02, Word: 6",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""ndryM""","Masekhet: 71015, Page: 002, Side: 2, Line: 03, Word: 0",No data,,,,,,,,,נדרים,None,No data,
dtny,"Masekhet: 71015, Page: 002, Side: 2, Line: 03, Word: 1",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
kwlhw;,"Masekhet: 71015, Page: 002, Side: 2, Line: 03, Word: 2",noun sg. emphatic,,,,,"all, every",,,,כולהו;,kl,noun sg. emphatic,"all, every"
m$wM,"Masekhet: 71015, Page: 002, Side: 2, Line: 03, Word: 3",c,,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
"""dndr","Masekhet: 71015, Page: 002, Side: 2, Line: 03, Word: 4",No data,,,,,,,,,דנדר,None,No data,
"w$bw(h""","Masekhet: 71015, Page: 002, Side: 2, Line: 03, Word: 5",No data,,,,,,,,,ושבועה,None,No data,
ktybN,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 0",verb G,,,,,to write,to draw,,,כתיבן,ktb,verb peal,to write | to draw
gby,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 1",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
hddy,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 2",P01,,,,,one another; each other,,,,הדדי,hddy,preposition independent,one another; each other
tny,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 3",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
trty;,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 4",n02,,,,,two,,,,תרתי;,try,numeral singular determined,two
wkywN,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 5",c,c,,,,"and, also","when, since",,,וכיון,kywn,conjunction | conjunction,"and, also | when, since"
dtny,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 6",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
trty,"Masekhet: 71015, Page: 002, Side: 2, Line: 04, Word: 7",n02,,,,,two,,,,תרתי,try,numeral singular determined,two
tny,"Masekhet: 71015, Page: 002, Side: 2, Line: 05, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
kwlhw;,"Masekhet: 71015, Page: 002, Side: 2, Line: 05, Word: 1",noun sg. emphatic,,,,,"all, every",,,,כולהו;,kl,noun sg. emphatic,"all, every"
