text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
whyll;,"Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 0",c,,,,,"and, also",,,,והילל;,w_,conjunction,"and, also"
ky,"Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 1",c,,,,,when,,,,כי,ky,conjunction,when
)mrynN;,"Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרינן;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""h(md","Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 3",No data,,,,,,,,,העמד,None,No data,
dbr,"Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 4",No data,,,,,,,,,דבר,None,No data,
(l,"Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 5",No data,,,,,,,,,על,None,No data,
"xzqtw"";","Masekhet: 71037, Page: 002, Side: 1, Line: 15, Word: 6",No data,,,,,,,,,חזקתו;,None,No data,
hyk),"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 0",a,,,,,where,,,,היכא,hyk),adverb,where
dlyt,"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 1",c,V,,,,"who,which (relative)",there is/are not,,,דלית,lyt,conjunction | V,"who,which (relative) | there is/are not"
lyh,"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 2",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
ry(wt),"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 3",noun sg. emphatic,,,,,unsoundness,,,,ריעותא,ry(wt),noun sg. emphatic,unsoundness
mgwpyh,"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 4",p,noun sg. emphatic,,,,from,body,,,מגופיה,gwp),preposition | noun sg. emphatic,from | body
..;,"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 5",No data,,,,,,,,,;,None,No data,
hK,"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 6",P01,,,,,that (m.&f.),,,,הך,hk,preposition independent,that (m.&f.)
)ytt);,"Masekhet: 71037, Page: 002, Side: 1, Line: 16, Word: 7",noun sg. emphatic,,,,,"woman, wife",,,,איתתא;,)ytt),noun sg. emphatic,"woman, wife"
kywN,"Masekhet: 71037, Page: 002, Side: 2, Line: 01, Word: 0",c,,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
dmgwp',"Masekhet: 71037, Page: 002, Side: 2, Line: 01, Word: 1",c,noun sg. emphatic,,,,"who,which (relative)",body,,,דמגופ',gwp),conjunction | noun sg. emphatic,"who,which (relative) | body"
q),"Masekhet: 71037, Page: 002, Side: 2, Line: 01, Word: 2",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
