text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
m)y,"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
""")wr"";","Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 1",No data,,,,,,,,,אור;,None,No data,
rb,"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 2",noun sg. emphatic,,,,,chief; teacher,,,,רב,rb,noun sg. emphatic,chief; teacher
hwn),"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 3",No data,,,,,,,,,הונא,None,No data,
)m';,"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
nwghy;,"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 5",noun sg. abs. or construct,,,,,dawn,,,,נוגהי;,nwghy,noun sg. abs. or construct,dawn
rb,"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 6",noun sg. emphatic,,,,,chief; teacher,,,,רב,rb,noun sg. emphatic,chief; teacher
yhwdh,"Masekhet: 71004, Page: 002, Side: 1, Line: 07, Word: 7",No data,,,,,,,,,יהודה,None,No data,
)mr;,"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyly;,"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 1",noun sg. abs. or construct,,,,,night,,,,לילי;,lyly),noun sg. abs. or construct,night
q),"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 2",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
slq),"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 3",verb G,,,,,to go up,to result,to travel,idioms:,סלקא,slq,verb peal,to go up | to result | to travel | idioms:
)d(tyN,"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 4",noun sg. emphatic,,,,,knowledge,,,,אדעתין,d(t),noun sg. emphatic,knowledge
dm)N,"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 5",c,P01,,,,"who,which (relative)",who?,,,דמאן,m)n,conjunction | preposition independent,"who,which (relative) | who?"
d)m',"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 6",c,verb G,,,,to say,to command,to think,idiomatic and special usages:,דאמ',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
nwghy,"Masekhet: 71004, Page: 002, Side: 1, Line: 08, Word: 7",noun pl. emphatic,,,,,dawn,,,,נוגהי,nwghy,noun pl. emphatic,dawn
cpr);,"Masekhet: 71004, Page: 002, Side: 1, Line: 09, Word: 0",noun sg. emphatic,,,,,morning,,,,צפרא;,cpr),noun sg. emphatic,morning
wm)N,"Masekhet: 71004, Page: 002, Side: 1, Line: 09, Word: 1",c,P01,,,,"and, also",who?,,,ומאן,m)n,conjunction | preposition independent,"and, also | who?"
d)m',"Masekhet: 71004, Page: 002, Side: 1, Line: 09, Word: 2",c,verb G,,,,to say,to command,to think,idiomatic and special usages:,דאמ',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
lyly{{^)^}},"Masekhet: 71004, Page: 002, Side: 1, Line: 09, Word: 3",noun sg. emphatic,,,,,night,,,,ליליא,lyly),noun sg. emphatic,night
)wrt);,"Masekhet: 71004, Page: 002, Side: 1, Line: 09, Word: 4",noun sg. emphatic,,,,,nightfall,,,,אורתא;,)wrt),noun sg. emphatic,nightfall
mwtyby;,"Masekhet: 71004, Page: 002, Side: 1, Line: 09, Word: 5",verb C,,,,,"to restore, return (trans.)",(w. or without an object) to answer,to vomit,,מותיבי;,twb,verb (h)aphel,"to restore, return (trans.) | (w. or without an object) to answer | to vomit"
"""hbqr","Masekhet: 71004, Page: 002, Side: 1, Line: 10, Word: 0",No data,,,,,,,,,הבקר,None,No data,
")wr"";","Masekhet: 71004, Page: 002, Side: 1, Line: 10, Word: 1",No data,,,,,,,,,אור;,None,No data,
)lm),"Masekhet: 71004, Page: 002, Side: 1, Line: 10, Word: 2",c,,,,,why?,,,,אלמא,)lm),conjunction,why?
""")wr""","Masekhet: 71004, Page: 002, Side: 1, Line: 10, Word: 3",No data,,,,,,,,,אור,None,No data,
ymm),"Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 0",N,,,,,daytime,,,,יממא,ymm),noun,daytime
hw);,"Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 1",P01,,,,,he,,,,הוא;,hw),preposition independent,he
my,"Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 2",c,,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
kt',"Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 3",verb G,,,,,to write,to draw,,,כת',ktb,verb peal,to write | to draw
"""h)wr","Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 4",No data,,,,,,,,,האור,None,No data,
bqr;,"Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 5",No data,,,,,,,,,בקר;,None,No data,
hbqr,"Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 6",No data,,,,,,,,,הבקר,None,No data,
")wr""","Masekhet: 71004, Page: 002, Side: 1, Line: 11, Word: 7",No data,,,,,,,,,אור,None,No data,
kt';,"Masekhet: 71004, Page: 002, Side: 1, Line: 12, Word: 0",verb G,,,,,to write,to draw,,,כת';,ktb,verb peal,to write | to draw
km)N,"Masekhet: 71004, Page: 002, Side: 1, Line: 12, Word: 1",P,,,,,who?,,,,כמאן,m)n,P,who?
d)m';,"Masekhet: 71004, Page: 002, Side: 1, Line: 12, Word: 2",c,verb G,,,,to say,to command,to think,idiomatic and special usages:,דאמ';,)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
cpr),"Masekhet: 71004, Page: 002, Side: 1, Line: 12, Word: 3",noun sg. emphatic,,,,,morning,,,,צפרא,cpr),noun sg. emphatic,morning
nhr;,"Masekhet: 71004, Page: 002, Side: 1, Line: 12, Word: 4",verb G,,,,,to shine,to be clear,"to prevail, grow in power and strength",,נהר;,nhr,verb peal,"to shine | to be clear | to prevail, grow in power and strength"
)lm),"Masekhet: 71004, Page: 002, Side: 1, Line: 15, Word: 0",c,,,,,why?,,,,אלמא,)lm),conjunction,why?
""")wr""","Masekhet: 71004, Page: 002, Side: 1, Line: 15, Word: 1",No data,,,,,,,,,אור,None,No data,
ymm),"Masekhet: 71004, Page: 002, Side: 1, Line: 15, Word: 2",N,,,,,daytime,,,,יממא,ymm),noun,daytime
hw);,"Masekhet: 71004, Page: 002, Side: 1, Line: 15, Word: 3",P01,,,,,he,,,,הוא;,hw),preposition independent,he
h),"Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 0",I01,,,,,here! look!,,,,הא,h),I01,here! look!
qym),"Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 1",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קימא,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
lN,"Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 2",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
d(d,"Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 3",p,p01,,,,"of, genitive particle",until,,,דעד,(d,preposition | preposition independent,"of, genitive particle | until"
"""ycy)t","Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 4",No data,,,,,,,,,יציאת,None,No data,
"hkwkbyM""","Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 5",No data,,,,,,,,,הכוכבים,None,No data,
ymm),"Masekhet: 71004, Page: 002, Side: 1, Line: 22, Word: 6",N,,,,,daytime,,,,יממא,ymm),noun,daytime
hw);,"Masekhet: 71004, Page: 002, Side: 1, Line: 23, Word: 0",P01,,,,,he,,,,הוא;,hw),preposition independent,he
xky,"Masekhet: 71004, Page: 002, Side: 1, Line: 23, Word: 1",X,,,,,"so, thus",,,,חכי,hky,X,"so, thus"
q)m';,"Masekhet: 71004, Page: 002, Side: 1, Line: 23, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,קאמ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
qryyh,"Masekhet: 71004, Page: 002, Side: 1, Line: 23, Word: 3",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",קרייה,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
rxm',"Masekhet: 71004, Page: 002, Side: 1, Line: 23, Word: 4",noun sg. emphatic,,,,,merciful,,,,רחמ',rxmn),noun sg. emphatic,merciful
lnhwr),"Masekhet: 71004, Page: 002, Side: 1, Line: 23, Word: 5",p03,noun sg. emphatic,,,,"to, for",light,,,לנהורא,nhwr),preposition proclitic | noun sg. emphatic,"to, for | light"
w)zhryh,"Masekhet: 71004, Page: 002, Side: 1, Line: 24, Word: 0",c,verb C,,,,to warn,to teach proper behavior,to put in charge,,ואזהריה,zhr,conjunction | verb (h)aphel,to warn | to teach proper behavior | to put in charge
)mcw)t),"Masekhet: 71004, Page: 002, Side: 1, Line: 24, Word: 1",noun pl. emphatic,,,,,commandment,,,,אמצואתא,mcwwt),noun pl. emphatic,commandment
dymm);,"Masekhet: 71004, Page: 002, Side: 1, Line: 24, Word: 2",p,N,,,,"of, genitive particle",daytime,,,דיממא;,ymm),preposition | noun,"of, genitive particle | daytime"
qryyh,"Masekhet: 71004, Page: 002, Side: 1, Line: 24, Word: 3",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",קרייה,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
rxm',"Masekhet: 71004, Page: 002, Side: 1, Line: 24, Word: 4",noun sg. emphatic,,,,,merciful,,,,רחמ',rxmn),noun sg. emphatic,merciful
lx$wk);,"Masekhet: 71004, Page: 002, Side: 1, Line: 25, Word: 0",p03,noun sg. emphatic,,,,"to, for",darkness,,,לחשוכא;,x$wk),preposition proclitic | noun sg. emphatic,"to, for | darkness"
w)zhryh,"Masekhet: 71004, Page: 002, Side: 1, Line: 25, Word: 1",c,verb C,,,,to warn,to teach proper behavior,to put in charge,,ואזהריה,zhr,conjunction | verb (h)aphel,to warn | to teach proper behavior | to put in charge
)mcw)t),"Masekhet: 71004, Page: 002, Side: 1, Line: 25, Word: 2",noun pl. emphatic,,,,,commandment,,,,אמצואתא,mcwwt),noun pl. emphatic,commandment
dlyly);,"Masekhet: 71004, Page: 002, Side: 1, Line: 25, Word: 3",p,noun sg. emphatic,,,,"of, genitive particle",night,,,דליליא;,lyly),preposition | noun sg. emphatic,"of, genitive particle | night"
"""hllwhw","Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 0",No data,,,,,,,,,הללוהו,None,No data,
kl,"Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 1",No data,,,,,,,,,כל,None,No data,
kwkby,"Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 2",No data,,,,,,,,,כוכבי,None,No data,
")wr"";","Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 3",No data,,,,,,,,,אור;,None,No data,
)lm),"Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 4",c,,,,,why?,,,,אלמא,)lm),conjunction,why?
""")wr""","Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 5",No data,,,,,,,,,אור,None,No data,
)wrt),"Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 6",noun sg. emphatic,,,,,nightfall,,,,אורתא,)wrt),noun sg. emphatic,nightfall
hw);,"Masekhet: 71004, Page: 002, Side: 1, Line: 26, Word: 7",P01,,,,,he,,,,הוא;,hw),preposition independent,he
mkll,"Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 0",c,,,,,by inference,,,,מכלל,mkll,conjunction,by inference
d)yk),"Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 1",c,a,,,,"who,which (relative)",there is here,,,דאיכא,)yk),conjunction | adverb,"who,which (relative) | there is here"
"""$)ynN","Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 2",No data,,,,,,,,,שאינן,None,No data,
"m)yryN"";","Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 3",No data,,,,,,,,,מאירין;,None,No data,
w(wd,"Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 4",c,a,,,,"and, also",still; again,,,ועוד,(wd,conjunction | adverb,"and, also | still; again"
"""m)yryN""","Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 5",No data,,,,,,,,,מאירין,None,No data,
hw),"Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 6",P01,,,,,he,,,,הוא,hw),preposition independent,he
db(w,"Masekhet: 71004, Page: 002, Side: 1, Line: 28, Word: 7",c,verb G,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דבעו,b(y,conjunction | verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
$bwxy;,"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 0",verb D,,,,,to praise,to commend,"to improve, make praiseworthy (or shiny?)",,שבוחי;,$bx,verb pael,"to praise | to commend | to improve, make praiseworthy (or shiny?)"
"""$)ynN","Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 1",No data,,,,,,,,,שאינן,None,No data,
"m)yryN""","Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 2",No data,,,,,,,,,מאירין,None,No data,
l),"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 3",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
b(y,"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 4",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
$bwxy;,"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 5",verb D,,,,,to praise,to commend,"to improve, make praiseworthy (or shiny?)",,שבוחי;,$bx,verb pael,"to praise | to commend | to improve, make praiseworthy (or shiny?)"
htM,"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 6",a,,,,,there,,,,התם,htm,adverb,there
h),"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 7",I01,,,,,here! look!,,,,הא,h),I01,here! look!
q),"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 8",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
m$m(,"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 9",verb C,,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,משמע,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
lN,"Masekhet: 71004, Page: 002, Side: 1, Line: 29, Word: 10",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
d)pylw,"Masekhet: 71004, Page: 002, Side: 1, Line: 30, Word: 0",c,c,,,,"who,which (relative)","even if , even",,,דאפילו,)plw,conjunction | conjunction,"who,which (relative) | even if , even"
""")wr","Masekhet: 71004, Page: 002, Side: 1, Line: 30, Word: 1",No data,,,,,,,,,אור,None,No data,
"kwkbyM""","Masekhet: 71004, Page: 002, Side: 1, Line: 30, Word: 2",No data,,,,,,,,,כוכבים,None,No data,
nmy,"Masekhet: 71004, Page: 002, Side: 1, Line: 31, Word: 0",a,,,,,also,,,,נמי,nmy,adverb,also
)yq?r?<...>;,"Masekhet: 71004, Page: 002, Side: 1, Line: 31, Word: 1",verb Gt,,,,,to be called,to be read,(instrument) to make a musical sound,to be recalled from a clerical seat,איקר;,qry,verb ethpeel,to be called | to be read | (instrument) to make a musical sound | to be recalled from a clerical seat
""")wr"";","Masekhet: 71004, Page: 002, Side: 1, Line: 31, Word: 2",No data,,,,,,,,,אור;,None,No data,
lm)y,"Masekhet: 71004, Page: 002, Side: 1, Line: 31, Word: 3",p03,P01,,,,"to, for",what,,,למאי,m)y,preposition proclitic | preposition independent,"to, for | what"
npq),"Masekhet: 71004, Page: 002, Side: 1, Line: 31, Word: 4",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפקא,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
mynh;,"Masekhet: 71004, Page: 002, Side: 1, Line: 32, Word: 0",p02,,,,,from,,,,מינה;,mn,preposition with pronominal suffix,from
mdq)m',"Masekhet: 71004, Page: 002, Side: 2, Line: 01, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מדקאמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""wblylh","Masekhet: 71004, Page: 002, Side: 2, Line: 01, Word: 1",No data,,,,,,,,,ובלילה,None,No data,
yhy,"Masekhet: 71004, Page: 002, Side: 2, Line: 01, Word: 2",No data,,,,,,,,,יהי,None,No data,
"kgnb;""","Masekhet: 71004, Page: 002, Side: 2, Line: 01, Word: 3",No data,,,,,,,,,כגנב;,None,No data,
mkll,"Masekhet: 71004, Page: 002, Side: 2, Line: 01, Word: 4",c,,,,,by inference,,,,מכלל,mkll,conjunction,by inference
"""d)wr""","Masekhet: 71004, Page: 002, Side: 2, Line: 01, Word: 5",No data,,,,,,,,,דאור,None,No data,
)ymm),"Masekhet: 71004, Page: 002, Side: 2, Line: 02, Word: 0",N,,,,,daytime,,,,איממא,ymm),noun,daytime
hw);,"Masekhet: 71004, Page: 002, Side: 2, Line: 02, Word: 1",P01,,,,,he,,,,הוא;,hw),preposition independent,he
htM,"Masekhet: 71004, Page: 002, Side: 2, Line: 02, Word: 2",a,,,,,there,,,,התם,htm,adverb,there
q),"Masekhet: 71004, Page: 002, Side: 2, Line: 02, Word: 3",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
{{m$m(}},"Masekhet: 71004, Page: 002, Side: 2, Line: 02, Word: 4",verb C,,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,משמע,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
)ymm),"Masekhet: 71004, Page: 002, Side: 2, Line: 08, Word: 0",N,,,,,daytime,,,,איממא,ymm),noun,daytime
hw);,"Masekhet: 71004, Page: 002, Side: 2, Line: 08, Word: 1",P01,,,,,he,,,,הוא;,hw),preposition independent,he
htM,"Masekhet: 71004, Page: 002, Side: 2, Line: 08, Word: 2",a,,,,,there,,,,התם,htm,adverb,there
)ywb,"Masekhet: 71004, Page: 002, Side: 2, Line: 08, Word: 3",No data,,,,,,,,,איוב,None,No data,
hw),"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 0",P01,,,,,he,,,,הוא,hw),preposition independent,he
dq),"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 1",c,a,,,,"who,which (relative)",aspectual particle,,,דקא,q),conjunction | adverb,"who,which (relative) | aspectual particle"
l)yyT,"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 2",verb G,,,,,to curse,"+ ""upon"" : to denounce, reject",,,לאייט,lwT,verb peal,"to curse | + ""upon"" : to denounce, reject"
lyh,"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 3",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
lmzly?h?;,"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 4",p03,noun sg. emphatic,,,,"to, for",constellation,,,למזליה;,mzl),preposition proclitic | noun sg. emphatic,"to, for | constellation"
nb(y,"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 5",verb G,,,,,to gush forth,to germinate,to appear suddenly,,נבעי,nb(,verb peal,to gush forth | to germinate | to appear suddenly
mzlyh,"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 6",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",מזליה,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
d<..;,"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 7",No data,,,,,,,,,ד;,None,No data,
nhwr),"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 9",noun sg. emphatic,,,,,light,,,,נהורא,nhwr),noun sg. emphatic,light
wl),"Masekhet: 71004, Page: 002, Side: 2, Line: 09, Word: 10",c,a,,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
n?$?k{{}}^x^,"Masekhet: 71004, Page: 002, Side: 2, Line: 11, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",נשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
mdq)m',"Masekhet: 71004, Page: 002, Side: 2, Line: 12, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מדקאמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""wlylh","Masekhet: 71004, Page: 002, Side: 2, Line: 12, Word: 1",No data,,,,,,,,,ולילה,None,No data,
