text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
ly;,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02,,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
lmh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,why?,,,,למה,lmh,conjunction,why?
"yqb""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,יקב,None,No data,
rxm',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,merciful,,,,רחמ',rxmn),noun sg. emphatic,merciful
"""c)N;","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,צאן;,None,No data,
kt',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to write,to draw,,,כת',ktb,verb peal,to write | to draw
l);,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a,,,,,"no, not",,,,לא;,l),adverb,"no, not"
"xyyM""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,חיים,None,No data,
"""b(ly","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בעלי,None,No data,
m(yqr),"Masekhet: 71019, Page: 002, Side: 2, Line: 02, Word: 0",a,,,,,"originally, at first",,,,מעיקרא,m(yqr),adverb,"originally, at first"
tny,"Masekhet: 71019, Page: 002, Side: 2, Line: 02, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
ly$n),"Masekhet: 71019, Page: 002, Side: 2, Line: 02, Word: 2",N,,,,,tongue,,,,לישנא,ly$n),noun,tongue
d)wryyt),"Masekhet: 71019, Page: 002, Side: 2, Line: 03, Word: 0",p,noun sg. emphatic,,,,"of, genitive particle","law, teaching; the Torah",,,דאורייתא,)wryyt),preposition | noun sg. emphatic,"of, genitive particle | law, teaching; the Torah"
wlbs',"Masekhet: 71019, Page: 002, Side: 2, Line: 03, Word: 1",c,N,,,,"and, also",end,,,ולבס',lbswp,conjunction | noun,"and, also | end"
tny,"Masekhet: 71019, Page: 002, Side: 2, Line: 03, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
ly$n),"Masekhet: 71019, Page: 002, Side: 2, Line: 03, Word: 3",N,,,,,tongue,,,,לישנא,ly$n),noun,tongue
drbnN;,"Masekhet: 71019, Page: 002, Side: 2, Line: 03, Word: 4",p,N,,,,"of, genitive particle","lord, master",,,דרבנן;,rbnn,preposition | noun,"of, genitive particle | lord, master"
)y,"Masekhet: 71019, Page: 002, Side: 2, Line: 19, Word: 0",c,,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
hky,"Masekhet: 71019, Page: 002, Side: 2, Line: 19, Word: 1",X,,,,,"so, thus",,,,הכי,hky,X,"so, thus"
q$w,"Masekhet: 71019, Page: 002, Side: 2, Line: 19, Word: 2",A03,,,,,hard,,,,קשו,q$y,adjective plural absolute,hard
qr)y,"Masekhet: 71019, Page: 002, Side: 2, Line: 19, Word: 3",noun pl. emphatic,,,,,crying; reading,,,,קראי,qr),noun pl. emphatic,crying; reading
)hddy,"Masekhet: 71019, Page: 002, Side: 2, Line: 19, Word: 4",R,,,,,one another; each other,,,,אהדדי,)hddy,R,one another; each other
