text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
lm)y,"Masekhet: 71005, Page: 002, Side: 1, Line: 09, Word: 0",p03,P01,,,,"to, for",what,,,למאי,m)y,preposition proclitic | preposition independent,"to, for | what"
hylkt),"Masekhet: 71005, Page: 002, Side: 1, Line: 09, Word: 1",noun sg. emphatic,,,,,accepted legal decision; custom,,,,הילכתא,hylkt),noun sg. emphatic,accepted legal decision; custom
p$yT);,"Masekhet: 71005, Page: 002, Side: 2, Line: 03, Word: 0",A01,,,,,simple,,,,פשיטא;,p$yT,adjective singular absolute or construct,simple
l),"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 0",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
crykh;,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 1",A01,,,,,poor; needy,,,,צריכה;,cryk,adjective singular absolute or construct,poor; needy
d)mnw,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 2",c,verb Gt,,,,to be counted,to be registered,,,דאמנו,mny,conjunction | verb ethpeel,to be counted | to be registered
(lyh,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 3",p02,,,,,upon; against; to,,,,עליה,(l,preposition with pronominal suffix,upon; against; to
m)dr;,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 4",noun sg. abs. or construct,,,,,Adar (February/March),,,,מאדר;,)dr,noun sg. abs. or construct,Adar (February/March)
wl),"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 5",c,a,,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
)mlkwh,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 6",verb C,,,,,to make king,to rule,to advise,"fig. : to overwhelm, dominate",אמלכוה,mlk,verb (h)aphel,"to make king | to rule | to advise | fig. : to overwhelm, dominate"
(d,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 7",p01,,,,,until,,,,עד,(d,preposition independent,until
xd,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 8",n01,,,,,one,,,,חד,xd,numeral singular absolute or construct,one
bnysN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 9",p02,noun sg. abs. or construct,,,,"in, with",Nisan (March/April),,,בניסן;,nysn,preposition with pronominal suffix | noun sg. abs. or construct,"in, with | Nisan (March/April)"
mhw,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 10",c,,,,,what is it ?,,,,מהו,mhw@d_,conjunction,what is it ?
dtym);,"Masekhet: 71005, Page: 002, Side: 2, Line: 04, Word: 11",verb G,,,,,to say,to command,to think,idiomatic and special usages:,דתימא;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
nymny,"Masekhet: 71005, Page: 002, Side: 2, Line: 05, Word: 0",verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant",,נימני,mny,verb peal,"to count, to number | to count as, to reckon as | to recite, chant"
lyh,"Masekhet: 71005, Page: 002, Side: 2, Line: 05, Word: 1",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
trtyN,"Masekhet: 71005, Page: 002, Side: 2, Line: 05, Word: 2",n02,,,,,two,,,,תרתין,try,numeral singular determined,two
$nyN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 05, Word: 3",noun pl. absolute,,,,,year,,,,שנין;,$t),noun pl. absolute,year
q'mlN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 05, Word: 4",verb C,,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,ק'מלן;,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
p$yT);,"Masekhet: 71005, Page: 002, Side: 2, Line: 12, Word: 0",A01,,,,,simple,,,,פשיטא;,p$yT,adjective singular absolute or construct,simple
mhw,"Masekhet: 71005, Page: 002, Side: 2, Line: 12, Word: 1",c,,,,,what is it ?,,,,מהו,mhw@d_,conjunction,what is it ?
dtym';,"Masekhet: 71005, Page: 002, Side: 2, Line: 12, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,דתימ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
$t),"Masekhet: 71005, Page: 002, Side: 2, Line: 12, Word: 3",noun sg. emphatic,,,,,year,,,,שתא,$t),noun sg. emphatic,year
lbtry,"Masekhet: 71005, Page: 002, Side: 2, Line: 12, Word: 4",p03,p,n01,,,"to, for",between,two,,לבתרי,by,preposition proclitic | preposition | numeral singular absolute or construct,"to, for | between | two"
l),"Masekhet: 71005, Page: 002, Side: 2, Line: 12, Word: 5",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
mnynN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 13, Word: 0",verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant",,מנינן;,mny,verb peal,"to count, to number | to count as, to reckon as | to recite, chant"
q'mlN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 13, Word: 1",verb C,,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,ק'מלן;,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
p$yT);,"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 0",A01,,,,,simple,,,,פשיטא;,p$yT,adjective singular absolute or construct,simple
l),"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 1",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
cryk);,"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 2",A01,,,,,poor; needy,,,,צריכא;,cryk,adjective singular absolute or construct,poor; needy
d)mny,"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 3",c,verb Gt,,,,to be counted,to be registered,,,דאמני,mny,conjunction | verb ethpeel,to be counted | to be registered
(lyh,"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 4",p02,,,,,upon; against; to,,,,עליה,(l,preposition with pronominal suffix,upon; against; to
m)dr,"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 5",noun sg. abs. or construct,,,,,Adar (February/March),,,,מאדר,)dr,noun sg. abs. or construct,Adar (February/March)
..;,"Masekhet: 71005, Page: 002, Side: 2, Line: 19, Word: 6",No data,,,,,,,,,;,None,No data,
mhw,"Masekhet: 71005, Page: 002, Side: 2, Line: 20, Word: 0",c,,,,,what is it ?,,,,מהו,mhw@d_,conjunction,what is it ?
dtym';,"Masekhet: 71005, Page: 002, Side: 2, Line: 20, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,דתימ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lymnw,"Masekhet: 71005, Page: 002, Side: 2, Line: 20, Word: 2",verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant",,לימנו,mny,verb peal,"to count, to number | to count as, to reckon as | to recite, chant"
(lyh,"Masekhet: 71005, Page: 002, Side: 2, Line: 20, Word: 3",p02,,,,,upon; against; to,,,,עליה,(l,preposition with pronominal suffix,upon; against; to
trty,"Masekhet: 71005, Page: 002, Side: 2, Line: 20, Word: 4",n02,,,,,two,,,,תרתי,try,numeral singular determined,two
$ny;,"Masekhet: 71005, Page: 002, Side: 2, Line: 20, Word: 5",noun pl. emphatic,,,,,year,,,,שני;,$t),noun pl. emphatic,year
q'mlN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 21, Word: 0",verb C,,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,ק'מלן;,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
"""dycy)t","Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 0",No data,,,,,,,,,דיציאת,None,No data,
"mcryM""","Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 1",No data,,,,,,,,,מצרים,None,No data,
gwph,"Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 2",noun sg. emphatic,,,,,body,,,,גופה,gwp),noun sg. emphatic,body
mm)y;,"Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 3",P01,,,,,what,,,,ממאי;,m)y,preposition independent,what
mn),"Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 4",a,,,,,whence,,,,מנא,mn),adverb,whence
lN,"Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 5",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
dmnysN,"Masekhet: 71005, Page: 002, Side: 2, Line: 28, Word: 6",p,noun sg. abs. or construct,,,,"of, genitive particle",Nisan (March/April),,,דמניסן,nysn,preposition | noun sg. abs. or construct,"of, genitive particle | Nisan (March/April)"
mnynN;,"Masekhet: 71005, Page: 002, Side: 2, Line: 29, Word: 0",verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant",,מנינן;,mny,verb peal,"to count, to number | to count as, to reckon as | to recite, chant"
