text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)Tw,"Masekhet: 71023, Page: 002, Side: 2, Line: 05, Word: 0",p,,,,,on account of,,,,אטו,)Tw,preposition,on account of
"""gzlwt","Masekhet: 71023, Page: 002, Side: 2, Line: 05, Word: 1",No data,,,,,,,,,גזלות,None,No data,
"wxblwt""","Masekhet: 71023, Page: 002, Side: 2, Line: 05, Word: 2",No data,,,,,,,,,וחבלות,None,No data,
l)w,"Masekhet: 71023, Page: 002, Side: 2, Line: 05, Word: 3",a,,,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
"""dyny","Masekhet: 71023, Page: 002, Side: 2, Line: 05, Word: 4",No data,,,,,,,,,דיני,None,No data,
"mmwnwt""","Masekhet: 71023, Page: 002, Side: 2, Line: 05, Word: 5",No data,,,,,,,,,ממונות,None,No data,
nynhw;,"Masekhet: 71023, Page: 002, Side: 2, Line: 06, Word: 0",P01,,,,,they (m.) are,,,,נינהו;,nynhw,preposition independent,they (m.) are
mh,"Masekhet: 71023, Page: 002, Side: 2, Line: 15, Word: 0",c,,,,,what,,,,מה,mh,conjunction,what
ly,"Masekhet: 71023, Page: 002, Side: 2, Line: 15, Word: 1",p02,,,,,"to, for",,,,לי,l_,preposition with pronominal suffix,"to, for"
"""xbl""","Masekhet: 71023, Page: 002, Side: 2, Line: 15, Word: 2",No data,,,,,,,,,חבל,None,No data,
bgwpyh;,"Masekhet: 71023, Page: 002, Side: 2, Line: 15, Word: 3",p02,noun sg. emphatic,,,,"in, with",body,,,בגופיה;,gwp),preposition with pronominal suffix | noun sg. emphatic,"in, with | body"
mh,"Masekhet: 71023, Page: 002, Side: 2, Line: 16, Word: 0",c,,,,,what,,,,מה,mh,conjunction,what
ly,"Masekhet: 71023, Page: 002, Side: 2, Line: 16, Word: 1",p02,,,,,"to, for",,,,לי,l_,preposition with pronominal suffix,"to, for"
"""xbl""","Masekhet: 71023, Page: 002, Side: 2, Line: 16, Word: 2",No data,,,,,,,,,חבל,None,No data,
bmmwnyh,"Masekhet: 71023, Page: 002, Side: 2, Line: 16, Word: 3",p02,noun sg. emphatic,,,,"in, with",money,,,בממוניה,mmwn),preposition with pronominal suffix | noun sg. emphatic,"in, with | money"
lm)y;,"Masekhet: 71023, Page: 002, Side: 2, Line: 18, Word: 0",p03,P01,,,,"to, for",what,,,למאי;,m)y,preposition proclitic | preposition independent,"to, for | what"
)y,"Masekhet: 71023, Page: 002, Side: 2, Line: 18, Word: 1",c,,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
lym),"Masekhet: 71023, Page: 002, Side: 2, Line: 18, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,לימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
