text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mkdy,"Masekhet: 71017, Page: 002, Side: 1, Line: 11, Word: 0",a,,,,,"now, well, since",,,,מכדי,mkdy,adverb,"now, well, since"
tn),"Masekhet: 71017, Page: 002, Side: 1, Line: 11, Word: 1",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
"""mnzyr""","Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 0",No data,,,,,,,,,מנזיר,None,No data,
q),"Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 1",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
slyq;,"Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 2",verb G,,,,,to go up,to result,to travel,idioms:,סליק;,slq,verb peal,to go up | to result | to travel | idioms:
m)y,"Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 3",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 4",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
dqtny,"Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 5",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""swTh"";","Masekhet: 71017, Page: 002, Side: 1, Line: 12, Word: 6",No data,,,,,,,,,סוטה;,None,No data,
wlytny,"Masekhet: 71017, Page: 002, Side: 1, Line: 15, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,וליתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""swTh""","Masekhet: 71017, Page: 002, Side: 1, Line: 15, Word: 1",No data,,,,,,,,,סוטה,None,No data,
whdr,"Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 0",c,verb G,,,,to return,to do something again,"to go around, surround",to get married,והדר,hdr,conjunction | verb peal,"to return | to do something again | to go around, surround | to get married"
lytny,"Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 1",V,,,,,there is/are not,,,,ליתני,lyt,V,there is/are not
"""nzyr"";","Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 2",No data,,,,,,,,,נזיר;,None,No data,
)yN,"Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 3",I,,,,,yes,,,,אין,)yn,interjection,yes
hky,"Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 4",X,,,,,"so, thus",,,,הכי,hky,X,"so, thus"
nmy;,"Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 5",a,,,,,also,,,,נמי;,nmy,adverb,also
)yydy,"Masekhet: 71017, Page: 002, Side: 1, Line: 16, Word: 6",c,,,,,"because, since",,,,איידי,)yydy,conjunction,"because, since"
