text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
m)y,"Masekhet: 71007, Page: 002, Side: 1, Line: 06, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71007, Page: 002, Side: 1, Line: 06, Word: 1",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 0",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""swkh""","Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 1",No data,,,,,,,,,סוכה,None,No data,
dqtny,"Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 2",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""psw'"";","Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 3",No data,,,,,,,,,פסו';,None,No data,
wm)y,"Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 4",c,P01,,,,"and, also",what,,,ומאי,m)y,conjunction | preposition independent,"and, also | what"
$n),"Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 5",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 6",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""mbwy""","Masekhet: 71007, Page: 002, Side: 1, Line: 07, Word: 7",No data,,,,,,,,,מבוי,None,No data,
dqtny,"Masekhet: 71007, Page: 002, Side: 1, Line: 08, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt),"Masekhet: 71007, Page: 002, Side: 1, Line: 08, Word: 1",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא,tqnt),noun sg. emphatic,"arrangement, setting"
"""swkh""","Masekhet: 71007, Page: 002, Side: 1, Line: 08, Word: 2",No data,,,,,,,,,סוכה,None,No data,
d)wryt),"Masekhet: 71007, Page: 002, Side: 1, Line: 08, Word: 3",p,noun sg. emphatic,,,,"of, genitive particle","law, teaching; the Torah",,,דאוריתא,)wryyt),preposition | noun sg. emphatic,"of, genitive particle | law, teaching; the Torah"
tny,"Masekhet: 71007, Page: 002, Side: 1, Line: 08, Word: 4",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""psw'""","Masekhet: 71007, Page: 002, Side: 1, Line: 08, Word: 5",No data,,,,,,,,,פסו',None,No data,
"""mbwy""","Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 0",No data,,,,,,,,,מבוי,None,No data,
drbnN,"Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 1",p,N,,,,"of, genitive particle","lord, master",,,דרבנן,rbnn,preposition | noun,"of, genitive particle | lord, master"
tny,"Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt);,"Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 3",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא;,tqnt),noun sg. emphatic,"arrangement, setting"
w)y,"Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 4",c,c,,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
b(ytym',"Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 5",verb G,verb G,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעיתימ',)mr,verb peal | verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
"""^swkh^""","Masekhet: 71007, Page: 002, Side: 1, Line: 09, Word: 6",No data,,,,,,,,,סוכה,None,No data,
d)wryt),"Masekhet: 71007, Page: 002, Side: 1, Line: 10, Word: 0",p,noun sg. emphatic,,,,"of, genitive particle","law, teaching; the Torah",,,דאוריתא,)wryyt),preposition | noun sg. emphatic,"of, genitive particle | law, teaching; the Torah"
nmy,"Masekhet: 71007, Page: 002, Side: 1, Line: 10, Word: 1",a,,,,,also,,,,נמי,nmy,adverb,also
^tny^,"Masekhet: 71007, Page: 002, Side: 1, Line: 10, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tqnt);,"Masekhet: 71007, Page: 002, Side: 1, Line: 10, Word: 3",noun sg. emphatic,,,,,"arrangement, setting",,,,תקנתא;,tqnt),noun sg. emphatic,"arrangement, setting"
)l),"Masekhet: 71007, Page: 002, Side: 1, Line: 10, Word: 4",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
"""swkh""","Masekhet: 71007, Page: 002, Side: 1, Line: 10, Word: 5",No data,,,,,,,,,סוכה,None,No data,
dnpy$N,"Masekhet: 71007, Page: 002, Side: 1, Line: 11, Word: 0",c,A03,,,,"who,which (relative)",substantial; refreshed,,,דנפישן,npy$,conjunction | adjective plural absolute,"who,which (relative) | substantial; refreshed"
mylh,"Masekhet: 71007, Page: 002, Side: 1, Line: 11, Word: 1",noun pl. emphatic,,,,,"word, speech; thing",,,,מילה,mylt),noun pl. emphatic,"word, speech; thing"
psyq,"Masekhet: 71007, Page: 002, Side: 1, Line: 11, Word: 2",verb G,,,,,to stop,to cut off,"to fix, determine, decree",to recite a verse or portion,פסיק,psq,verb peal,"to stop | to cut off | to fix, determine, decree | to recite a verse or portion"
wtny,"Masekhet: 71007, Page: 002, Side: 1, Line: 11, Word: 3",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""psw'""","Masekhet: 71007, Page: 002, Side: 1, Line: 11, Word: 4",No data,,,,,,,,,פסו',None,No data,
"""mbwy""","Masekhet: 71007, Page: 002, Side: 1, Line: 12, Word: 0",No data,,,,,,,,,מבוי,None,No data,
dl),"Masekhet: 71007, Page: 002, Side: 1, Line: 12, Word: 1",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
{{ps}}^np^y{{q}}^$^,"Masekhet: 71007, Page: 002, Side: 1, Line: 12, Word: 2",verb G,,,,,to stop,to cut off,"to fix, determine, decree",to recite a verse or portion,פסנפיקש,psq,verb peal,"to stop | to cut off | to fix, determine, decree | to recite a verse or portion"
mylyh,"Masekhet: 71007, Page: 002, Side: 1, Line: 12, Word: 3",noun pl. emphatic,,,,,"word, speech; thing",,,,מיליה,mylt),noun pl. emphatic,"word, speech; thing"
