text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
q)m';,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,קאמ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
dnp$',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,noun sg. emphatic,,,,"who,which (relative)",soul; life; self,,,דנפש',np$),conjunction | noun sg. emphatic,"who,which (relative) | soul; life; self"
"""$bw(wt","Masekhet: 71025, Page: 003, Side: 1, Line: 03, Word: 0",No data,,,,,,,,,שבועות,None,No data,
$tyM,"Masekhet: 71025, Page: 003, Side: 1, Line: 03, Word: 1",No data,,,,,,,,,שתים,None,No data,
$hN,"Masekhet: 71025, Page: 003, Side: 1, Line: 03, Word: 2",No data,,,,,,,,,שהן,None,No data,
m)y,"Masekhet: 71025, Page: 003, Side: 1, Line: 03, Word: 4",P01,,,,,what,,,,מאי,m)y,preposition independent,what
$n),"Masekhet: 71025, Page: 003, Side: 1, Line: 03, Word: 5",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
hk),"Masekhet: 71025, Page: 003, Side: 1, Line: 03, Word: 6",a,,,,,here,,,,הכא,hk),adverb,here
dqt',"Masekhet: 71025, Page: 003, Side: 1, Line: 04, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקת',tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
lkwlhw;,"Masekhet: 71025, Page: 003, Side: 1, Line: 04, Word: 1",p03,noun sg. emphatic,,,,"to, for","all, every",,,לכולהו;,kl,preposition proclitic | noun sg. emphatic,"to, for | all, every"
wm)y,"Masekhet: 71025, Page: 003, Side: 1, Line: 04, Word: 2",c,P01,,,,"and, also",what,,,ומאי,m)y,conjunction | preposition independent,"and, also | what"
$n),"Masekhet: 71025, Page: 003, Side: 1, Line: 04, Word: 3",verb G,,,,,to be different,to go away,,,שנא,$ny,verb peal,to be different | to go away
gby,"Masekhet: 71025, Page: 003, Side: 1, Line: 04, Word: 4",p,,,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""ycy)wt""","Masekhet: 71025, Page: 003, Side: 1, Line: 04, Word: 5",No data,,,,,,,,,יציאות,None,No data,
"""$bt","Masekhet: 71025, Page: 003, Side: 1, Line: 05, Word: 0",No data,,,,,,,,,שבת,None,No data,
wmr)wt,"Masekhet: 71025, Page: 003, Side: 1, Line: 05, Word: 1",No data,,,,,,,,,ומראות,None,No data,
"ng(yM""","Masekhet: 71025, Page: 003, Side: 1, Line: 05, Word: 2",No data,,,,,,,,,נגעים,None,No data,
dl),"Masekhet: 71025, Page: 003, Side: 1, Line: 05, Word: 3",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
qtny,"Masekhet: 71025, Page: 003, Side: 1, Line: 05, Word: 4",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,קתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
