text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)hrN,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 0",No data,,,,,,,,,אהרן,None,No data,
kl,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 1",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
xd,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 2",n01,,,,,one,,,,חד,xd,numeral singular absolute or construct,one
wxd,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 3",c,n01,,,,"and, also",one,,,וחד,xd,conjunction | numeral singular absolute or construct,"and, also | one"
lxwdyh;,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 4",p02,,,,,only; alone,,,,לחודיה;,lxwd_,preposition with pronominal suffix,only; alone
rb,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 5",No data,,,,,,,,,רב,None,No data,
)$y,"Masekhet: 71036, Page: 026, Side: 1, Line: 30, Word: 6",No data,,,,,,,,,אשי,None,No data,
)';,"Masekhet: 71036, Page: 026, Side: 1, Line: 31, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,א';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
msypyh,"Masekhet: 71036, Page: 026, Side: 1, Line: 31, Word: 1",p,noun sg. emphatic,,,,from,end,,,מסיפיה,syp),preposition | noun sg. emphatic,from | end
dqr);,"Masekhet: 71036, Page: 026, Side: 1, Line: 31, Word: 2",p,noun sg. emphatic,,,,"of, genitive particle",crying; reading,,,דקרא;,qr),preposition | noun sg. emphatic,"of, genitive particle | crying; reading"
)w,"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 0",c,,,,,or,,,,או,)w,conjunction,or
dyl',"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 1",c,,,,,"lest, perhaps",,,,דיל',dylm),conjunction,"lest, perhaps"
dgbyhy,"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 2",c,verb G,,,,"to be high, raised up",p.p. :,,,דגביהי,gbh,conjunction | verb peal,"to be high, raised up | p.p. :"
mgbh,"Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 3",verb G,,,,,"to be high, raised up",p.p. :,,,מגבה,gbh,verb peal,"to be high, raised up | p.p. :"
"""k(lywt"";","Masekhet: 71036, Page: 026, Side: 2, Line: 02, Word: 4",No data,,,,,,,,,כעליות;,None,No data,
wxd,"Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 0",c,n01,,,,"and, also",one,,,וחד,xd,conjunction | numeral singular absolute or construct,"and, also | one"
"""$ymwr""","Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 1",No data,,,,,,,,,שימור,None,No data,
hw),"Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 2",P01,,,,,he,,,,הוא,hw),preposition independent,he
dhwh,"Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 3",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דהוה,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
lyh,"Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 4",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
"""lbyt","Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 5",No data,,,,,,,,,לבית,None,No data,
"hmwqd"";","Masekhet: 71036, Page: 026, Side: 2, Line: 14, Word: 6",No data,,,,,,,,,המוקד;,None,No data,
kywN,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 0",c,,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
dgby,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 1",c,p,,,,"who,which (relative)","at the side of, together with",,,דגבי,gby,conjunction | preposition,"who,which (relative) | at the side of, together with"
hddy,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 2",P01,,,,,one another; each other,,,,הדדי,hddy,preposition independent,one another; each other
hww,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 3",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוו,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
qyymy;,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 4",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קיימי;,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
sgy,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 5",A01,,,,,"many, much",,,,סגי,sgy,adjective singular absolute or construct,"many, much"
lhw,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 6",p,,,,,"to, for",,,,להו,l_,preposition,"to, for"
bxd,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 7",p02,n01,,,,"in, with",one,,,בחד,xd,preposition with pronominal suffix | numeral singular absolute or construct,"in, with | one"
"""$wmr"";","Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 8",No data,,,,,,,,,שומר;,None,No data,
dwy,"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 9",verb G,,,,,to look out,,,,דוי,dwy#2,verb peal,to look out
lhk),"Masekhet: 71036, Page: 026, Side: 2, Line: 19, Word: 10",p03,a,,,,"to, for",here,,,להכא,hk),preposition proclitic | adverb,"to, for | here"
dwy,"Masekhet: 71036, Page: 026, Side: 2, Line: 20, Word: 0",verb G,,,,,to look out,,,,דוי,dwy#2,verb peal,to look out
lhk);,"Masekhet: 71036, Page: 026, Side: 2, Line: 20, Word: 1",p03,a,,,,"to, for",here,,,להכא;,hk),preposition proclitic | adverb,"to, for | here"
"""rwbdyN""","Masekhet: 71036, Page: 026, Side: 2, Line: 20, Word: 2",No data,,,,,,,,,רובדין,None,No data,
m)y,"Masekhet: 71036, Page: 026, Side: 2, Line: 20, Word: 3",P01,,,,,what,,,,מאי,m)y,preposition independent,what
nyhw;,"Masekhet: 71036, Page: 026, Side: 2, Line: 21, Word: 0",P01,,,,,he,,,,ניהו;,nyhw,preposition independent,he
gzrt),"Masekhet: 71036, Page: 026, Side: 2, Line: 21, Word: 1",noun pl. emphatic,,,,,"something cut off: decree, island, circumcision",,,,גזרתא,gzyrt),noun pl. emphatic,"something cut off: decree, island, circumcision"
dmcTwwt),"Masekhet: 71036, Page: 026, Side: 2, Line: 21, Word: 2",c,noun sg. emphatic,,,,"who,which (relative)","table, bench",,,דמצטוותא,mcTwwt),conjunction | noun sg. emphatic,"who,which (relative) | table, bench"
dslqy,"Masekhet: 71036, Page: 026, Side: 2, Line: 21, Word: 3",c,verb G,,,,to go up,to result,to travel,idioms:,דסלקי,slq,conjunction | verb peal,to go up | to result | to travel | idioms:
bhw,"Masekhet: 71036, Page: 026, Side: 2, Line: 21, Word: 4",p02,,,,,"in, with",,,,בהו,b_,preposition with pronominal suffix,"in, with"
lmcTwwt);,"Masekhet: 71036, Page: 026, Side: 2, Line: 21, Word: 5",p02,noun sg. emphatic,,,,"to, for","table, bench",,,למצטוותא;,mcTwwt),preposition with pronominal suffix | noun sg. emphatic,"to, for | table, bench"
wmy,"Masekhet: 71036, Page: 026, Side: 2, Line: 22, Word: 0",c,c,,,,"and, also",interrogative particle,,,ומי,my,conjunction | conjunction,"and, also | interrogative particle"
hw?w?,"Masekhet: 71036, Page: 026, Side: 2, Line: 22, Word: 1",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוו,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
myplgy,"Masekhet: 71036, Page: 026, Side: 2, Line: 22, Word: 2",verb Gt,,,,,to be divided,to be allotted,to be in doubt,,מיפלגי,plg,verb ethpeel,to be divided | to be allotted | to be in doubt
""")bnyM"";","Masekhet: 71036, Page: 026, Side: 2, Line: 22, Word: 3",No data,,,,,,,,,אבנים;,None,No data,
dmtqny,"Masekhet: 71036, Page: 026, Side: 2, Line: 23, Word: 0",verb C,,,,,"to establish, to fix, ordain",to prepare,to act properly,to agree to conditions,דמתקני,tqn,verb (h)aphel,"to establish, to fix, ordain | to prepare | to act properly | to agree to conditions"
wmyytw,"Masekhet: 71036, Page: 026, Side: 2, Line: 23, Word: 1",c,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,ומייתו,)ty,conjunction | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
m(yqr),"Masekhet: 71036, Page: 026, Side: 2, Line: 24, Word: 0",a,,,,,"originally, at first",,,,מעיקרא,m(yqr),adverb,"originally, at first"
)bny,"Masekhet: 71036, Page: 026, Side: 2, Line: 24, Word: 1",noun pl. construct,,,,,son,,,,אבני,br),noun pl. construct,son
zwTrt),"Masekhet: 71036, Page: 026, Side: 2, Line: 24, Word: 2",A05,,,,,"small, young",,,,זוטרתא,zwTr,adjective plural determined,"small, young"
w)bny,"Masekhet: 71036, Page: 026, Side: 2, Line: 24, Word: 3",c,noun pl. emphatic,,,,"and, also",stone,,,ואבני,)bn),conjunction | noun pl. emphatic,"and, also | stone"
?r?brbt);,"Masekhet: 71036, Page: 026, Side: 2, Line: 24, Word: 4",A05,,,,,"great, big",,,,רברבתא;,rb,adjective plural determined,"great, big"
w)m)y;,"Masekhet: 71036, Page: 026, Side: 2, Line: 26, Word: 0",c,c,,,,"and, also",why?,,,ואמאי;,)m)y,conjunction | conjunction,"and, also | why?"
ny(yylw,"Masekhet: 71036, Page: 026, Side: 2, Line: 26, Word: 1",verb D,,,,,to bring in,to pretend,to ripen,to marry off (woman),ניעיילו,(ll,verb pael,to bring in | to pretend | to ripen | to marry off (woman)
"""myTwt"";","Masekhet: 71036, Page: 026, Side: 2, Line: 26, Word: 2",No data,,,,,,,,,מיטות;,None,No data,
)',"Masekhet: 71036, Page: 026, Side: 2, Line: 26, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,א',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
)byy;,"Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 0",No data,,,,,,,,,אביי;,None,No data,
l)w,"Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 1",a,,,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
)wrx )r(),"Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 2",noun sg. emphatic,,,,,"normal behaviour, proper behaviour",,,,אורח ארעא,)wrx@)r(),noun sg. emphatic,"normal behaviour, proper behaviour"
l(ywly,"Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 3",p02,verb D,,,,to bring in,to pretend,to ripen,to marry off (woman),לעיולי,(ll,preposition with pronominal suffix | verb pael,to bring in | to pretend | to ripen | to marry off (woman)
"""myTwt","Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 4",No data,,,,,,,,,מיטות,None,No data,
lbyt,"Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 5",No data,,,,,,,,,לבית,None,No data,
"hmqd$"";","Masekhet: 71036, Page: 026, Side: 2, Line: 27, Word: 6",No data,,,,,,,,,המקדש;,None,No data,
)mry;,"Masekhet: 71036, Page: 026, Side: 2, Line: 29, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרי;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
htM,"Masekhet: 71036, Page: 026, Side: 2, Line: 29, Word: 1",a,,,,,there,,,,התם,htm,adverb,there
