text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
tn{y}),"Masekhet: 71009, Page: 002, Side: 1, Line: 14, Word: 0",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
hyky,"Masekhet: 71009, Page: 002, Side: 1, Line: 14, Word: 1",a,,,,,how,,,,היכי,hyky,adverb,how
q)y,"Masekhet: 71009, Page: 002, Side: 1, Line: 14, Word: 2",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קאי,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
dqt)ny;,"Masekhet: 71009, Page: 002, Side: 1, Line: 14, Word: 3",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקתאני;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")ymty"";","Masekhet: 71009, Page: 002, Side: 1, Line: 14, Word: 4",No data,,,,,,,,,אימתי;,None,No data,
tn),"Masekhet: 71009, Page: 002, Side: 1, Line: 19, Word: 0",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
"""mr)$","Masekhet: 71009, Page: 002, Side: 1, Line: 19, Word: 1",No data,,,,,,,,,מראש,None,No data,
"h$nh""","Masekhet: 71009, Page: 002, Side: 1, Line: 19, Word: 2",No data,,,,,,,,,השנה,None,No data,
slyq,"Masekhet: 71009, Page: 002, Side: 1, Line: 19, Word: 3",verb G,,,,,to go up,to result,to travel,idioms:,סליק,slq,verb peal,to go up | to result | to travel | idioms:
bm(rb),"Masekhet: 71009, Page: 002, Side: 2, Line: 03, Word: 0",p02,noun sg. emphatic,,,,"in, with",west; sunset,,,במערבא,m(rb),preposition with pronominal suffix | noun sg. emphatic,"in, with | west; sunset"
)mry,"Masekhet: 71009, Page: 002, Side: 2, Line: 03, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרי,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
rby,"Masekhet: 71009, Page: 002, Side: 2, Line: 08, Word: 0",No data,,,,,,,,,רבי,None,No data,
mhyk),"Masekhet: 71009, Page: 002, Side: 2, Line: 08, Word: 1",a,,,,,where,,,,מהיכא,hyk),adverb,where
