text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)dq$y),"Masekhet: 71033, Page: 002, Side: 1, Line: 08, Word: 0",A01,,,,,hard,,,,אדקשיא,q$y,adjective singular absolute or construct,hard
mtnytyN;,"Masekhet: 71033, Page: 002, Side: 1, Line: 08, Word: 1",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתין;,mtnyt),noun sg. emphatic,tannaitic tradition
nyq$y,"Masekhet: 71033, Page: 002, Side: 1, Line: 08, Word: 2",verb Gt,,,,,to have difficulties,to be stubborn,,,ניקשי,q$y,verb ethpeel,to have difficulties | to be stubborn
lK,"Masekhet: 71033, Page: 002, Side: 1, Line: 08, Word: 3",p02,,,,,"to, for",,,,לך,l_,preposition with pronominal suffix,"to, for"
qr);,"Masekhet: 71033, Page: 002, Side: 1, Line: 08, Word: 4",noun sg. emphatic,,,,,crying; reading,,,,קרא;,qr),noun sg. emphatic,crying; reading
tlt),"Masekhet: 71033, Page: 002, Side: 1, Line: 20, Word: 0",n02,,,,,three,,,,תלתא,tlt),numeral singular determined,three
"""qrbnw""","Masekhet: 71033, Page: 002, Side: 1, Line: 20, Word: 1",No data,,,,,,,,,קרבנו,None,No data,
ktyby;,"Masekhet: 71033, Page: 002, Side: 1, Line: 20, Word: 2",verb G,,,,,to write,to draw,,,כתיבי;,ktb,verb peal,to write | to draw
"""wqrbN","Masekhet: 71033, Page: 002, Side: 1, Line: 27, Word: 0",No data,,,,,,,,,וקרבן,None,No data,
gwy,"Masekhet: 71033, Page: 002, Side: 1, Line: 27, Word: 1",No data,,,,,,,,,גוי,None,No data,
wqrbN,"Masekhet: 71033, Page: 002, Side: 1, Line: 27, Word: 2",No data,,,,,,,,,וקרבן,None,No data,
"xbyrw""","Masekhet: 71033, Page: 002, Side: 1, Line: 27, Word: 3",No data,,,,,,,,,חבירו,None,No data,
mxd,"Masekhet: 71033, Page: 002, Side: 1, Line: 27, Word: 4",n01,,,,,one,,,,מחד,xd,numeral singular absolute or construct,one
qr),"Masekhet: 71033, Page: 002, Side: 1, Line: 28, Word: 0",noun sg. emphatic,,,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
npq);,"Masekhet: 71033, Page: 002, Side: 1, Line: 28, Word: 1",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפקא;,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
w)yytr,"Masekhet: 71033, Page: 002, Side: 1, Line: 28, Word: 2",c,verb Dt,,,,to be made better,to be left over,to evaluate positively,as co-verb: to do something excessively,ואייתר,ytr,conjunction | verb ethpaal,to be made better | to be left over | to evaluate positively | as co-verb: to do something excessively
lyh,"Masekhet: 71033, Page: 002, Side: 1, Line: 28, Word: 3",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
xd,"Masekhet: 71033, Page: 002, Side: 1, Line: 28, Word: 4",n01,,,,,one,,,,חד,xd,numeral singular absolute or construct,one
wr',"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 0",No data,,,,,,,,,ור',None,No data,
yhwd',"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 1",No data,,,,,,,,,יהוד',None,No data,
h)y,"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 2",P01,,,,,this,,,,האי,h)y,preposition independent,this
"""w)M","Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 3",No data,,,,,,,,,ואם,None,No data,
hmr,"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 4",No data,,,,,,,,,המר,None,No data,
"ymyr""","Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 5",No data,,,,,,,,,ימיר,None,No data,
m)y,"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 6",P01,,,,,what,,,,מאי,m)y,preposition independent,what
dry$,"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 7",verb G,,,,,"to tread, open a road","to interpret, to expound","to ask, to seek",,דריש,dr$,verb peal,"to tread, open a road | to interpret, to expound | to ask, to seek"
byh;,"Masekhet: 71033, Page: 002, Side: 2, Line: 03, Word: 8",p02,,,,,"in, with",,,,ביה;,b_,preposition with pronominal suffix,"in, with"
mn),"Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 0",a,,,,,whence,,,,מנא,mn),adverb,whence
lyh;,"Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 1",p02,,,,,"to, for",,,,ליה;,l_,preposition with pronominal suffix,"to, for"
npq),"Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 2",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפקא,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
lyh,"Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 3",p,,,,,"to, for",,,,ליה,l_,preposition,"to, for"
"""mw?)l(w?;""","Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 4",No data,,,,,,,,,מואלעו;,None,No data,
wr',"Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 5",No data,,,,,,,,,ור',None,No data,
yhwd',"Masekhet: 71033, Page: 002, Side: 2, Line: 08, Word: 6",No data,,,,,,,,,יהוד',None,No data,
w?)lw(?,"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 0",No data,,,,,,,,,ואלוע,None,No data,
l),"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 1",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
dry$;,"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 2",verb G,,,,,"to tread, open a road","to interpret, to expound","to ask, to seek",,דריש;,dr$,verb peal,"to tread, open a road | to interpret, to expound | to ask, to seek"
wbyN,"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 3",c,p01,,,,"and, also","between, among",,,ובין,byn,conjunction | preposition independent,"and, also | between, among"
r',"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 4",No data,,,,,,,,,ר',None,No data,
m)yr,"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 5",No data,,,,,,,,,מאיר,None,No data,
wbyN,"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 6",c,p01,,,,"and, also","between, among",,,ובין,byn,conjunction | preposition independent,"and, also | between, among"
r',"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 7",No data,,,,,,,,,ר',None,No data,
yhwd',"Masekhet: 71033, Page: 002, Side: 2, Line: 09, Word: 8",No data,,,,,,,,,יהוד',None,No data,
T(',"Masekhet: 71033, Page: 002, Side: 2, Line: 10, Word: 0",noun sg. emphatic,,,,,taste; order,,,,טע',T(m),noun sg. emphatic,taste; order
drb?y?yh,"Masekhet: 71033, Page: 002, Side: 2, Line: 10, Word: 1",c,verb D,,,,"to raise (children, etc.)","to put forth, to cause to grow",to augment something,,דרבייה,rby,conjunction | verb pael,"to raise (children, etc.) | to put forth, to cause to grow | to augment something"
qr),"Masekhet: 71033, Page: 002, Side: 2, Line: 10, Word: 2",noun sg. emphatic,,,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
"""l)$h"";","Masekhet: 71033, Page: 002, Side: 2, Line: 10, Word: 3",No data,,,,,,,,,לאשה;,None,No data,
