text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mkdy,"Masekhet: 71013, Page: 002, Side: 2, Line: 19, Word: 0",a,,,,,"now, well, since",,,,מכדי,mkdy,adverb,"now, well, since"
kwlhw,"Masekhet: 71013, Page: 002, Side: 2, Line: 19, Word: 1",noun sg. emphatic,,,,,"all, every",,,,כולהו,kl,noun sg. emphatic,"all, every"
"""m)xwt","Masekhet: 71013, Page: 002, Side: 2, Line: 19, Word: 2",No data,,,,,,,,,מאחות,None,No data,
")$h""","Masekhet: 71013, Page: 002, Side: 2, Line: 19, Word: 3",No data,,,,,,,,,אשה,None,No data,
ylpN;,"Masekhet: 71013, Page: 002, Side: 2, Line: 19, Word: 4",V,,,,,,,,,ילפן;,ylp,V,
lytnyyh,"Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ליתנייה,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""l)xwt","Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 1",No data,,,,,,,,,לאחות,None,No data,
")$h""","Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 2",No data,,,,,,,,,אשה,None,No data,
bry$);,"Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 3",noun sg. emphatic,,,,,head; top; chief,,,,ברישא;,ry$),noun sg. emphatic,head; top; chief
wky,"Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 4",c,c,,,,"and, also",when,,,וכי,ky,conjunction | conjunction,"and, also | when"
tym);,"Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 5",verb G,,,,,to say,to command,to think,idiomatic and special usages:,תימא;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
tn),"Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 6",noun sg. emphatic,,,,,tanna,,,,תנא,tn),noun sg. emphatic,tanna
xwmry,"Masekhet: 71013, Page: 002, Side: 2, Line: 20, Word: 7",noun pl. emphatic,,,,,strictness,,,,חומרי,xwmr),noun pl. emphatic,strictness
xwmry,"Masekhet: 71013, Page: 002, Side: 2, Line: 21, Word: 0",noun pl. emphatic,,,,,strictness,,,,חומרי,xwmr),noun pl. emphatic,strictness
nqT;,"Masekhet: 71013, Page: 002, Side: 2, Line: 21, Word: 1",verb G,,,,,to hold,to seize,"to take, collect, gather",idiomatic expressions,נקט;,nqT,verb peal,"to hold | to seize | to take, collect, gather | idiomatic expressions"
wr',"Masekhet: 71013, Page: 002, Side: 2, Line: 21, Word: 2",c,,,,,"and, also",,,,ור',w_,conjunction,"and, also"
$m(wN,"Masekhet: 71013, Page: 002, Side: 2, Line: 21, Word: 3",No data,,,,,,,,,שמעון,None,No data,
hy),"Masekhet: 71013, Page: 002, Side: 2, Line: 21, Word: 4",P01,,,,,she,,,,היא,hy),preposition independent,she
)y,"Masekhet: 71013, Page: 002, Side: 2, Line: 22, Word: 0",c,,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
hky,"Masekhet: 71013, Page: 002, Side: 2, Line: 22, Word: 1",X,,,,,"so, thus",,,,הכי,hky,X,"so, thus"
lytnyyh,"Masekhet: 71013, Page: 002, Side: 2, Line: 22, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ליתנייה,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
bry$),"Masekhet: 71013, Page: 002, Side: 2, Line: 22, Word: 3",noun sg. emphatic,,,,,head; top; chief,,,,ברישא,ry$),noun sg. emphatic,head; top; chief
ktybh;,"Masekhet: 71013, Page: 002, Side: 2, Line: 23, Word: 0",verb G,,,,,to write,to draw,,,כתיבה;,ktb,verb peal,to write | to draw
w(wd;,"Masekhet: 71013, Page: 002, Side: 2, Line: 23, Word: 1",c,a,,,,"and, also",still; again,,,ועוד;,(wd,conjunction | adverb,"and, also | still; again"
btr,"Masekhet: 71013, Page: 002, Side: 2, Line: 23, Word: 2",p01,,,,,after,,,,בתר,btr,preposition independent,after
"""xmwtw""","Masekhet: 71013, Page: 002, Side: 2, Line: 23, Word: 3",No data,,,,,,,,,חמותו,None,No data,
lytny,"Masekhet: 71013, Page: 002, Side: 2, Line: 24, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ליתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""kltw;""","Masekhet: 71013, Page: 002, Side: 2, Line: 24, Word: 1",No data,,,,,,,,,כלתו;,None,No data,
kywN,"Masekhet: 71013, Page: 002, Side: 2, Line: 25, Word: 0",c,,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
d)ty),"Masekhet: 71013, Page: 002, Side: 2, Line: 25, Word: 1",c,verb G,,,,to come,to occur; w.,: to befall,to be fitting,דאתיא,)ty,conjunction | verb peal,to come | to occur; w. | : to befall | to be fitting
mdr$),"Masekhet: 71013, Page: 002, Side: 2, Line: 25, Word: 2",p,noun sg. emphatic,,,,from,homiletical interpretation,,,מדרשא,dr$),preposition | noun sg. emphatic,from | homiletical interpretation
xbyb),"Masekhet: 71013, Page: 002, Side: 2, Line: 25, Word: 3",A01,,,,,dear one; uncle,,,,חביבא,xbyb,adjective singular absolute or construct,dear one; uncle
