text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
tqynw,"Masekhet: 71006, Page: 002, Side: 1, Line: 17, Word: 0",verb D,,,,,"to establish properly, correct","to place, install","to ordain, declare",,תקינו,tqn,verb pael,"to establish properly, correct | to place, install | to ordain, declare"
lyh,"Masekhet: 71006, Page: 002, Side: 1, Line: 17, Word: 1",p02,,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
rbnN,"Masekhet: 71006, Page: 002, Side: 1, Line: 17, Word: 2",N,,,,,"lord, master",,,,רבנן,rbnn,noun,"lord, master"
dl),"Masekhet: 71006, Page: 002, Side: 1, Line: 18, Word: 0",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
mqbly,"Masekhet: 71006, Page: 002, Side: 1, Line: 18, Word: 1",verb D,,,,,"to receive, to accept",idioms:,,,מקבלי,qbl,verb pael,"to receive, to accept | idioms:"
"""Twm)h""","Masekhet: 71006, Page: 002, Side: 1, Line: 18, Word: 2",No data,,,,,,,,,טומאה,None,No data,
ky hyky,"Masekhet: 71006, Page: 002, Side: 1, Line: 18, Word: 3",c,,,,,in order that,,,,כי היכי,ky@hyky,conjunction,in order that
dl),"Masekhet: 71006, Page: 002, Side: 1, Line: 18, Word: 4",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
nyzlzlw,"Masekhet: 71006, Page: 002, Side: 1, Line: 19, Word: 0",V,,,,,,,,,ניזלזלו,zlzl,V,
bh;,"Masekhet: 71006, Page: 002, Side: 1, Line: 19, Word: 1",p02,,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
tqynw,"Masekhet: 71006, Page: 002, Side: 1, Line: 21, Word: 0",verb D,,,,,"to establish properly, correct","to place, install","to ordain, declare",,תקינו,tqn,verb pael,"to establish properly, correct | to place, install | to ordain, declare"
lyh,"Masekhet: 71006, Page: 002, Side: 1, Line: 21, Word: 1",p02,,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
rbnN,"Masekhet: 71006, Page: 002, Side: 1, Line: 21, Word: 2",N,,,,,"lord, master",,,,רבנן,rbnn,noun,"lord, master"
..;,"Masekhet: 71006, Page: 002, Side: 1, Line: 21, Word: 3",No data,,,,,,,,,;,None,No data,
ky hyky,"Masekhet: 71006, Page: 002, Side: 1, Line: 22, Word: 0",c,,,,,in order that,,,,כי היכי,ky@hyky,conjunction,in order that
dnyhwy,"Masekhet: 71006, Page: 002, Side: 1, Line: 22, Word: 1",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דניהוי,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
lyh,"Masekhet: 71006, Page: 002, Side: 1, Line: 23, Word: 0",p02,,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
hkyr);,"Masekhet: 71006, Page: 002, Side: 1, Line: 23, Word: 1",noun sg. emphatic,,,,,recognizable distinction,,,,הכירא;,hykyr),noun sg. emphatic,recognizable distinction
mn),"Masekhet: 71006, Page: 002, Side: 1, Line: 26, Word: 0",a,,,,,whence,,,,מנא,mn),adverb,whence
hny,"Masekhet: 71006, Page: 002, Side: 1, Line: 26, Word: 1",P01,,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
myly;,"Masekhet: 71006, Page: 002, Side: 1, Line: 26, Word: 2",noun pl. emphatic,,,,,"word, speech; thing",,,,מילי;,mylt),noun pl. emphatic,"word, speech; thing"
b$lm),"Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 0",a,,,,,it is all right,,,,בשלמא,b$lm),adverb,it is all right
kwlyh,"Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 1",noun sg. emphatic,,,,,"all, every",,,,כוליה,kl,noun sg. emphatic,"all, every"
qr),"Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 2",noun sg. emphatic,,,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
"""bprh""","Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 3",No data,,,,,,,,,בפרה,None,No data,
l),"Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 4",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
mytwqM;,"Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 5",verb Ct,,,,,"to be constituted, established","to be positioned, installed",to be erected,,מיתוקם;,qwm,verb ettaphal,"to be constituted, established | to be positioned, installed | to be erected"
"""wprh""","Masekhet: 71006, Page: 002, Side: 1, Line: 31, Word: 6",No data,,,,,,,,,ופרה,None,No data,
l)w,"Masekhet: 71006, Page: 002, Side: 1, Line: 32, Word: 0",a,,,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
bt,"Masekhet: 71006, Page: 002, Side: 1, Line: 32, Word: 1",noun sg. abs. or construct,,,,,daughter,,,,בת,brh,noun sg. abs. or construct,daughter
"""kprh""","Masekhet: 71006, Page: 002, Side: 1, Line: 32, Word: 2",No data,,,,,,,,,כפרה,None,No data,
hy);,"Masekhet: 71006, Page: 002, Side: 1, Line: 32, Word: 3",P01,,,,,she,,,,היא;,hy),preposition independent,she
)l),"Masekhet: 71006, Page: 002, Side: 1, Line: 32, Word: 4",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
)ym);,"Masekhet: 71006, Page: 002, Side: 1, Line: 32, Word: 5",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אימא;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
kwlyh,"Masekhet: 71006, Page: 002, Side: 1, Line: 33, Word: 0",noun sg. emphatic,,,,,"all, every",,,,כוליה,kl,noun sg. emphatic,"all, every"
qr),"Masekhet: 71006, Page: 002, Side: 1, Line: 33, Word: 1",noun sg. emphatic,,,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
..;,"Masekhet: 71006, Page: 002, Side: 1, Line: 33, Word: 2",No data,,,,,,,,,;,None,No data,
)mry;,"Masekhet: 71006, Page: 002, Side: 1, Line: 33, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרי;,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
ylyP,"Masekhet: 71006, Page: 002, Side: 1, Line: 34, Word: 0",V,,,,,,,,,יליף,ylp,V,
"""cw)h","Masekhet: 71006, Page: 002, Side: 1, Line: 34, Word: 1",No data,,,,,,,,,צואה,None,No data,
"cw)h"";","Masekhet: 71006, Page: 002, Side: 1, Line: 34, Word: 2",No data,,,,,,,,,צואה;,None,No data,
m)y,"Masekhet: 71006, Page: 002, Side: 2, Line: 07, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
npq),"Masekhet: 71006, Page: 002, Side: 2, Line: 07, Word: 1",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפקא,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
mynh;,"Masekhet: 71006, Page: 002, Side: 2, Line: 07, Word: 2",p02,,,,,from,,,,מינה;,mn,preposition with pronominal suffix,from
hny,"Masekhet: 71006, Page: 002, Side: 2, Line: 09, Word: 0",P01,,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
myly,"Masekhet: 71006, Page: 002, Side: 2, Line: 09, Word: 1",noun pl. emphatic,,,,,"word, speech; thing",,,,מילי,mylt),noun pl. emphatic,"word, speech; thing"
hyk),"Masekhet: 71006, Page: 002, Side: 2, Line: 09, Word: 2",a,,,,,where,,,,היכא,hyk),adverb,where
