text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
כלהן,getlex.php?coord=4440320110301&word=2,n.(pr.),,,,,"all, every",,,,,kl,n.(pr.),"all, every"
לה,getlex.php?coord=4440320110301&word=1,,,,,,,,,,,,,
ואמרו,getlex.php?coord=4440320110301&word=0,conj. vb. a/a G Gt,,,,,"and, also",to say,,,,w_,conj. vb. a/a G Gt,"and, also | to say"
,getlex.php?coord=4440320110217&word=3,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440320110217&word=2,,,,,,,,,,,,,
]ו֗לכל[,getlex.php?coord=4440320110217&word=1,conj. n.(pr.),,,,,"and, also","all, every",,,,w_,conj. n.(pr.),"and, also | all, every"
[٠٠٠,getlex.php?coord=4440320110217&word=0,,,,,,,,,,,,,
,getlex.php?coord=4440320110216&word=6,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440320110216&word=5,,,,,,,,,,,,,
ל֗[כל,getlex.php?coord=4440320110216&word=4,n.(pr.),,,,,"all, every",,,,,kl,n.(pr.),"all, every"
,getlex.php?coord=4440320110617&word=3,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440320110617&word=2,,,,,,,,,,,,,
[٠٠٠٠,getlex.php?coord=4440320440007&word=0,,,,,,,,,,,,,
,getlex.php?coord=4440320520330&word=3,,,,,,,,,,,,,
,getlex.php?coord=4440320640321&word=4,,,,,,,,,,,,,
,getlex.php?coord=4440320700105&word=4,,,,,,,,,,,,,
,getlex.php?coord=4440321210526&word=2,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210526&word=1,,,,,,,,,,,,,
א[נושא,getlex.php?coord=4440321210526&word=0,n.m.,,,,,human being,,,,,ˀnwš,n.m.,human being
,getlex.php?coord=4440321210525&word=3,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210525&word=2,,,,,,,,,,,,,
ק֗שט֗[א,getlex.php?coord=4440321210525&word=1,n.m.,,,,,"honesty, truth",,,,,qšwṭ,n.m.,"honesty, truth"
ארחת,getlex.php?coord=4440321210525&word=0,n.f.,,,,,"way, road",,,,,ˀwrḥ,n.f.,"way, road"
,getlex.php?coord=4440321210524&word=6,,,,,,,,,,,,,
[٠٠٠٠,getlex.php?coord=4440321210524&word=5,,,,,,,,,,,,,
ב֗נ֗י֗,getlex.php?coord=4440321210524&word=4,n.m.,,,,,son,,,,,br,n.m.,son
אמר,getlex.php?coord=4440321210524&word=3,vb. a/a G Gt,,,,,to say,,,,,ˀmr,vb. a/a G Gt,to say
אנה,getlex.php?coord=4440321210524&word=2,pron.,,,,,I,,,,,ˀnh,pron.,I
לכון,getlex.php?coord=4440321210524&word=1,,,,,,,,,,,,,
וכען,getlex.php?coord=4440321210524&word=0,conj. adv.,,,,,"and, also",now,,,,w_,conj. adv.,"and, also | now"
,getlex.php?coord=4440321210523&word=6,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210523&word=5,,,,,,,,,,,,,
סמכי֗[ן,getlex.php?coord=4440321210523&word=4,vb. a/u G D C Gt Dt,,,,,"to prop up, to support",,,,,smk,vb. a/u G D C Gt Dt,"to prop up, to support"
אנון,getlex.php?coord=4440321210523&word=3,pron.,,,,,"they, them",,,,,ˀnwn,pron.,"they, them"
והיכה,getlex.php?coord=4440321210523&word=2,conj. adv.,,,,,"and, also",how,,,,w_,conj. adv.,"and, also | how"
רומהון,getlex.php?coord=4440321210523&word=1,n.m.,,,,,height,,,,,rwm,n.m.,height
הוא,getlex.php?coord=4440321210523&word=0,pron.,,,,,he,,,,,hwˀ,pron.,he
,getlex.php?coord=4440321210522&word=8,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210522&word=7,,,,,,,,,,,,,
יכ֗[ל,getlex.php?coord=4440321210522&word=6,vb. e/u G C,,,,,to be able,,,,,ykl,vb. e/u G C,to be able
די,getlex.php?coord=4440321210522&word=5,,,,,,,,,,,,,
אנוש,getlex.php?coord=4440321210522&word=4,n.m.,,,,,human being,,,,,ˀnwš,n.m.,human being
כול,getlex.php?coord=4440321210522&word=3,n.(pr.),,,,,"all, every",,,,,kl,n.(pr.),"all, every"
הוא,getlex.php?coord=4440321210522&word=2,pron.,,,,,he,,,,,hwˀ,pron.,he
ומנו,getlex.php?coord=4440321210522&word=1,conj. pron.,,,,,"and, also",who?,,,,w_,conj. pron.,"and, also | who?"
וצרתה,getlex.php?coord=4440321210522&word=0,conj. n.f.,,,,,"and, also",image; circle,,,,w_,conj. n.f.,"and, also | image; circle"
,getlex.php?coord=4440321210521&word=7,,,,,,,,,,,,,
[٠٠٠٠,getlex.php?coord=4440321210521&word=6,,,,,,,,,,,,,
או֗,getlex.php?coord=4440321210521&word=5,conj.,,,,,or,,,,,ˀw,conj.,or
כולה,getlex.php?coord=4440321210521&word=4,n.(pr.),,,,,"all, every",,,,,kl,n.(pr.),"all, every"
ארעא,getlex.php?coord=4440321210521&word=3,n.f.,,,,,ground; land; Earth,,,,,ˀrˁ,n.f.,ground; land; Earth
די,getlex.php?coord=4440321210521&word=2,,,,,,,,,,,,,
ופתי֗ה֗,getlex.php?coord=4440321210521&word=1,conj. v.n.,,,,,"and, also",width,,,,w_,conj. v.n.,"and, also | width"
אורכה,getlex.php?coord=4440321210521&word=0,n.m.,,,,,length,,,,,ˀwrk,n.m.,length
,getlex.php?coord=4440321210520&word=8,,,,,,,,,,,,,
[٠٠٠,getlex.php?coord=4440321210520&word=7,,,,,,,,,,,,,
יכל,getlex.php?coord=4440321210520&word=6,vb. e/u G C,,,,,to be able,,,,,ykl,vb. e/u G C,to be able
די,getlex.php?coord=4440321210520&word=5,,,,,,,,,,,,,
א]נוש,getlex.php?coord=4440321210520&word=4,n.m.,,,,,human being,,,,,ˀnwš,n.m.,human being
[٠٠٠٠,getlex.php?coord=4440321210520&word=3,,,,,,,,,,,,,
הוא,getlex.php?coord=4440321210520&word=2,pron.,,,,,he,,,,,hwˀ,pron.,he
מנו,getlex.php?coord=4440321210520&word=1,pron.,,,,,who?,,,,,mn,pron.,who?
או,getlex.php?coord=4440321210520&word=0,conj.,,,,,or,,,,,ˀw,conj.,or
,getlex.php?coord=4440321210519&word=3,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210519&word=2,,,,,,,,,,,,,
למת֗[ניה,getlex.php?coord=4440321210519&word=1,vb. a/e G D C Gt Dt,,,,,to repeat,,,,,tny,vb. a/e G D C Gt Dt,to repeat
למתב,getlex.php?coord=4440321210519&word=0,vb. a/u G C Ct palpel ethpalpal,,,,,to return,,,,,twb,vb. a/u G C Ct palpel ethpalpal,to return
,getlex.php?coord=4440321210518&word=6,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210518&word=5,,,,,,,,,,,,,
י֗תנח֗[ון,getlex.php?coord=4440321210518&word=4,vb. a/u G D C Ct,,,,,to rest,,,,,nwḥ,vb. a/u G D C Ct,to rest
]ע֗[ליהו]ן֗,getlex.php?coord=4440321210518&word=3,prep.,,,,,upon; against; to,,,,,ˁl,prep.,upon; against; to
אנ[ון,getlex.php?coord=4440321210518&word=2,pron.,,,,,"they, them",,,,,ˀnwn,pron.,"they, them"
די,getlex.php?coord=4440321210518&word=1,,,,,,,,,,,,,
זויא,getlex.php?coord=4440321210518&word=0,n.m.,,,,,appearance; splendor,,,,,zyw,n.m.,appearance; splendor
,getlex.php?coord=4440321210517&word=7,,,,,,,,,,,,,
[٠٠٠٠,getlex.php?coord=4440321210517&word=6,,,,,,,,,,,,,
ד֗י֗,getlex.php?coord=4440321210517&word=5,,,,,,,,,,,,,
אנוש,getlex.php?coord=4440321210517&word=4,n.m.,,,,,human being,,,,,ˀnwš,n.m.,human being
כול,getlex.php?coord=4440321210517&word=3,n.(pr.),,,,,"all, every",,,,,kl,n.(pr.),"all, every"
הוא,getlex.php?coord=4440321210517&word=2,pron.,,,,,he,,,,,hwˀ,pron.,he
מ֗נו,getlex.php?coord=4440321210517&word=1,pron.,,,,,who?,,,,,mn,pron.,who?
או,getlex.php?coord=4440321210517&word=0,conj.,,,,,or,,,,,ˀw,conj.,or
,getlex.php?coord=4440321210516&word=6,,,,,,,,,,,,,
٠٠٠٠,getlex.php?coord=4440321210516&word=5,,,,,,,,,,,,,
