text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"[,,,",getlex.php?coord=44406001000301&word=0,,,,,,,,,,,,,
rb?,getlex.php?coord=44406001010219&word=3,,,,,,,,,,,,,
b?yqr,getlex.php?coord=44406001010219&word=2,,,,,,,,,,,,,
",,,]",getlex.php?coord=44406001010219&word=1,,,,,,,,,,,,,
",[,,,",getlex.php?coord=44406001010219&word=0,,,,,,,,,,,,,
kl,getlex.php?coord=44406001010218&word=4,,,,,,,,,,,,,
(d,getlex.php?coord=44406001010218&word=3,prep.,,,,,until,"until, as far as",as conj.:,see s.v.,,ˁd,prep.,"until | until, as far as | as conj.: | see s.v."
",,,",getlex.php?coord=44406003010006&word=4,,,,,,,,,,,,,
"c[,,,",getlex.php?coord=44406021303&word=2,,,,,,,,,,,,,
",,,],,,[,,,",getlex.php?coord=44406021301&word=0,,,,,,,,,,,,,
")n$[,,,",getlex.php?coord=44406021082&word=2,n.m.,,,,,"person, someone","person, someone","Man, humanity (usually in the emphatic)","often in the absolute state (i.e., as a pronoun, even in Eastern Aramaic):",,ˀnš,n.m.,"person, someone | person, someone | Man, humanity (usually in the emphatic) | often in the absolute state (i.e., as a pronoun, even in Eastern Aramaic):"
###,getlex.php?coord=44406021081&word=1,,,,,,,,,,,,,
",,,]tmlK",getlex.php?coord=44406021072&word=0,vb. e(a)/u G D C Gt Dt Ct,,,,,to rule; to advise; to promise,to reign,"to advise, give counsel to",to promise,,mlk,vb. e(a)/u G D C Gt Dt Ct,"to rule; to advise; to promise | to reign | to advise, give counsel to | to promise"
$]lM,getlex.php?coord=44406021033&word=1,n.m.,,,,,wellbeing; peace,"wellbeing, safety",peace,,,šlm,n.m.,"wellbeing; peace | wellbeing, safety | peace"
wzmnyN],getlex.php?coord=44406021032&word=1,conj. n.f./m.,,,,,"and, also",set time; instance,set time,instance,,w_,conj. n.f./m.,"and, also | set time; instance | set time | instance"
mlkwt,getlex.php?coord=44406021012&word=5,n.f.,,,,,kingdom,"kingship, reign","kingdom, realm (a political entity)",of heaven : the afterlife promised to the good or the imminent rule of God on earth,,mlkw,n.f.,"kingdom | kingship, reign | kingdom, realm (a political entity) | of heaven : the afterlife promised to the good or the imminent rule of God on earth"
",,,]byK",getlex.php?coord=44406021012&word=0,,,,,,,,,,,,,
",,,]mN",getlex.php?coord=44406021011&word=0,prep.,,,,,from,from,partitive,indicating the agent of a passive,,mn,prep.,from | from | partitive | indicating the agent of a passive
kwl?,getlex.php?coord=44406006070001&word=1,n.(pr.),,,,,"all, every",alone preceding a noun (technically the construct state!) :,as a postpositive with resumptive pronominal suffixes,emphatic state :,,kl,n.(pr.),"all, every | alone preceding a noun (technically the construct state!) : | as a postpositive with resumptive pronominal suffixes | emphatic state :"
)ds),getlex.php?coord=44406006050105&word=3,n.m.,,,,,myrtle,myrtle,,,,hds,n.m.,myrtle | myrtle
",,,",getlex.php?coord=44406006050104&word=1,,,,,,,,,,,,,
",,,",getlex.php?coord=44406006050103&word=1,,,,,,,,,,,,,
",,,",getlex.php?coord=44406006050102&word=1,,,,,,,,,,,,,
r)?[$),getlex.php?coord=44406006020008&word=4,n.m.,,,,,head; top; chief,(anat.) head,top,"beginning, origin, source",,ryš,n.m.,"head; top; chief | (anat.) head | top | beginning, origin, source"
",,,,",getlex.php?coord=44406006020007&word=6,,,,,,,,,,,,,
",,,",getlex.php?coord=44406006020007&word=1,,,,,,,,,,,,,
"[,,,,],,,[,,])",getlex.php?coord=44406006020006&word=0,,,,,,,,,,,,,
"[,,,",getlex.php?coord=44406006020005&word=0,,,,,,,,,,,,,
",,,]",getlex.php?coord=44406006020004&word=1,,,,,,,,,,,,,
