text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
(l,getlex.php?coord=5100501261&word=4,(l p01,,,,,upon; against; to,"upon, over, on to","against, over against","toward, to",,ˁl,(l p01,"upon; against; to | upon, over, on to | against, over against | toward, to"
w_,getlex.php?coord=5100501261&word=3,w_ c,,,,,"and, also",to be against; D to refuse,to speak falsely against,to deny,,w_,w_ c,"and, also | to be against; D to refuse | to speak falsely against | to deny"
)lh,getlex.php?coord=5100501251&word=13,)lh noun sg. emphatic,,,,,god,"god, God",,,,ˀlh,)lh noun sg. emphatic,"god | god, God"
slq,getlex.php?coord=5100501261&word=2,l_ p02,,,,,to go up,to go up,to result,to travel,,slq,l_ p02,to go up | to go up | to result | to travel
swgy,getlex.php?coord=5100510221&word=11,lsgy a01 = lsgy X --> swgy N,,,,,"large amount, multitude","large amount, multitude",majority,used adverbially,,swgy,lsgy a01 = lsgy X --> swgy N,"large amount, multitude | large amount, multitude | majority | used adverbially"
k_,getlex.php?coord=5100510221&word=9,k_ p02,,,,,like,"like, according to",about (with numeral),conj.,,k_,k_ p02,"like | like, according to | about (with numeral) | conj."
)by,getlex.php?coord=5100501261&word=1,)by verb G,,,,,"to want, to wish",to desire (uncertain),,,,ˀby,)by verb G,"to want, to wish | to desire (uncertain)"
yhb,getlex.php?coord=5100501251&word=14,yhb verb G,,,,,to give,to place,"to permit, allow","as coverb: to be on the point of doing something, give oneself over to",,yhb,yhb verb G,"to give | to place | to permit, allow | as coverb: to be on the point of doing something, give oneself over to"
,getlex.php?coord=5100510221&word=12,,,,,,,,,,,,,
לַנָא׃,getlex.php?coord=5100501251&word=15,l_ p01,,,,,,,,,,,l_ p01,
šmyn,getlex.php?coord=5100510221&word=10,$myn noun pl. emphatic,,,,,heaven; ceiling,heaven,"roof, ceiling",,,šmyn,$myn noun pl. emphatic,"heaven; ceiling | heaven | roof, ceiling"
w_,getlex.php?coord=5100501261&word=0,w_ c,,,,,"and, also","no, not",no! (as interj.),not (preceding and negating a predicate),,w_,w_ c,"and, also | no, not | no! (as interj.) | not (preceding and negating a predicate)"
,getlex.php?coord=5100501251&word=16,,,,,,,,,,,,,
)w,getlex.php?coord=5100504341&word=0,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
ns,getlex.php?coord=5100504341&word=1,ns noun pl. absolute,,,,,miracle,miracle,"sign, indicator",,,ns,ns noun pl. absolute,"miracle | miracle | sign, indicator"
yrdn,getlex.php?coord=5100504461&word=1,d_ p = d_ p --> dy p,,,,,the Jordan River,the Jordan River,any freely flowing water,,,yrdn,d_ p = d_ p --> dy p,the Jordan River | the Jordan River | any freely flowing water
,getlex.php?coord=5100504331&word=12,,,,,,,,,,,,,
,getlex.php?coord=5100512311&word=23,,,,,,,,,,,,,
ṭ(w,getlex.php?coord=5100512311&word=22,l_ p03,,,,,"error, idol",error,idolatrous divinity,,,ṭˁw,l_ p03,"error, idol | error | idolatrous divinity"
b_,getlex.php?coord=5100512311&word=21,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
w_,getlex.php?coord=5100504331&word=11,w_ c,,,,,"and, also",to rise; to stand; to last,to rise,"to stand, to be raised up",,w_,w_ c,"and, also | to rise; to stand; to last | to rise | to stand, to be raised up"
)ry,getlex.php?coord=5100512311&word=14,)ry c,,,,,"because, since","because, since","ארי אם, ארי אין : but rather (=MT  כִּי־אִם)",introducing object clauses,,ˀry,)ry c,"because, since | because, since | ארי אם, ארי אין : but rather (=MT  כִּי־אִם) | introducing object clauses"
)p,getlex.php?coord=5100512311&word=15,)p c,,,,,"also, even","also, even",in expressions,,,ˀp,)p c,"also, even | also, even | in expressions"
yt,getlex.php?coord=5100512311&word=16,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
w_,getlex.php?coord=5100512311&word=18,w_ c,,,,,"and, also",accusative particle,accusative particle,as a demonstrative pronoun :,,w_,w_ c,"and, also | accusative particle | accusative particle | as a demonstrative pronoun :"
brh,getlex.php?coord=5100512311&word=19,brh noun pl. emphatic,,,,,daughter,daughter,a small part of something,in compounds: member of the same cohort:,,brh,brh noun pl. emphatic,daughter | daughter | a small part of something | in compounds: member of the same cohort:
yqd,getlex.php?coord=5100512311&word=20,yqd verb C,,,,,"to set fire to, burn up",metaph. : to inflame with love,to be kindled,fig.: to be inflamed,,yqd,yqd verb C,"to set fire to, burn up | metaph. : to inflame with love | to be kindled | fig.: to be inflamed"
)šd,getlex.php?coord=5100515231&word=7,)$d verb G,,,,,to pour,metaph.,metaph. : to harass,p.p. : poured out,,ˀšd,)$d verb G,to pour | metaph. | metaph. : to harass | p.p. : poured out
)r(,getlex.php?coord=5100515231&word=6,)r( noun sg. emphatic,,,,,ground; land; Earth,ground,"land, country",the Earth,,ˀrˁ,)r( noun sg. emphatic,"ground; land; Earth | ground | land, country | the Earth"
)kl,getlex.php?coord=5100515231&word=4,)kl verb G,,,,,to eat,to consume,to enjoy the usufruct of something,in idioms,,ˀkl,)kl verb G,to eat | to consume | to enjoy the usufruct of something | in idioms
dm,getlex.php?coord=5100515231&word=2,dm noun sg. emphatic,,,,,blood,blood,juice,: human being :,,dm,dm noun sg. emphatic,blood | blood | juice | : human being :
(l,getlex.php?coord=5100515231&word=5,(l p01,,,,,upon; against; to,"upon, over, on to","against, over against","toward, to",,ˁl,(l p01,"upon; against; to | upon, over, on to | against, over against | toward, to"
k_,getlex.php?coord=5100515231&word=8,k_ p02,,,,,like,"like, according to",about (with numeral),conj.,,k_,k_ p02,"like | like, according to | about (with numeral) | conj."
l),getlex.php?coord=5100515231&word=3,l) a01,,,,,"no, not",no! (as interj.),not (preceding and negating a predicate),"compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'",,lˀ,l) a01,"no, not | no! (as interj.) | not (preceding and negating a predicate) | compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'"
,getlex.php?coord=5100515231&word=9,,,,,,,,,,,,,
yt,getlex.php?coord=5100515231&word=1,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
bsr,getlex.php?coord=5100515221&word=5,bsr noun sg. abs. or construct,,,,,flesh,flesh,penis,+,,bsr,bsr noun sg. abs. or construct,flesh | flesh | penis | +
lḥwd,getlex.php?coord=5100515231&word=0,lxwd a01,,,,,only; alone,"only, just","alone, separately",w. negative: not at all,,lḥwd,lxwd a01,"only; alone | only, just | alone, separately | w. negative: not at all"
ṭby,getlex.php?coord=5100515221&word=6,Tby noun sg. emphatic,,,,,gazelle,"mature gazelle, deer",,,,ṭby,Tby noun sg. emphatic,"gazelle | mature gazelle, deer"
,getlex.php?coord=5100515221&word=8,,,,,,,,,,,,,
w_,getlex.php?coord=5100515221&word=7,w_ c,,,,,"and, also",stag,"male deer, stag",ram,,w_,w_ c,"and, also | stag | male deer, stag | ram"
ms)b,getlex.php?coord=5100515221&word=2,ms)b A02,,,,,unclean,unclean,,,,msˀb,ms)b A02,unclean | unclean
kḥdh,getlex.php?coord=5100515221&word=4,kxd) a01 = kxd) X --> kxdh X,,,,,together,"together, as one",ܡܢ ܟܚܕܐ : from now on (?) :,,,kḥdh,kxd) a01 = kxd) X --> kxdh X,"together | together, as one | ܡܢ ܟܚܕܐ : from now on (?) :"
w_,getlex.php?coord=5100515221&word=3,w_ c,,,,,"and, also","pure, clean","pure, clean",,,w_,w_ c,"and, also | pure, clean | pure, clean"
qdm,getlex.php?coord=5100515211&word=12,qdm p01,,,,,before,before,as a substantive : front part,,,qdm,qdm p01,before | before | as a substantive : front part
l),getlex.php?coord=5100515211&word=10,l) a01,,,,,"no, not",no! (as interj.),not (preceding and negating a predicate),"compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'",,lˀ,l) a01,"no, not | no! (as interj.) | not (preceding and negating a predicate) | compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'"
br,getlex.php?coord=5100512311&word=17,br noun pl. emphatic,,,,,son,"son, child",member of the same cohort (,in compounds,,br,br noun pl. emphatic,"son | son, child | member of the same cohort ( | in compounds"
byš,getlex.php?coord=5100515211&word=9,by$ A01,,,,,bad,"bad, evil ( i.e., harmful, debilitating)","bad (i.e., the antithesis of good), not functioning properly",,,byš,by$ A01,"bad | bad, evil ( i.e., harmful, debilitating) | bad (i.e., the antithesis of good), not functioning properly"
ṭ(w,getlex.php?coord=5100512311&word=13,l_ p03,,,,,"error, idol",error,idolatrous divinity,,,ṭˁw,l_ p03,"error, idol | error | idolatrous divinity"
)w,getlex.php?coord=5100515211&word=5,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
(wyr,getlex.php?coord=5100515211&word=6,(wyr A01,,,,,blinded,"blinded, blind",blind in one eye,,,ˁwyr,(wyr A01,"blinded | blinded, blind | blind in one eye"
mwm,getlex.php?coord=5100515211&word=8,mwm noun sg. abs. or construct,,,,,defect,"physical defect, flaw",fig.,everything,,mwm,mwm noun sg. abs. or construct,"defect | physical defect, flaw | fig. | everything"
)lh,getlex.php?coord=5100515211&word=14,)lh noun sg. emphatic,,,,,god,"god, God",,,,ˀlh,)lh noun sg. emphatic,"god | god, God"
,getlex.php?coord=5100515211&word=15,,,,,,,,,,,,,
b_,getlex.php?coord=5100515221&word=0,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
ywy,getlex.php?coord=5100515211&word=13,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
ḥgyr,getlex.php?coord=5100515211&word=4,xgyr A01,,,,,lame,lame,fig. with respect to speech (,,,ḥgyr,xgyr A01,lame | lame | fig. with respect to speech (
b_,getlex.php?coord=5100515211&word=2,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
w_,getlex.php?coord=5100515201&word=10,w_ c,,,,,"and, also","person, someone","person, someone","Man, humanity (usually in the emphatic)",,w_,w_ c,"and, also | person, someone | person, someone | Man, humanity (usually in the emphatic)"
kl,getlex.php?coord=5100515211&word=7,kl noun sg. abs. or construct,,,,,"all, every",alone preceding a noun (technically the construct state!) :,as a postpositive with resumptive pronominal suffixes,emphatic state :,,kl,kl noun sg. abs. or construct,"all, every | alone preceding a noun (technically the construct state!) : | as a postpositive with resumptive pronominal suffixes | emphatic state :"
hwy,getlex.php?coord=5100515211&word=1,hwy verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,,hwy,hwy verb G,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
nks,getlex.php?coord=5100515211&word=11,nks verb G,,,,,to slaughter animals (as all or part of a sacrifice),to slaughter human beings,to slaughter for sacrifice in large numbers,to be slaughtered,,nks,nks verb G,to slaughter animals (as all or part of a sacrifice) | to slaughter human beings | to slaughter for sacrifice in large numbers | to be slaughtered
mwm,getlex.php?coord=5100515211&word=3,mwm noun sg. emphatic,,,,,defect,"physical defect, flaw",fig.,,,mwm,mwm noun sg. emphatic,"defect | physical defect, flaw | fig."
by,getlex.php?coord=5100515201&word=11,by noun sg. emphatic,,,,,house; structure; place,house: a building for dwelling,a structure,"place, area, home",,by,by noun sg. emphatic,"house; structure; place | house: a building for dwelling | a structure | place, area, home"
,getlex.php?coord=5100515201&word=12,,,,,,,,,,,,,
w_,getlex.php?coord=5100515211&word=0,w_ c,,,,,"and, also","because, since","because, since","ארי אם, ארי אין : but rather (=MT  כִּי־אִם)",,w_,w_ c,"and, also | because, since | because, since | ארי אם, ארי אין : but rather (=MT  כִּי־אִם)"
)nt,getlex.php?coord=5100515201&word=9,)t P01 = )t R --> )nt R,,,,,you (m.),you (m.),,,,ˀnt,)t P01 = )t R --> )nt R,you (m.) | you (m.)
)lh,getlex.php?coord=5100515201&word=2,)lh noun sg. emphatic,,,,,god,"god, God",,,,ˀlh,)lh noun sg. emphatic,"god | god, God"
šnh,getlex.php?coord=5100515201&word=4,$nh noun sg. abs. or construct,,,,,year,year,,,,šnh,$nh noun sg. abs. or construct,year | year
)kl,getlex.php?coord=5100515201&word=3,)kl verb G,,,,,to eat,to consume,to enjoy the usufruct of something,in idioms,,ˀkl,)kl verb G,to eat | to consume | to enjoy the usufruct of something | in idioms
b_,getlex.php?coord=5100515201&word=5,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
b_,getlex.php?coord=5100515201&word=6,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
ywy,getlex.php?coord=5100515201&word=8,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
r(y,getlex.php?coord=5100515201&word=7,d_ c = d_ c --> dy c,,,,,to desire,to desire,"to make amends for, satisfy","to reconcile, make contented",,rˁy,d_ c = d_ c --> dy c,"to desire | to desire | to make amends for, satisfy | to reconcile, make contented"
twr,getlex.php?coord=5100515191&word=13,d_ c = d_ c --> dy c,,,,,"ox, cow","bull, ox",(astron.) Taurus,(zool.) תורא דימא : an unclean fish,,twr,d_ c = d_ c --> dy c,"ox, cow | bull, ox | (astron.) Taurus | (zool.) תורא דימא : an unclean fish"
ywy,getlex.php?coord=5100515201&word=1,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
qdm,getlex.php?coord=5100515201&word=0,qdm p01,,,,,before,before,as a substantive : front part,,,qdm,qdm p01,before | before | as a substantive : front part
,getlex.php?coord=5100515191&word=18,,,,,,,,,,,,,
(n,getlex.php?coord=5100515191&word=17,d_ p = d_ p --> dy p,,,,,small cattle: sheep and goats,flock (of sheep and goats),sheep (as opposed to goats),,,ˁn,d_ p = d_ p --> dy p,small cattle: sheep and goats | flock (of sheep and goats) | sheep (as opposed to goats)
bkwr,getlex.php?coord=5100515191&word=16,bkwr noun sg. emphatic,,,,,firstborn,firstborn,"first one, earliest one",Bukhra: the sacramental Host in Nestorian ritual,,bkwr,bkwr noun sg. emphatic,"firstborn | firstborn | first one, earliest one | Bukhra: the sacramental Host in Nestorian ritual"
