text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
w_,getlex.php?coord=5100208281&word=7,w_ c,,,,,"and, also","no, not",no! (as interj.),not (preceding and negating a predicate),,w_,w_ c,"and, also | no, not | no! (as interj.) | not (preceding and negating a predicate)"
yt,getlex.php?coord=5100208281&word=9,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
)p,getlex.php?coord=5100208281&word=4,)p c,,,,,"also, even","also, even",in expressions,,,ˀp,)p c,"also, even | also, even | in expressions"
šlḥ,getlex.php?coord=5100208281&word=8,$lx verb D,,,,,"to let loose, release, dismiss",to send objects (pl.),to send something,to emit a loud cry,,šlḥ,$lx verb D,"to let loose, release, dismiss | to send objects (pl.) | to send something | to emit a loud cry"
,getlex.php?coord=5100208281&word=11,,,,,,,,,,,,,
b_,getlex.php?coord=5100208281&word=5,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
(m,getlex.php?coord=5100208281&word=10,(m noun sg. emphatic,,,,,people,"related group of people, nation","people, folks",,,ˁm,(m noun sg. emphatic,"people | related group of people, nation | people, folks"
hd),getlex.php?coord=5100208281&word=6,hd) P01,,,,,this (f.),this (f.),this (m.),this,,hdˀ,hd) P01,this (f.) | this (f.) | this (m.) | this
,getlex.php?coord=5100208271&word=12,,,,,,,,,,,,,
š)r,getlex.php?coord=5100208271&word=10,$)r verb Gt,,,,,to remain,to remain in large numbers,to be in a certain condition,,,šˀr,$)r verb Gt,to remain | to remain in large numbers | to be in a certain condition
w_,getlex.php?coord=5100208281&word=0,w_ c,,,,,"and, also",to be heavy,to be heavy,to be precious,,w_,w_ c,"and, also | to be heavy | to be heavy | to be precious"
yt,getlex.php?coord=5100208281&word=2,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
lb,getlex.php?coord=5100208281&word=3,lb noun sg. emphatic,,,,,heart; mind,(anat.) heart,mind,"center, core",,lb,lb noun sg. emphatic,"heart; mind | (anat.) heart | mind | center, core"
pr(h,getlex.php?coord=5100208281&word=1,pr(h noun sg. abs. or construct,,,,,Pharaoh,Pharaoh,,,,prˁh,pr(h noun sg. abs. or construct,Pharaoh | Pharaoh
ḥd,getlex.php?coord=5100208271&word=11,xd n01,,,,,one,one,with another number (or,"_ + number) : multiplicative: twice, thrice, etc.",,ḥd,xd n01,"one | one | with another number (or | _ + number) : multiplicative: twice, thrice, etc."
mn,getlex.php?coord=5100208271&word=6,m_ p03 = m_ p --> mn p,,,,,from,from,partitive,indicating the agent of a passive,,mn,m_ p03 = m_ p --> mn p,from | from | partitive | indicating the agent of a passive
w_,getlex.php?coord=5100208271&word=4,w_ c,,,,,"and, also",to pass over,"to pass over, cross",to pass by,,w_,w_ c,"and, also | to pass over | to pass over, cross | to pass by"
דְמֹשַה,getlex.php?coord=5100208271&word=3,d_ p = d_ p --> dy p,,,,,,,,,,,d_ p = d_ p --> dy p,
k_,getlex.php?coord=5100208271&word=2,k_ p02,,,,,like,"like, according to",about (with numeral),conj.,,k_,k_ p02,"like | like, according to | about (with numeral) | conj."
(rwb,getlex.php?coord=5100208271&word=5,(rwb noun sg. emphatic,,,,,mixture; pestilence,mixture,pest infestation,,,ˁrwb,(rwb noun sg. emphatic,mixture; pestilence | mixture | pest infestation
mn,getlex.php?coord=5100208271&word=7,m_ p03 = m_ p --> mn p,,,,,from,from,partitive,indicating the agent of a passive,,mn,m_ p03 = m_ p --> mn p,from | from | partitive | indicating the agent of a passive
ywy,getlex.php?coord=5100208271&word=1,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
w_,getlex.php?coord=5100208271&word=8,w_ c,,,,,"and, also",from,from,partitive,,w_,w_ c,"and, also | from | from | partitive"
w_,getlex.php?coord=5100208271&word=0,w_ c,,,,,"and, also","to make, act, do",to make,"to do, perform, act in a certain manner",,w_,w_ c,"and, also | to make, act, do | to make | to do, perform, act in a certain manner"
ywy,getlex.php?coord=5100208261&word=6,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
,getlex.php?coord=5100208261&word=7,,,,,,,,,,,,,
w_,getlex.php?coord=5100208261&word=0,w_ c,,,,,"and, also",to go out,"to go out, come out, leave","to turn into, end up differently from how it started",,w_,w_ c,"and, also | to go out | to go out, come out, leave | to turn into, end up differently from how it started"
qdm,getlex.php?coord=5100208251&word=25,qdm p01,,,,,before,before,as a substantive : front part,,,qdm,qdm p01,before | before | as a substantive : front part
ywy,getlex.php?coord=5100208251&word=26,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
,getlex.php?coord=5100208251&word=27,,,,,,,,,,,,,
yt,getlex.php?coord=5100208251&word=22,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
