text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
ḥbl,getlex.php?coord=5100106131&word=17,xbl verb D,,,,,"to damage, injure something/someone","to kill, to destroy",to corrupt,to injure,,ḥbl,xbl verb D,"to damage, injure something/someone | to kill, to destroy | to corrupt | to injure"
šnh,getlex.php?coord=5100109291&word=7,$nh noun pl. absolute,,,,,year,year,,,,šnh,$nh noun pl. absolute,year | year
w_,getlex.php?coord=5100109291&word=8,w_ c,,,,,"and, also",to die,to die,fig. : to remain hidden until disappearance,,w_,w_ c,"and, also | to die | to die | fig. : to remain hidden until disappearance"
,getlex.php?coord=5100109291&word=9,,,,,,,,,,,,,
w_,getlex.php?coord=5100109291&word=6,w_ c,,,,,"and, also",fifty,fifty,,,w_,w_ c,"and, also | fifty | fifty"
m)h,getlex.php?coord=5100109291&word=5,m)h n01,,,,,hundred,hundred,unit of a hundred men,century,,mˀh,m)h n01,hundred | hundred | unit of a hundred men | century
נֹחַ,getlex.php?coord=5100109291&word=3,nx PN Personal name,,,,,,,,,,,nx PN Personal name,
tš(,getlex.php?coord=5100109291&word=4,t$( n01,,,,,nine,nine,,,,tšˁ,t$( n01,nine | nine
w_,getlex.php?coord=5100109291&word=0,w_ c,,,,,"and, also","to be, to become",to be,"to endure, to exist",,w_,w_ c,"and, also | to be, to become | to be | to endure, to exist"
w_,getlex.php?coord=5100109281&word=6,w_ c,,,,,"and, also",fifty,fifty,,,w_,w_ c,"and, also | fifty | fifty"
šnh,getlex.php?coord=5100109281&word=7,$nh noun pl. absolute,,,,,year,year,,,,šnh,$nh noun pl. absolute,year | year
m)h,getlex.php?coord=5100109281&word=5,m)h n01,,,,,hundred,hundred,unit of a hundred men,century,,mˀh,m)h n01,hundred | hundred | unit of a hundred men | century
,getlex.php?coord=5100109281&word=8,,,,,,,,,,,,,
יוֹמֵי,getlex.php?coord=5100109291&word=2,part of previous word,,,,,,,,,,,part of previous word,
klywm,getlex.php?coord=5100109291&word=1,klywm a04,,,,,daily,daily,,,,klywm,klywm a04,daily | daily
tlt,getlex.php?coord=5100109281&word=4,tlt n01,,,,,three,three,w. masc. pl. pron. suff. : group of three,,,tlt,tlt n01,three | three | w. masc. pl. pron. suff. : group of three
)ḥ,getlex.php?coord=5100124271&word=18,)x noun sg. emphatic,,,,,brother,brother,"kinsman, comrade",,,ˀḥ,)x noun sg. emphatic,"brother | brother | kinsman, comrade"
,getlex.php?coord=5100124411&word=14,,,,,,,,,,,,,
ywy,getlex.php?coord=5100124421&word=5,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
w_,getlex.php?coord=5100124421&word=4,w_ c,,,,,"and, also",to say,to say,to command,,w_,w_ c,"and, also | to say | to say | to command"
(yn,getlex.php?coord=5100124421&word=3,l_ p03,,,,,eye; spring,(anat.) eye,"spring, fountain","that which is seen, appearance, aspect",,ˁyn,l_ p03,"eye; spring | (anat.) eye | spring, fountain | that which is seen, appearance, aspect"
דֵין,getlex.php?coord=5100124421&word=2,part of previous word,,,,,,,,,,,part of previous word,
w_,getlex.php?coord=5100124421&word=0,w_ c,,,,,"and, also","to come, arrive",to come,to occur; w.,,w_,w_ c,"and, also | to come, arrive | to come | to occur; w."
ywmdn,getlex.php?coord=5100124421&word=1,ywmdn a01,,,,,today,today,"that particular day, that time",,,ywmdn,ywmdn a01,"today | today | that particular day, that time"
,getlex.php?coord=5100124671&word=22,,,,,,,,,,,,,
k_,getlex.php?coord=5100124671&word=7,k_ p02,,,,,like,"like, according to",about (with numeral),conj.,,k_,k_ p02,"like | like, according to | about (with numeral) | conj."
רבקה,getlex.php?coord=5100124671&word=12,rbqh PN Personal name,,,,,,,,,,,rbqh PN Personal name,
)m,getlex.php?coord=5100124671&word=9,)m noun sg. emphatic,,,,,mother,mother,"origin, source","fig.: central city of a region, metropolis",,ˀm,)m noun sg. emphatic,"mother | mother | origin, source | fig.: central city of a region, metropolis"
w_,getlex.php?coord=5100124671&word=13,w_ c,,,,,"and, also","to be, to become",to be,"to endure, to exist",,w_,w_ c,"and, also | to be, to become | to be | to endure, to exist"
yt,getlex.php?coord=5100124671&word=11,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
שָׂרָה,getlex.php?coord=5100124671&word=8,&rh PN Personal name,,,,,,,,,,,&rh PN Personal name,
לֵיה,getlex.php?coord=5100124671&word=14,l_ p01,,,,,,,,,,,l_ p01,
btr,getlex.php?coord=5100124671&word=19,btr p01,,,,,after,after,conj.: after,"w. personal pron. suf. : behind one, backwards (?)",,btr,btr p01,"after | after | conj.: after | w. personal pron. suf. : behind one, backwards (?)"
)ntw,getlex.php?coord=5100124671&word=15,l_ p03,,,,,"wifehood, matrimony","wifehood, matrimony","wifehood, matrimony","wifehood, matrimony",,ˀntw,l_ p03,"wifehood, matrimony | wifehood, matrimony | wifehood, matrimony | wifehood, matrimony"
יִצחָק,getlex.php?coord=5100124671&word=18,ycxq PN Personal name,,,,,,,,,,,ycxq PN Personal name,
w_,getlex.php?coord=5100124671&word=16,w_ c,,,,,"and, also",to love,to love,to have pity on,,w_,w_ c,"and, also | to love | to love | to have pity on"
w_,getlex.php?coord=5100124671&word=10,w_ c,,,,,"and, also",to take,"to take, pick up, carry",to marry,,w_,w_ c,"and, also | to take | to take, pick up, carry | to marry"
mškn,getlex.php?coord=5100124671&word=2,l_ p03,,,,,tent,tent,dwelling place (esp. of divinity),theatre stage,,mškn,l_ p03,tent | tent | dwelling place (esp. of divinity) | theatre stage
w_,getlex.php?coord=5100124671&word=0,w_ c,,,,,"and, also",to enter,to enter,w.,,w_,w_ c,"and, also | to enter | to enter | w."
(wbd,getlex.php?coord=5100124671&word=6,(wbd noun pl. emphatic,,,,,"act, deed","act, deed","case, happening",legal decision,,ˁwbd,(wbd noun pl. emphatic,"act, deed | act, deed | case, happening | legal decision"
tqn,getlex.php?coord=5100124671&word=5,tqn#2 A03,,,,,correct,"proper, correct, steadfast",,,,tqn,tqn#2 A03,"correct | proper, correct, steadfast"
,getlex.php?coord=5100124661&word=7,,,,,,,,,,,,,
w_,getlex.php?coord=5100124671&word=4,w_ c,,,,,"and, also",here! look!,"here, look! (presentative particle)",here (adv.),,w_,w_ c,"and, also | here! look! | here, look! (presentative particle) | here (adv.)"
יצחק,getlex.php?coord=5100124671&word=1,ycxq PN Personal name,,,,,,,,,,,ycxq PN Personal name,
w_,getlex.php?coord=5100124671&word=3,w_ c,,,,,"and, also",to see,to see,(,,w_,w_ c,"and, also | to see | to see | ("
(bd,getlex.php?coord=5100124661&word=6,d_ c = d_ c --> dy c,,,,,"to make, act, do",to make,"to do, perform, act in a certain manner","to designate, make into",,ˁbd,d_ c = d_ c --> dy c,"to make, act, do | to make | to do, perform, act in a certain manner | to designate, make into"
ptgm,getlex.php?coord=5100124661&word=5,ptgm noun pl. emphatic,,,,,statement; matter,"statement, word","thing, matter",sharp edge :,,ptgm,ptgm noun pl. emphatic,"statement; matter | statement, word | thing, matter | sharp edge :"
kl,getlex.php?coord=5100124661&word=4,kl noun sg. abs. or construct,,,,,"all, every",alone preceding a noun (technically the construct state!) :,as a postpositive with resumptive pronominal suffixes,emphatic state :,,kl,kl noun sg. abs. or construct,"all, every | alone preceding a noun (technically the construct state!) : | as a postpositive with resumptive pronominal suffixes | emphatic state :"
w_,getlex.php?coord=5100124671&word=17,w_ c,,,,,"and, also",to comfort,"to comfort, to console","to raise the dead, resurrect",,w_,w_ c,"and, also | to comfort | to comfort, to console | to raise the dead, resurrect"
yt,getlex.php?coord=5100124661&word=3,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
