text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
,getlex.php?coord=5100303171&word=11,,,,,,,,,,,,,
)kl,getlex.php?coord=5100303171&word=10,)kl verb G,,,,,to eat,to consume,to enjoy the usufruct of something,in idioms,,ˀkl,)kl verb G,to eat | to consume | to enjoy the usufruct of something | in idioms
l),getlex.php?coord=5100303171&word=9,l) a01,,,,,"no, not",no! (as interj.),not (preceding and negating a predicate),"compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'",,lˀ,l) a01,"no, not | no! (as interj.) | not (preceding and negating a predicate) | compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'"
dm,getlex.php?coord=5100303171&word=8,dm noun sg. emphatic,,,,,blood,blood,juice,: human being :,,dm,dm noun sg. emphatic,blood | blood | juice | : human being :
,getlex.php?coord=5100310201&word=4,,,,,,,,,,,,,
b_,getlex.php?coord=5100310201&word=3,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
b_,getlex.php?coord=5100311461&word=8,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
w_,getlex.php?coord=5100310201&word=2,w_ c,,,,,"and, also","to be beautiful, pleasing","to be beautiful, pleasing","to be proper, fitting",,w_,w_ c,"and, also | to be beautiful, pleasing | to be beautiful, pleasing | to be proper, fitting"
מֹשַה,getlex.php?coord=5100310201&word=1,m$h PN Personal name,,,,,,,,,,,m$h PN Personal name,
w_,getlex.php?coord=5100310201&word=0,w_ c,,,,,"and, also",to hear,to hear (w. d.o. or,) something,,w_,w_ c,"and, also | to hear | to hear (w. d.o. or | ) something"
,getlex.php?coord=5100310191&word=27,,,,,,,,,,,,,
rḥš,getlex.php?coord=5100311461&word=7,d_ c = d_ c --> dy c,,,,,to creep,to creep,(water) to produce creeping things,to mumble,,rḥš,d_ c = d_ c --> dy c,to creep | to creep | (water) to produce creeping things | to mumble
d),getlex.php?coord=5100311461&word=0,d) P01,,,,,this (f.),this (f.),,,,dˀ,d) P01,this (f.) | this (f.)
w_,getlex.php?coord=5100311461&word=4,w_ c,,,,,"and, also","all, every",alone preceding a noun (technically the construct state!) :,as a postpositive with resumptive pronominal suffixes,,w_,w_ c,"and, also | all, every | alone preceding a noun (technically the construct state!) : | as a postpositive with resumptive pronominal suffixes"
)wr)h,getlex.php?coord=5100311461&word=1,)wr)h noun sg. emphatic,,,,,"law, teaching; the Torah","written law, instruction","the Torah, Pentateuch",,,ˀwrˀh,)wr)h noun sg. emphatic,"law, teaching; the Torah | written law, instruction | the Torah, Pentateuch"
ḥwr,getlex.php?coord=5100313381&word=9,xwr A03,,,,,white,white,white clothing,silver,,ḥwr,xwr A03,white | white | white clothing | silver
w_,getlex.php?coord=5100313391&word=0,w_ c,,,,,"and, also",to see,to see,(,,w_,w_ c,"and, also | to see | to see | ("
bsr,getlex.php?coord=5100313381&word=6,bsr noun sg. emphatic,,,,,flesh,flesh,penis,+,,bsr,bsr noun sg. emphatic,flesh | flesh | penis | +
b_,getlex.php?coord=5100313381&word=5,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
bhrh,getlex.php?coord=5100313381&word=7,bhrh noun pl. absolute,,,,,white spot,white spot,,,,bhrh,bhrh noun pl. absolute,white spot | white spot
khn,getlex.php?coord=5100313391&word=1,khn noun sg. emphatic,,,,,priest,priest,,,,khn,khn noun sg. emphatic,priest | priest
bhrh,getlex.php?coord=5100313381&word=8,bhrh noun pl. absolute,,,,,white spot,white spot,,,,bhrh,bhrh noun pl. absolute,white spot | white spot
,getlex.php?coord=5100313381&word=10,,,,,,,,,,,,,
s)b,getlex.php?coord=5100313591&word=18,l_ p02,,,,,"D to defile, to dirty","to defile, to dirty",fig.: to repudiate,סייב : (uncertain),,sˀb,l_ p02,"D to defile, to dirty | to defile, to dirty | fig.: to repudiate | סייב : (uncertain)"
)w,getlex.php?coord=5100313591&word=17,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
,getlex.php?coord=5100313591&word=19,,,,,,,,,,,,,
m)n,getlex.php?coord=5100313591&word=14,mn#2 noun sg. abs. or construct= mn#2 N --> m)n N,,,,,vessel; garment,vessel,"instrument, utensil, tool",garment,,mˀn,mn#2 noun sg. abs. or construct= mn#2 N --> m)n N,"vessel; garment | vessel | instrument, utensil, tool | garment"
dky,getlex.php?coord=5100313591&word=16,l_ p02,,,,,to be clean,to be (ritually) clean,"to cleanse, to purify ritually",(leg.) to clear of claims,,dky,l_ p02,"to be clean | to be (ritually) clean | to cleanse, to purify ritually | (leg.) to clear of claims"
mšk,getlex.php?coord=5100313591&word=15,d_ p = d_ p --> dy p,,,,,skin,"skin, hide","treated skin, i.e., leather or otherwise used for garments or vessels",bark,,mšk,d_ p = d_ p --> dy p,"skin | skin, hide | treated skin, i.e., leather or otherwise used for garments or vessels | bark"
hwy,getlex.php?coord=5100313381&word=4,hwy verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,,hwy,hwy verb G,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
šty,getlex.php?coord=5100313591&word=9,$ty noun sg. emphatic,,,,,warp,warp,שׁתי וערב : adv. : lengthwise and crosswise [Heb.?],,,šty,$ty noun sg. emphatic,warp | warp | שׁתי וערב : adv. : lengthwise and crosswise [Heb.?]
(rb,getlex.php?coord=5100313591&word=11,(rb noun sg. emphatic,,,,,woof,woof,mixture,,,ˁrb,(rb noun sg. emphatic,woof | woof | mixture
)w,getlex.php?coord=5100313591&word=10,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
ktn,getlex.php?coord=5100313591&word=7,kytn noun sg. emphatic= kytn N --> ktn N,,,,,linen; flax,linen,flax,a garment (but,,ktn,kytn noun sg. emphatic= kytn N --> ktn N,linen; flax | linen | flax | a garment (but
)w,getlex.php?coord=5100313591&word=8,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
)w,getlex.php?coord=5100313591&word=6,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
kl,getlex.php?coord=5100313591&word=13,kl noun sg. abs. or construct,,,,,"all, every",alone preceding a noun (technically the construct state!) :,as a postpositive with resumptive pronominal suffixes,emphatic state :,,kl,kl noun sg. abs. or construct,"all, every | alone preceding a noun (technically the construct state!) : | as a postpositive with resumptive pronominal suffixes | emphatic state :"
)w,getlex.php?coord=5100313591&word=12,)w c,,,,,or,or,": if . . . but if, whether . . . or",equivalent to MT אִם as the second clause in a question,,ˀw,)w c,"or | or | : if . . . but if, whether . . . or | equivalent to MT אִם as the second clause in a question"
