text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
byt )b,getlex.php?coord=5100402341&word=16,byt@)b noun sg. emphatic,,,,,extended family,"extended family, clan",father's house :,,,byt ˀb,byt@)b noun sg. emphatic,"extended family | extended family, clan | father's house :"
,getlex.php?coord=5100403471&word=11,,,,,,,,,,,,,
)lyn,getlex.php?coord=5100404411&word=0,)lyn P01,,,,,these (m. and f.),these,,,,ˀlyn,)lyn P01,these (m. and f.) | these
,getlex.php?coord=5100402341&word=17,,,,,,,,,,,,,
sl(,getlex.php?coord=5100403471&word=10,sl( noun sg. emphatic,,,,,sela coin,sela (a coin),round spot,,,slˁ,sl( noun sg. emphatic,sela coin | sela (a coin) | round spot
m(h,getlex.php?coord=5100403471&word=9,m(h noun pl. absolute,,,,,"a weight, a small coin",a weight,a small coin,,,mˁh,m(h noun pl. absolute,"a weight, a small coin | a weight | a small coin"
(sryn,getlex.php?coord=5100403471&word=8,(sryn n01,,,,,twenty,twenty,,,,ˁsryn,(sryn n01,twenty | twenty
,getlex.php?coord=5100404401&word=9,,,,,,,,,,,,,
zr(y,getlex.php?coord=5100404411&word=2,zr(y noun pl. construct,,,,,"family, clan","family, clan",(pl.) progeny,,,zrˁy,zr(y noun pl. construct,"family, clan | family, clan | (pl.) progeny"
mnyn,getlex.php?coord=5100404411&word=1,mnyn noun pl. construct,,,,,"number, amount","number, amount","reckoning of an amount, counting",quorum,,mnyn,mnyn noun pl. construct,"number, amount | number, amount | reckoning of an amount, counting | quorum"
דמשה#3#/׃,getlex.php?coord=5100404491&word=20,d_ p = d_ p --> dy p,,,,,,,,,,,d_ p = d_ p --> dy p,
,getlex.php?coord=5100404491&word=21,,,,,,,,,,,,,
m)h,getlex.php?coord=5100404401&word=7,m)h n01,,,,,hundred,hundred,unit of a hundred men,century,,mˀh,m)h n01,hundred | hundred | unit of a hundred men | century
w_,getlex.php?coord=5100404401&word=6,w_ c,,,,,"and, also",six,six,fem. : group of six,,w_,w_ c,"and, also | six | six | fem. : group of six"
w_,getlex.php?coord=5100404401&word=8,w_ c,,,,,"and, also",thirty,thirty,,,w_,w_ c,"and, also | thirty | thirty"
מֹשַה,getlex.php?coord=5100404491&word=18,m$h PN Personal name,,,,,,,,,,,m$h PN Personal name,
yt,getlex.php?coord=5100404491&word=17,yt p01,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p01,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
b_,getlex.php?coord=5100404491&word=19,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
w_,getlex.php?coord=5100404491&word=13,w_ c,,,,,"and, also","number, amount","number, amount","reckoning of an amount, counting",,w_,w_ c,"and, also | number, amount | number, amount | reckoning of an amount, counting"
kmh d_,getlex.php?coord=5100404491&word=14,kmh c,,,,,just as,just as,_ : as if,,,kmh d_,kmh c,just as | just as | _ : as if
pqd,getlex.php?coord=5100404491&word=15,d_ c = d_ c --> dy c,,,,,to visit; appoint; D to command,"to care for, look for","to command, order","p.p. : held in place, retained",,pqd,d_ c = d_ c --> dy c,"to visit; appoint; D to command | to care for, look for | to command, order | p.p. : held in place, retained"
mṭwl,getlex.php?coord=5100404491&word=12,mTwl noun sg. emphatic,,,,,burden,burden,stage of a journey,song ( or just burden??),,mṭwl,mTwl noun sg. emphatic,burden | burden | stage of a journey | song ( or just burden??)
w_,getlex.php?coord=5100404491&word=11,w_ c,,,,,"and, also",upon; against; to,"upon, over, on to","against, over against",,w_,w_ c,"and, also | upon; against; to | upon, over, on to | against, over against"
ywy,getlex.php?coord=5100404491&word=16,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
דְמֹשַה,getlex.php?coord=5100404491&word=6,d_ p = d_ p --> dy p,,,,,,,,,,,d_ p = d_ p --> dy p,
(l,getlex.php?coord=5100404491&word=9,(l p01,,,,,upon; against; to,"upon, over, on to","against, over against","toward, to",,ˁl,(l p01,"upon; against; to | upon, over, on to | against, over against | toward, to"
gbr,getlex.php?coord=5100404491&word=7,gbr noun sg. abs. or construct,,,,,man,man,"person, someone",supernatural being,,gbr,gbr noun sg. abs. or construct,"man | man | person, someone | supernatural being"
gbr,getlex.php?coord=5100404491&word=8,gbr noun sg. abs. or construct,,,,,man,man,"person, someone",supernatural being,,gbr,gbr noun sg. abs. or construct,"man | man | person, someone | supernatural being"
b_,getlex.php?coord=5100404491&word=5,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
pwlḥn,getlex.php?coord=5100404491&word=10,pwlxn noun sg. emphatic,,,,,work; worship,work,worship,cohort of workers,,pwlḥn,pwlxn noun sg. emphatic,work; worship | work | worship | cohort of workers
ywy,getlex.php?coord=5100404491&word=2,d_ p = d_ p --> dy p,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,d_ p = d_ p --> dy p,abbreviation for the Tetragram | abbreviation for the Tetragram
m)mr,getlex.php?coord=5100404491&word=1,mymr noun sg. emphatic= mymr N --> m)mr N,,,,,speech,speech,word,", an attribute of the name of God as speaker to avoid anthropormorphism",,mˀmr,mymr noun sg. emphatic= mymr N --> m)mr N,"speech | speech | word | , an attribute of the name of God as speaker to avoid anthropormorphism"
(l,getlex.php?coord=5100404491&word=0,(l p01,,,,,upon; against; to,"upon, over, on to","against, over against","toward, to",,ˁl,(l p01,"upon; against; to | upon, over, on to | against, over against | toward, to"
yt,getlex.php?coord=5100404491&word=4,yt p02,,,,,accusative particle,accusative particle,as a demonstrative pronoun :,introducing indirect objects,,yt,yt p02,accusative particle | accusative particle | as a demonstrative pronoun : | introducing indirect objects
mny,getlex.php?coord=5100404491&word=3,mny verb G,,,,,"to count, to number","to count as, to reckon as","to recite, chant","to appoint, assign",,mny,mny verb G,"to count, to number | to count as, to reckon as | to recite, chant | to appoint, assign"
m)h,getlex.php?coord=5100404481&word=5,m)h n01,,,,,hundred,hundred,unit of a hundred men,century,,mˀh,m)h n01,hundred | hundred | unit of a hundred men | century
tmny,getlex.php?coord=5100404481&word=2,tmny n01,,,,,eight,eight,,,,tmny,tmny n01,eight | eight
mnyn,getlex.php?coord=5100404481&word=1,mnyn noun pl. emphatic,,,,,"number, amount","number, amount","reckoning of an amount, counting",quorum,,mnyn,mnyn noun pl. emphatic,"number, amount | number, amount | reckoning of an amount, counting | quorum"
w_,getlex.php?coord=5100404481&word=0,w_ c,,,,,"and, also","to be, to become",to be,"to endure, to exist",,w_,w_ c,"and, also | to be, to become | to be | to endure, to exist"
,getlex.php?coord=5100404471&word=17,,,,,,,,,,,,,
w_,getlex.php?coord=5100404481&word=4,w_ c,,,,,"and, also",five,five,masc. form in construct or determined : group(s) of five,,w_,w_ c,"and, also | five | five | masc. form in construct or determined : group(s) of five"
)lp,getlex.php?coord=5100404481&word=3,)lp n03,,,,,thousand,thousand,large tribal or military unit [Heb.;,,,ˀlp,)lp n03,thousand | thousand | large tribal or military unit [Heb.;
w_,getlex.php?coord=5100404481&word=6,w_ c,,,,,"and, also",eighty,eighty,,,w_,w_ c,"and, also | eighty | eighty"
b_,getlex.php?coord=5100404471&word=15,b_ p02,,,,,"in, with",in,with (instrumental),among,,b_,b_ p02,"in, with | in | with (instrumental) | among"
w_,getlex.php?coord=5100404471&word=13,w_ c,,,,,"and, also",work; worship,work,worship,,w_,w_ c,"and, also | work; worship | work | worship"
pwlḥn,getlex.php?coord=5100404471&word=12,pwlxn noun sg. emphatic,,,,,work; worship,work,worship,cohort of workers,,pwlḥn,pwlxn noun sg. emphatic,work; worship | work | worship | cohort of workers
mṭwl,getlex.php?coord=5100404471&word=14,mTwl noun sg. abs. or construct,,,,,burden,burden,stage of a journey,song ( or just burden??),,mṭwl,mTwl noun sg. abs. or construct,burden | burden | stage of a journey | song ( or just burden??)
plḥ,getlex.php?coord=5100404471&word=10,l_ p02,,,,,to work,to work,"to labor at (work, job), work for",to serve,,plḥ,l_ p02,"to work | to work | to labor at (work, job), work for | to serve"
zmn,getlex.php?coord=5100404471&word=16,zmn noun sg. emphatic,,,,,set time; instance,set time,instance,pl. abs. : sometimes,,zmn,zmn noun sg. emphatic,set time; instance | set time | instance | pl. abs. : sometimes
pwlḥn,getlex.php?coord=5100404471&word=11,pwlxn noun sg. abs. or construct,,,,,work; worship,work,worship,cohort of workers,,pwlḥn,pwlxn noun sg. abs. or construct,work; worship | work | worship | cohort of workers
šnh,getlex.php?coord=5100404471&word=7,$nh noun pl. absolute,,,,,year,year,,,,šnh,$nh noun pl. absolute,year | year
br,getlex.php?coord=5100404471&word=5,br noun sg. abs. or construct,,,,,son,"son, child",member of the same cohort (,in compounds,,br,br noun sg. abs. or construct,"son | son, child | member of the same cohort ( | in compounds"
w_,getlex.php?coord=5100404471&word=4,w_ c,,,,,"and, also",until,"until, as far as",as conj.:,,w_,w_ c,"and, also | until | until, as far as | as conj.:"
w_,getlex.php?coord=5100404471&word=3,w_ c,,,,,"and, also",above,above,upward,,w_,w_ c,"and, also | above | above | upward"
kl,getlex.php?coord=5100404471&word=8,kl noun sg. abs. or construct,,,,,"all, every",alone preceding a noun (technically the construct state!) :,as a postpositive with resumptive pronominal suffixes,emphatic state :,,kl,kl noun sg. abs. or construct,"all, every | alone preceding a noun (technically the construct state!) : | as a postpositive with resumptive pronominal suffixes | emphatic state :"
ḥmšyn,getlex.php?coord=5100404471&word=6,xm$yn n01,,,,,fifty,fifty,,,,ḥmšyn,xm$yn n01,fifty | fifty
