text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)lh),getlex.php?coord=4400104082109&word=0,n.m.,,,,,god,"god, God",,,,,n.m.,"god | god, God"
",,,",getlex.php?coord=4400104072109&word=1,,,,,,,,,,,,,
(lyhw?[N,getlex.php?coord=4400104082109&word=1,prep.,,,,,upon; against; to,"upon, over, on to","against, over against","toward, to",,,prep.,"upon; against; to | upon, over, on to | against, over against | toward, to"
",,,",getlex.php?coord=4400104082109&word=2,,,,,,,,,,,,,
btyhwN?[,getlex.php?coord=4400104072109&word=0,n.m./f.,,,,,house; structure; place,house: a building for dwelling,a structure,"place, area, home",,,n.m./f.,"house; structure; place | house: a building for dwelling | a structure | place, area, home"
",,,",getlex.php?coord=4400104092110&word=2,,,,,,,,,,,,,
"p?l?[T,",getlex.php?coord=4400104092110&word=1,"vb. a/a, a/u G D C Gt Dt",,,,,to escape,(intransitive) to escape,(trans.) to eject,"to free, rescue",,,"vb. a/a, a/u G D C Gt Dt","to escape | (intransitive) to escape | (trans.) to eject | to free, rescue"
h?rythw/y/N,getlex.php?coord=4400104092110&word=0,n.f.,,,,,fetus,fetus,,,,,n.f.,fetus | fetus
w]b?)y$h,getlex.php?coord=4400115083003&word=1,conj. adj.,,,,,"and, also",bad,"bad, evil ( i.e., harmful, debilitating)","bad (i.e., the antithesis of good), not functioning properly",,byš,conj. adj.,"and, also | bad | bad, evil ( i.e., harmful, debilitating) | bad (i.e., the antithesis of good), not functioning properly"
",,,",getlex.php?coord=4400115093004&word=2,,,,,,,,,,,,,
"[,,,]y?N?",getlex.php?coord=4400115093004&word=0,,,,,,,,,,,,,
)kl[yN,getlex.php?coord=4400115083004&word=1,vb. a/u G C Gt Ct,,,,,"to eat, consume",to eat,to consume,to enjoy the usufruct of something,,,vb. a/u G C Gt Ct,"to eat, consume | to eat | to consume | to enjoy the usufruct of something"
"[,,,",getlex.php?coord=4400115083003&word=0,,,,,,,,,,,,,
lxmhw?[N,getlex.php?coord=4400115093004&word=1,n.m.,,,,,"bread, food",bread,"food, meal",,,,n.m.,"bread, food | bread | food, meal"
",,,",getlex.php?coord=4400115083004&word=2,,,,,,,,,,,,,
dy,getlex.php?coord=4400115083004&word=0,,,,,,,,,,,,,
"[,,,,",getlex.php?coord=4400115073003&word=5,,,,,,,,,,,,,
yrq,getlex.php?coord=4400115073003&word=4,n.m.,,,,,vegetation; vegetables,vegetation,vegetables,yellowness (?),,,n.m.,vegetation; vegetables | vegetation | vegetables | yellowness (?)
hw),getlex.php?coord=4400115073003&word=3,vb. G C Gt Ct,,,,,"to be, to become",to be,"to endure, to exist","to come to pass, to happen",,,vb. G C Gt Ct,"to be, to become | to be | to endure, to exist | to come to pass, to happen"
r(yN,getlex.php?coord=4400115073003&word=2,vb. G C Gt,,,,,"to feed, to graze","to feed, to graze",to tend flocks,"metaph.: to govern, to be in charge",,,vb. G C Gt,"to feed, to graze | to feed, to graze | to tend flocks | metaph.: to govern, to be in charge"
