text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
wkny$t,getlex.php?coord=444040723&word=3,,,,,,,,,,,,,
)l.,getlex.php?coord=444040723&word=1,,,,,,,,,,,,,
wlb(yr),getlex.php?coord=444040626&word=2,conj. n.f./m.,,,,,"and, also","animal, beast","collective: animals, beasts",as a singular animal,,"bˁyr, bˁyrˀ",conj. n.f./m.,"and, also | animal, beast | collective: animals, beasts | as a singular animal"
....hwN,getlex.php?coord=444040723&word=2,conj. v.n.,,,,,"and, also",assembling,"v.n. : gathering, assembling",synagogue,,"knyšh, knyštˀ",conj. v.n.,"and, also | assembling | v.n. : gathering, assembling | synagogue"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,]",getlex.php?coord=444040723&word=0,,,,,,,,,,,,,
l(wp),getlex.php?coord=444040626&word=4,n.m.,,,,,"birds, fowl","birds, fowl",(zool.) a single bird,,,,n.m.,"birds, fowl | birds, fowl | (zool.) a single bird"
wlxy?w?t),getlex.php?coord=444040626&word=3,conj. n.f.,,,,,"and, also",animal,animal,pl. zoomorphic angels bearing the divine throne,,"ḥywh, ḥywtˀ",conj. n.f.,"and, also | animal | animal | pl. zoomorphic angels bearing the divine throne"
"w[,,,",getlex.php?coord=444040626&word=5,,,,,,,,,,,,,
"[,,]lK",getlex.php?coord=444040625&word=1,,,,,,,,,,,,,
l)n$),getlex.php?coord=444040626&word=1,n.m.,,,,,"person, someone","person, someone","Man, humanity (usually in the emphatic)","often in the absolute state (i.e., as a pronoun, even in Eastern Aramaic):",,,n.m.,"person, someone | person, someone | Man, humanity (usually in the emphatic) | often in the absolute state (i.e., as a pronoun, even in Eastern Aramaic):"
"[,,,],,,",getlex.php?coord=444040625&word=0,,,,,,,,,,,,,
"$my?)?,,",getlex.php?coord=444040625&word=4,n.m.pl.t.,,,,,heaven; ceiling,heaven,"roof, ceiling",,,,n.m.pl.t.,"heaven; ceiling | heaven | roof, ceiling"
"[,,,",getlex.php?coord=444040625&word=5,,,,,,,,,,,,,
tr(y,getlex.php?coord=444040625&word=3,n.m.,,,,,gate,"gate, doorway","entrance, opening","of ""king"" or ""palace"" : royal court",,,n.m.,"gate | gate, doorway | entrance, opening | of ""king"" or ""palace"" : royal court"
"[,,,],,,",getlex.php?coord=444040626&word=0,,,,,,,,,,,,,
(d,getlex.php?coord=444040625&word=2,prep.,,,,,until,"until, as far as",as conj.:,see s.v.,,,prep.,"until | until, as far as | as conj.: | see s.v."
"[,,,",getlex.php?coord=444042034&word=17,,,,,,,,,,,,,
mN,getlex.php?coord=444042034&word=12,prep.,,,,,from,from,partitive,indicating the agent of a passive,,,prep.,from | from | partitive | indicating the agent of a passive
m?c?r?y?N,getlex.php?coord=444042034&word=14,,,,,,,,,,,,,
lh,getlex.php?coord=444042034&word=10,,,,,,,,,,,,,
b?n?t?,getlex.php?coord=444042034&word=13,n.f.,,,,,daughter,daughter,a small part of something,in compounds: member of the same cohort:,,,n.f.,daughter | daughter | a small part of something | in compounds: member of the same cohort:
whwyt,getlex.php?coord=444042034&word=15,conj. vb. G C Gt Ct,,,,,"and, also","to be, to become",to be,"to endure, to exist",,hwy,conj. vb. G C Gt Ct,"and, also | to be, to become | to be | to endure, to exist"
)nth,getlex.php?coord=444042034&word=11,n.f.,,,,,"woman, wife",woman,wife,,,,n.f.,"woman, wife | woman | wife"
