text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""ywM","Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 0",No data,,,,,,,,,יום,None,No data,
$mlK,"Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 1",No data,,,,,,,,,שמלך,None,No data,
yrb(M,"Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 2",No data,,,,,,,,,ירבעם,None,No data,
(l,"Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 3",No data,,,,,,,,,על,None,No data,
"y$r)l""","Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 4",No data,,,,,,,,,ישראל,None,No data,
)twN,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתון,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
kl,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 1",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
y$',"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 2",PN Personal name,,,,,,,,,יש',y$r)l,proper name Personal name,
lgbyh,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 3",p02 C,,,,,"towards, next to",,,,לגביה,lgby,preposition with pronominal suffix (h)aphel,"towards, next to"
bpty,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 4",noun sg. abs. or construct,p02,,,,evening,"in, with",,,בפתי,b_,noun sg. abs. or construct | preposition with pronominal suffix,"evening | in, with"
rm$),"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 5",noun sg. emphatic,,,,,evening,,,,רמשא,rm$,noun sg. emphatic,evening
)mrw,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרו,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 7",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
qwM,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 8",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קום,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
(bwd,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 9",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבוד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
"""('z""","Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 10",No data,,,,,,,,,ע'ז,None,No data,
)m',"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 11",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lwN,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 12",p02 C,,,,,,,,,לון,l_,preposition with pronominal suffix (h)aphel,
)pty,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 0",noun sg. abs. or construct,,,,,evening,,,,אפתי,)pty,noun sg. abs. or construct,evening
rm$),"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 1",noun sg. emphatic,,,,,evening,,,,רמשא,rm$,noun sg. emphatic,evening
hw),"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 2",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
)$ty,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 3",verb G,,,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,אשתי,$ty,verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco"
wl),"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 4",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
)$ty,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 5",verb G,,,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,אשתי,$ty,verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco"
kl,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 6",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
