text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hyK,"Masekhet: 5330033, Page: 12, Side: d, Line: 39, Word: 0",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how
tnynN,"Masekhet: 5330033, Page: 12, Side: d, Line: 39, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tmN,"Masekhet: 5330033, Page: 12, Side: d, Line: 39, Word: 2",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
"""wblbd","Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 0",No data,,,,,,,,,ובלבד,None,No data,
b$(h,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 1",No data,,,,,,,,,בשעה,None,No data,
$bnh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 2",No data,,,,,,,,,שבנה,None,No data,
"(k$yw""","Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 3",No data,,,,,,,,,עכשיו,None,No data,
d)yN,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 4",c,c,,,,if,,,,דאין,d_ d_ c,conjunction | conjunction,if
hwh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 5",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 6",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify
dkypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 7",p,noun pl. absolute,,,,"rock, stone",,,,דכיפין,kyp,preposition | noun pl. absolute,"rock, stone"
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 8",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify
lh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 9",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
dkypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 10",p,noun pl. absolute,,,,"rock, stone",,,,דכיפין,kyp,preposition | noun pl. absolute,"rock, stone"
brM,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 11",c,,,,,"but, however",,,,ברם,brm,conjunction,"but, however"
hk),"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 12",a01 C,,,,,here,,,,הכא,hkh,a01 (h)aphel,here
hwh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 13",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 0",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify
dkypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 1",p,noun pl. absolute,,,,"rock, stone",,,,דכיפין,kyp,preposition | noun pl. absolute,"rock, stone"
wbntyh,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 2",verb G,c,,,,to build,fig. : to construct a logical argument,to edify,,ובנתיה,w_,verb peal | conjunction,to build | fig. : to construct a logical argument | to edify
blybnyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 3",p02,N,,,,"in, with",brick,,,בליבנין,lybnh lybnh noun pl. absolute,preposition with pronominal suffix | noun,"in, with | brick"
gby,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 4",p01 C,,,,,"at the side of, together with",,,,גבי,gb,preposition independent (h)aphel,"at the side of, together with"
lyh,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 5",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
kypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 6",noun pl. absolute,,,,,"rock, stone",,,,כיפין,kyp,noun pl. absolute,"rock, stone"
wkl,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 7",noun sg. abs. or construct,c,,,,"all, every","and, also",,,וכל,w_,noun sg. abs. or construct | conjunction,"all, every | and, also"
$(h,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 8",noun sg. abs. or construct,,,,,moment of time; hour,,,,שעה,$(h,noun sg. abs. or construct,moment of time; hour
dnpyl,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 9",c,verb G,,,,to fall,"to befall, occur",:,:,דנפיל,npl,conjunction | verb peal,"to fall | to befall, occur | : | :"
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 10",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify
lh,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 11",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
kyny,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 0",a01 C,,,,,"thus, so",,,,כיני,kn,a01 (h)aphel,"thus, so"
)wrx),"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 1",noun sg. emphatic,,,,,"way, road",,,,אורחא,)wrx,noun sg. emphatic,"way, road"
dm)N,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 2",c,P01,,,,who?,,,,דמאן,mn,conjunction | preposition independent,who?
dmtprns,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 3",c,verb quad T,,,,"to supply, to support, to provide",to administer,,,דמתפרנס,prns,conjunction | verb quad T,"to supply, to support, to provide | to administer"
{m}bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 4",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify
lyh,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 5",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
$wr,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 6",noun sg. abs. or construct,,,,,wall,,,,שור,$wr,noun sg. abs. or construct,wall
"""lpsyM","Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 0",No data,,,,,,,,,לפסים,None,No data,
wlzymywt,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 1",No data,,,,,,,,,ולזימיות,None,No data,
$nyM,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 2",No data,,,,,,,,,שנים,None,No data,
($r,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 3",No data,,,,,,,,,עשר,None,No data,
"xd$""","Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 4",No data,,,,,,,,,חדש,None,No data,
wbtr,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 5",p01 C,c,,,,after,"and, also",,,ובתר,w_,preposition independent (h)aphel | conjunction,"after | and, also"
kl,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 6",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
hlyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 7",P01,,,,,these,,,,הלין,hlyn,preposition independent,these
mylyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 58, Word: 8",N,,,,,"word, speech; thing",,,,מילין,mylh mylh noun pl. absolute,noun,"word, speech; thing"
