text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)ymmh,"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 0",noun sg. emphatic,,,,,daytime,,,,איממה,)ymm,noun sg. emphatic,daytime
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 1",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
{w(M}/w(d#01#/,"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 2",p02 C,c,,,,until,"and, also",,,ועד/,w_,preposition with pronominal suffix (h)aphel | conjunction,"until | and, also"
kwkby),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 3",noun pl. emphatic,,,,,star,,,,כוכביא,kwkb,noun pl. emphatic,star
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 4",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
$(h,"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 0",noun sg. abs. or construct,,,,,moment of time; hour,,,,שעה,$(h,noun sg. abs. or construct,moment of time; hour
wtrty,"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 1",b,c,,,,two,"and, also",,,ותרתי,w_,b | conjunction,"two | and, also"
lyly),"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 2",noun sg. emphatic,,,,,night,,,,ליליא,lyly,noun sg. emphatic,night
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 3",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
)m',"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
"""typtr""","Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 3",No data,,,,,,,,,תיפתר,None,No data,
b)ylyN,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 4",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
kwprny),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 5",noun pl. emphatic,,,,,village; tomb,,,,כופרניא,kpr,noun pl. emphatic,village; tomb
dqyqyy),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 6",A05,,,,,crushed; fine,,,,דקיקייא,dqyq,adjective plural determined,crushed; fine
d)wrxyhwN,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 7",noun sg. emphatic,p,,,,"way, road",,,,דאורחיהון,d_ d_ p,noun sg. emphatic | preposition,"way, road"
mstlq),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 8",verb Dt,,,,,to rise into the sky,"to go away, to withdraw, to depart",,,מסתלקא,slq,verb ethpaal,"to rise into the sky | to go away, to withdraw, to depart"
(d,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 0",c,,,,,until,,,,עד,(d,conjunction,until
dhw),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 1",c,P01 C,,,,he,,,,דהוא,hw),conjunction | preposition independent (h)aphel,he
)ymm),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 2",noun sg. emphatic,,,,,daytime,,,,איממא,)ymm,noun sg. emphatic,daytime
dcdy,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 3",verb G,c,,,,+,: to be afraid of something,,,דצדי,d_ d_ c,verb peal | conjunction,+ | : to be afraid of something
lwN,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 4",p02,,,,,,,,,לון,l_,preposition with pronominal suffix,
mqmy,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 5",p01 C,,,,,before,,,,מקמי,mn@qwmy,preposition independent (h)aphel,before
xywt),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 6",N,,,,,animal,,,,חיותא,xywwh xywwh noun sg. emphatic,noun,animal
ny$m(ynh,"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,נישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 2",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
qdmy),"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 0",A02 C,,,,,first,,,,קדמיא,qdmy,adjective singular determined (h)aphel,first
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 1",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
mtx$b,"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 2",verb Gt,,,,,to be counted,"to be considered, reckoned to be",,,מתחשב,x$b,verb ethpeel,"to be counted | to be considered, reckoned to be"
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
byr',"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 2",noun sg. abs. or construct,,,,,important person,,,,ביר',byrby,noun sg. abs. or construct,important person
bwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 3",PN Personal name,,,,,,,,,בון,bwN,proper name Personal name,
b(y,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 4",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
dtymr,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 1",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דתימר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
b)ylyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 2",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
dlyt,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 0",c,verb G,,,,,,,,דלית,lyt,conjunction | verb peal,
)wrxthwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 1",noun pl. emphatic,,,,,"way, road",,,,אורחתהון,)wrx,noun pl. emphatic,"way, road"
mtxmyy),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 2",verb Gt,,,,,"to be seen, to appear","to see each other, meet",,,מתחמייא,xmy,verb ethpeel,"to be seen, to appear | to see each other, meet"
bymm),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 3",noun sg. emphatic,p02,,,,daytime,"in, with",,,ביממא,b_,noun sg. emphatic | preposition with pronominal suffix,"daytime | in, with"
brM,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 4",c,,,,,"but, however",,,,ברם,brm,conjunction,"but, however"
b)ylyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 5",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
d)wrxhwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 6",noun sg. emphatic,p,,,,"way, road",,,,דאורחהון,d_ d_ p,noun sg. emphatic | preposition,"way, road"
mtxmy),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 7",verb Gt,,,,,"to be seen, to appear","to see each other, meet",,,מתחמיא,xmy,verb ethpeel,"to be seen, to appear | to see each other, meet"
bymm),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 8",noun sg. emphatic,p02,,,,daytime,"in, with",,,ביממא,b_,noun sg. emphatic | preposition with pronominal suffix,"daytime | in, with"
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 9",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
m$(ryN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 0",verb D,,,,,to estimate,to calculate,,,משערין,$(r,verb pael,to estimate | to calculate
