text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
typtr,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 0",verb Gt,,,,,to be explained,,,,תיפתר,ptr,verb ethpeel,to be explained
b)ylyN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 1",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
dnpqyN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 2",c,verb G,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",דנפקין,npq,conjunction | verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
wknpyhwN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 3",noun pl. emphatic,c,,,,wing,"and, also",,,וכנפיהון,w_,noun pl. emphatic | conjunction,"wing | and, also"
(lyhwN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 4",p02 C,,,,,upon; against; to,,,,עליהון,(l,preposition with pronominal suffix (h)aphel,upon; against; to
l$M{^wN,"Masekhet: 5330019, Page: 60, Side: a, Line: 39, Word: 0",p01,,,,,for the sake of,,,,לשם{ון,l$m,preposition independent,for the sake of
mtnyt),"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתא,mtny,noun sg. emphatic,tannaitic tradition
msyy(h,"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 1",V,,,,,,,,,מסייעה,syy( syy( verb D,V,
lr',"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
xyy),"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 3",PN Personal name,,,,,,,,,חייא,xyy),proper name Personal name,
br,"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 4",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
b),"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 5",PN Personal name,,,,,,,,,בא,b),proper name Personal name,
w)pylw,"Masekhet: 5330019, Page: 60, Side: a, Line: 42, Word: 0",c,c,,,,"even if , even","and, also",,,ואפילו,w_,conjunction | conjunction,"even if , even | and, also"
dysbrwN,"Masekhet: 5330019, Page: 60, Side: a, Line: 42, Word: 1",c,verb G,,,,to have thoughts,idioms:,,,דיסברון,sbr,conjunction | verb peal,to have thoughts | idioms:
byt,"Masekhet: 5330019, Page: 60, Side: a, Line: 42, Word: 2",noun sg. abs. or construct,,,,,house; structure; place,,,,בית,by,noun sg. abs. or construct,house; structure; place
