text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
xyylyh,"Masekhet: 5330011, Page: 63, Side: c, Line: 58, Word: 0",noun sg. emphatic,,,,,army; force,,,,חייליה,xyl,noun sg. emphatic,army; force
dr',"Masekhet: 5330011, Page: 63, Side: c, Line: 58, Word: 1",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ywnh,"Masekhet: 5330011, Page: 63, Side: c, Line: 59, Word: 0",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
mN,"Masekhet: 5330011, Page: 63, Side: c, Line: 59, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330011, Page: 63, Side: c, Line: 59, Word: 2",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
myltyh,"Masekhet: 5330011, Page: 63, Side: c, Line: 61, Word: 0",N,,,,,"word, speech; thing",,,,מילתיה,mylh mylh noun sg. emphatic,noun,"word, speech; thing"
dr',"Masekhet: 5330011, Page: 63, Side: c, Line: 61, Word: 1",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ywxnN,"Masekhet: 5330011, Page: 63, Side: c, Line: 61, Word: 2",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
msyy(,"Masekhet: 5330011, Page: 63, Side: c, Line: 61, Word: 3",V,,,,,,,,,מסייע,syy( syy( verb D,V,
l)b),"Masekhet: 5330011, Page: 63, Side: c, Line: 61, Word: 4",noun sg. emphatic,p03,,,,father,,,,לאבא,l_,noun sg. emphatic | preposition proclitic,father
rbnyN,"Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 0",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher
p$yT',"Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 1",A,,,,,simple,,,,פשיט',p$yT p$yT noun sg. abs. or construct,adjective,simple
lwN,"Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 2",p02,,,,,,,,,לון,l_,preposition with pronominal suffix,
"""$mkr","Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 3",No data,,,,,,,,,שמכר,None,No data,
(d,"Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 4",No data,,,,,,,,,עד,None,No data,
"thwM""","Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 5",No data,,,,,,,,,תהום,None,No data,
mh,"Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 6",P01,,,,,what?,,,,מה,mh,preposition independent,what?
plygyN,"Masekhet: 5330011, Page: 63, Side: d, Line: 07, Word: 7",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגין,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
mysbr,"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 0",verb G,,,,,to have thoughts,idioms:,,,מיסבר,sbr,verb peal,to have thoughts | idioms:
sbr,"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 1",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
r',"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
$mw)l,"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 3",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,
br,"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 4",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
rb,"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 5",noun sg. abs. or construct,,,,,chief; teacher,,,,רב,rb,noun sg. abs. or construct,chief; teacher
ycxq,"Masekhet: 5330011, Page: 63, Side: d, Line: 15, Word: 6",PN Personal name,,,,,,,,,יצחק,ycxq,proper name Personal name,
)l),"Masekhet: 5330011, Page: 63, Side: d, Line: 18, Word: 0",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
cryk),"Masekhet: 5330011, Page: 63, Side: d, Line: 18, Word: 1",A01,,,,,poor; needy,,,,צריכא,cryk,adjective singular absolute or construct,poor; needy
lrbnyN,"Masekhet: 5330011, Page: 63, Side: d, Line: 18, Word: 2",p03,noun pl. emphatic,,,,chief; teacher,,,,לרבנין,rb,preposition proclitic | noun pl. emphatic,chief; teacher
sbryN,"Masekhet: 5330011, Page: 63, Side: d, Line: 26, Word: 0",verb G,,,,,to have thoughts,idioms:,,,סברין,sbr,verb peal,to have thoughts | idioms:
)mryN,"Masekhet: 5330011, Page: 63, Side: d, Line: 26, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
ny$m(ynh,"Masekhet: 5330011, Page: 63, Side: d, Line: 26, Word: 2",verb G,,,,,to hear (w. d.o. or,) something,to listen,,נישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330011, Page: 63, Side: d, Line: 26, Word: 3",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330011, Page: 63, Side: d, Line: 26, Word: 4",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
klwM,"Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 0",P01,,,,,something,,,,כלום,klwm,preposition independent,something
crykh,"Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 1",A01,,,,,poor; needy,,,,צריכה,cryk,adjective singular absolute or construct,poor; needy
"""<)>l)","Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 2",No data,,,,,,,,,אלא,None,No data,
bgzylh,"Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 3",No data,,,,,,,,,בגזילה,None,No data,
$<l)>`ntyy)$w,"Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 4",No data,,,,,,,,,שלא נתייאשו,None,No data,
hb(lyM,"Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 5",No data,,,,,,,,,הבעלים,None,No data,
"mmnh""","Masekhet: 5330011, Page: 63, Side: d, Line: 27, Word: 6",No data,,,,,,,,,ממנה,None,No data,
(d kdwN,"Masekhet: 5330011, Page: 63, Side: d, Line: 33, Word: 0",X,,,,,now; enough,,,,עד כדון,(d@kdwn (d@kdwn a01,X,now; enough
)nN,"Masekhet: 5330011, Page: 63, Side: d, Line: 33, Word: 1",P02 C,,,,,we,,,,אנן,)nn,preposition with pronominal suffix (h)aphel,we
qyymyN,"Masekhet: 5330011, Page: 63, Side: d, Line: 33, Word: 2",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קיימין,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
