text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""n$b(","Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 0",No data,,,,,,,,,נשבע,None,No data,
"wnwTl""","Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 1",No data,,,,,,,,,ונוטל,None,No data,
)wP,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 2",c,,,,,"also, even",,,,אוף,)wp )wp c,conjunction,"also, even"
hd),"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 3",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
dmyy),"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 4",verb G,,,,,to be like,ptcp. :,,,דמייא,dmy,verb peal,to be like | ptcp. :
lh,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 5",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
rbh,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 6",PN Personal name,,,,,,,,,רבה,rbh,proper name Personal name,
br,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 7",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
mml,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 8",PN Personal name,,,,,,,,,ממל,mml,proper name Personal name,
wrb,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 9",noun sg. abs. or construct,c,,,,chief; teacher,"and, also",,,ורב,w_,noun sg. abs. or construct | conjunction,"chief; teacher | and, also"
(mrM,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 10",PN Personal name,,,,,,,,,עמרם,(mrM,proper name Personal name,
slyqw,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 11",verb G,,,,,to go up,to result,to travel,idioms:,סליקו,slq,verb peal,to go up | to result | to travel | idioms:
hN,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 12",X,,,,,"where, wherever",,,,הן,hn hn a01 C,X,"where, wherever"
drb,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 13",p,noun sg. abs. or construct,,,,chief; teacher,,,,דרב,rb,preposition | noun sg. abs. or construct,chief; teacher
"""bynyy""","Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 14",No data,,,,,,,,,ביניי,None,No data,
)yN,"Masekhet: 5330032, Page: 07, Side: d, Line: 37, Word: 0",c,,,,,if,,,,אין,)yn )yn c,conjunction,if
$m(t{w}<y>nyh,"Masekhet: 5330032, Page: 07, Side: d, Line: 37, Word: 1",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמעתיניה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
)tyyt,"Masekhet: 5330032, Page: 07, Side: d, Line: 37, Word: 2",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתיית,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
kr',"Masekhet: 5330032, Page: 07, Side: d, Line: 37, Word: 3",p02,N,,,,like,chief; teacher,,,כר',rby#2 rby#2 noun sg. abs. or construct,preposition with pronominal suffix | noun,like | chief; teacher
$m(wN,"Masekhet: 5330032, Page: 07, Side: d, Line: 37, Word: 4",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
hd),"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 0",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
hyl',"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 1",noun sg. emphatic,,,,,accepted legal decision; custom,,,,היל',hlkh,noun sg. emphatic,accepted legal decision; custom
lyt,"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 2",verb G,,,,,,,,,לית,lyt,verb peal,
$m(,"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 3",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mynh,"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 4",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from
klwM,"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 5",P01,,,,,something,,,,כלום,klwm,preposition independent,something
l),"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 6",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
mr)$h,"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 7",p03,N,,,,from,head; top; chief,,,מראשה,r)$ r)$ noun sg. abs. or construct,preposition proclitic | noun,from | head; top; chief
wl),"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 8",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
mswph,"Masekhet: 5330032, Page: 07, Side: d, Line: 46, Word: 9",p03,noun sg. emphatic,,,,from,end,,,מסופה,swp,preposition proclitic | noun sg. emphatic,from | end
hwy,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
lyt,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 1",verb G,,,,,,,,,לית,lyt,verb peal,
$m(,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 2",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mynh,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 3",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from
klwM,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 4",P01,,,,,something,,,,כלום,klwm,preposition independent,something
l),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
mry$),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 1",p03,N,,,,from,head; top; chief,,,מרישא,r)$ r)$ noun sg. abs. or construct,preposition proclitic | noun,from | head; top; chief
wl),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 2",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
msyp),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 3",p03,noun sg. emphatic,,,,from,end,,,מסיפא,swp,preposition proclitic | noun sg. emphatic,from | end
mtnyt',"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition
plyg',"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 1",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליג',plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
(l,"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 2",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
ry$ lqy$,"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 3",PN Personal name,,,,,,,,,ריש לקיש,ry$@lqy$,proper name Personal name,
(wd,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 0",a01 C,,,,,still; again,,,,עוד,(wd,a01 (h)aphel,still; again
hy),"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
"""b$l)","Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 2",No data,,,,,,,,,בשלא,None,No data,
)mr,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 3",No data,,,,,,,,,אמר,None,No data,
yzkw,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 4",No data,,,,,,,,,יזכו,None,No data,
ly,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 5",No data,,,,,,,,,לי,None,No data,
bd',"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 6",No data,,,,,,,,,בד',None,No data,
)mwt,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 7",No data,,,,,,,,,אמות,None,No data,
"$ly""","Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 8",No data,,,,,,,,,שלי,None,No data,
(wd,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 0",a01 C,,,,,still; again,,,,עוד,(wd,a01 (h)aphel,still; again
hy),"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
"""b$l)","Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 2",No data,,,,,,,,,בשלא,None,No data,
)mr,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 3",No data,,,,,,,,,אמר,None,No data,
yzkw,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 4",No data,,,,,,,,,יזכו,None,No data,
ly,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 5",No data,,,,,,,,,לי,None,No data,
bd',"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 6",No data,,,,,,,,,בד',None,No data,
)mwt,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 7",No data,,,,,,,,,אמות,None,No data,
"$ly""","Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 8",No data,,,,,,,,,שלי,None,No data,
whyky,"Masekhet: 5330032, Page: 07, Side: d, Line: 59, Word: 1",a01 C,c,,,,how,"and, also",,,והיכי,w_,a01 (h)aphel | conjunction,"how | and, also"
khd),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 0",P01 C,p02,,,,this (f.),like,,,כהדא,k_,preposition independent (h)aphel | preposition with pronominal suffix,this (f.) | like
)rysyh,"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 1",noun sg. emphatic,,,,,tenant farmer,,,,אריסיה,)rys,noun sg. emphatic,tenant farmer
dr',"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 2",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
b),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 3",PN Personal name,,,,,,,,,בא,b),proper name Personal name,
br,"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 4",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
myn),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 5",PN Personal name,,,,,,,,,מינא,myn),proper name Personal name,
slyq,"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 6",verb G,,,,,to go up,to result,to travel,idioms:,סליק,slq,verb peal,to go up | to result | to travel | idioms:
ldyql),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 7",noun sg. emphatic,p03,,,,date-palm,,,,לדיקלא,l_,noun sg. emphatic | preposition proclitic,date-palm
)$kx,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
gwzlyN,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 1",noun pl. absolute,,,,,young bird,,,,גוזלין,gwzl,noun pl. absolute,young bird
wnstwN,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 2",verb G,c,,,,"to lift up, pick up","to take, take away",,,ונסתון,w_,verb peal | conjunction,"to lift up, pick up | to take, take away"
)zl,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 3",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
$)yl,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 4",verb G,,,,,to ask,to ask for something,,,שאיל,$)l,verb peal,to ask | to ask for something
lrb,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 5",p03,PN Personal name,,,,,,,,לרב,rb,preposition proclitic | proper name Personal name,
l),"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 6",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)m',"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 8",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
klwM,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 9",P01,,,,,something,,,,כלום,klwm,preposition independent,something
)zl,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 10",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
xzr,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 11",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
)m',"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 12",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
b),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 1",PN Personal name,,,,,,,,,בא,b),proper name Personal name,
br,"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 2",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
myn),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 3",PN Personal name,,,,,,,,,מינא,myn),proper name Personal name,
q$yy),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 4",A01 C,,,,,hard,,,,קשייא,q$y,adjective singular absolute or construct (h)aphel,hard
lN,"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 5",p02 C,,,,,,,,,לן,l_,preposition with pronominal suffix (h)aphel,
hwyt),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 6",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הויתא,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
xzr,"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 7",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
