text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)nN,"Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 0",P02 C,,,,,we,,,,אנן,)nn,preposition with pronominal suffix (h)aphel,we
tnynN,"Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")rb(h","Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 2",No data,,,,,,,,,ארבעה,None,No data,
)bwt,"Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 3",No data,,,,,,,,,אבות,None,No data,
"nzyqyN""","Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 4",No data,,,,,,,,,נזיקין,None,No data,
wtny,"Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 0",verb G,c,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותני,w_,verb peal | conjunction,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""r'","Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 1",No data,,,,,,,,,ר',None,No data,
xyyh,"Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 2",No data,,,,,,,,,חייה,None,No data,
$l$',"Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 3",No data,,,,,,,,,שלש',None,No data,
"($r""","Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 4",No data,,,,,,,,,עשר,None,No data,
r',"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
xgyy,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 1",PN Personal name,,,,,,,,,חגיי,xgyy,proper name Personal name,
$)l,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 2",verb G,,,,,to ask,to ask for something,,,שאל,$)l,verb peal,to ask | to ask for something
hyK,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 3",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how
tnynN,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 4",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")rb(h","Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 5",No data,,,,,,,,,ארבעה,None,No data,
)bwt,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 6",No data,,,,,,,,,אבות,None,No data,
nzyqyN,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 7",No data,,,,,,,,,נזיקין,None,No data,
)M,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 8",No data,,,,,,,,,אם,None,No data,
"hkl""","Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 9",No data,,,,,,,,,הכל,None,No data,
""")mwr","Masekhet: 5330031, Page: 02, Side: a, Line: 29, Word: 0",No data,,,,,,,,,אמור,None,No data,
b$wr,"Masekhet: 5330031, Page: 02, Side: a, Line: 29, Word: 1",No data,,,,,,,,,בשור,None,No data,
")xd""","Masekhet: 5330031, Page: 02, Side: a, Line: 29, Word: 2",No data,,,,,,,,,אחד,None,No data,
nytny,"Masekhet: 5330031, Page: 02, Side: a, Line: 29, Word: 3",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ניתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
