text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
l),"Masekhet: 5330003, Page: 21, Side: c, Line: 34, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
x$yb,"Masekhet: 5330003, Page: 21, Side: c, Line: 34, Word: 1",verb G,,,,,"to think a thought about, take into account",to regard as after due thought,to calculate,,חשיב,x$b,verb peal,"to think a thought about, take into account | to regard as after due thought | to calculate"
)l),"Masekhet: 5330003, Page: 21, Side: c, Line: 34, Word: 2",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
"""dmyy""","Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 0",No data,,,,,,,,,דמיי,None,No data,
whk),"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 1",a01 C,c,,,,here,"and, also",,,והכא,w_,a01 (h)aphel | conjunction,"here | and, also"
l),"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 2",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)tynN,"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתינן,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
)l),"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 4",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
"""wd)y""","Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 5",No data,,,,,,,,,ודאי,None,No data,
mtnyt',"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 6",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition
msyy(),"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 7",V,,,,,,,,,מסייעא,syy( syy( verb D,V,
lr',"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 8",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
ywxnN,"Masekhet: 5330003, Page: 21, Side: c, Line: 35, Word: 9",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
$nyy),"Masekhet: 5330003, Page: 21, Side: c, Line: 36, Word: 0",verb G,,,,,to be different,to go away,,,שנייא,$ny,verb peal,to be different | to go away
hw),"Masekhet: 5330003, Page: 21, Side: c, Line: 36, Word: 1",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
"""mgzyb""","Masekhet: 5330003, Page: 21, Side: c, Line: 36, Word: 2",No data,,,,,,,,,מגזיב,None,No data,
lhlN,"Masekhet: 5330003, Page: 21, Side: c, Line: 36, Word: 3",a01 C,,,,,"far off, further on",,,,להלן,lhl,a01 (h)aphel,"far off, further on"
