text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
w{m}q$ynN#14#,"Masekhet: 5330013, Page: 18, Side: b, Line: 39, Word: 0",verb D,c,,,,to harden,to treat hard,to do with great difficulty,to make heavy,וקשינן,w_,verb pael | conjunction,to harden | to treat hard | to do with great difficulty | to make heavy
(lyh,"Masekhet: 5330013, Page: 18, Side: b, Line: 39, Word: 1",p02 C,,,,,upon; against; to,,,,עליה,(l,preposition with pronominal suffix (h)aphel,upon; against; to
wq$ynN,"Masekhet: 5330013, Page: 18, Side: b, Line: 41, Word: 0",verb D,c,,,,to harden,to treat hard,to do with great difficulty,to make heavy,וקשינן,w_,verb pael | conjunction,to harden | to treat hard | to do with great difficulty | to make heavy
(lh,"Masekhet: 5330013, Page: 18, Side: b, Line: 41, Word: 1",p02 C,,,,,upon; against; to,,,,עלה,(l,preposition with pronominal suffix (h)aphel,upon; against; to
sbr,"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 0",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
khn),"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 1",PN Personal name,,,,,,,,,כהנא,khn),proper name Personal name,
khd),"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 2",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
d$mw)l,"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 3",PN Personal name,p,,,,,,,,דשמואל,d_ d_ p,proper name Personal name | preposition,
lpwM,"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 4",p,,,,,in proportion to,,,,לפום,lpm lpm p01 C,preposition,in proportion to
kN,"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 5",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
cryK,"Masekhet: 5330013, Page: 18, Side: b, Line: 48, Word: 6",A01 C,,,,,poor; needy,,,,צריך,cryk,adjective singular absolute or construct (h)aphel,poor; needy
