text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
tnynN,"Masekhet: 5330028, Page: 43, Side: a, Line: 51, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
dbtrh,"Masekhet: 5330028, Page: 43, Side: a, Line: 51, Word: 1",p02 C,c,,,,after,,,,דבתרה,d_ d_ c,preposition with pronominal suffix (h)aphel | conjunction,after
mh,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
)t,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 1",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.)
(bd,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 2",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
lh,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 3",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
"""bgT","Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 4",No data,,,,,,,,,בגט,None,No data,
hw),"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 5",No data,,,,,,,,,הוא,None,No data,
w(rrw,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 6",No data,,,,,,,,,ועררו,None,No data,
bTl,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 7",No data,,,,,,,,,בטל,None,No data,
)w,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 8",No data,,,,,,,,,או,None,No data,
"bmtnh""","Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 9",No data,,,,,,,,,במתנה,None,No data,
"""hw)","Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 0",No data,,,,,,,,,הוא,None,No data,
w(rrw,"Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 1",No data,,,,,,,,,ועררו,None,No data,
"qyyM""","Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 2",No data,,,,,,,,,קיים,None,No data,
wyyb),"Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 3",c,V,,,,"and, also",it (f.) is,,,וייבא,yybh yybh I01,conjunction | V,"and, also | it (f.) is"
khd),"Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 4",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
r',"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
mn),"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 1",PN Personal name,,,,,,,,,מנא,mn),proper name Personal name,
l),"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 2",a01,,,,,"no, not",,,,לא,l),a01,"no, not"
mpr$,"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 3",verb D,,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפרש,pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
r',"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)byN,"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 5",PN Personal name,,,,,,,,,אבין,)byN,proper name Personal name,
mpr$,"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 6",verb D,,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפרש,pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
nymr,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,נימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
mh,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 1",c,,,,,what,,,,מה,mh,conjunction,what
d$)yl,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 2",verb G,c,,,,to ask,to ask for something,,,דשאיל,d_ d_ c,verb peal | conjunction,to ask | to ask for something
)mwr),"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 3",noun sg. emphatic,,,,,speaker; Amora,,,,אמורא,)mwr,noun sg. emphatic,speaker; Amora
)m',"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 5",p01,,,,,,,,,ליה,l_,preposition independent,
wyyd),"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 6",P01,c,,,,which one (f.),"and, also",,,ויידא,w_,preposition independent | conjunction,"which one (f.) | and, also"
{d})m',"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
<d)>,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 8",R,,,,,this (f.),,,,דא,dh dh P01,R,this (f.)
rb,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 0",noun sg. abs. or construct,,,,,chief; teacher,,,,רב,rb,noun sg. abs. or construct,chief; teacher
xsd),"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 1",PN Personal name,,,,,,,,,חסדא,xsd),proper name Personal name,
)yyty,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 2",verb C,,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,אייתי,)ty,verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
gyT),"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 3",noun sg. emphatic,,,,,writ of divorce,,,,גיטא,gT,noun sg. emphatic,writ of divorce
"""wntnw","Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 4",No data,,,,,,,,,ונתנו,None,No data,
lh,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 5",No data,,,,,,,,,לה,None,No data,
wl),"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 6",No data,,,,,,,,,ולא,None,No data,
)m',"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 7",No data,,,,,,,,,אמ',None,No data,
lh,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 8",No data,,,,,,,,,לה,None,No data,
bpny,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 9",No data,,,,,,,,,בפני,None,No data,
nktb,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 10",No data,,,,,,,,,נכתב,None,No data,
wbpny,"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 11",No data,,,,,,,,,ובפני,None,No data,
"nxtM""","Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 12",No data,,,,,,,,,נחתם,None,No data,
)t),"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 13",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
(wbd),"Masekhet: 5330028, Page: 43, Side: b, Line: 12, Word: 14",noun sg. emphatic,,,,,"act, deed",,,,עובדא,(wbd,noun sg. emphatic,"act, deed"
qwmy,"Masekhet: 5330028, Page: 43, Side: b, Line: 13, Word: 0",p01,,,,,before,,,,קומי,qwmy,preposition independent,before
r',"Masekhet: 5330028, Page: 43, Side: b, Line: 13, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330028, Page: 43, Side: b, Line: 13, Word: 2",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
dr',"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 0",c,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,conjunction | noun,chief; teacher
ywxnN,"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 1",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
{yy}<rw>b),"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 2",A02,,,,,"great, big",,,,רובא,rb,adjective singular determined,"great, big"
mN,"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 3",p03,,,,,from,,,,מן,mn,preposition proclitic,from
r',"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
$m(wN,"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 5",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
"""bN""","Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 6",No data,,,,,,,,,בן,None,No data,
)l(zr,"Masekhet: 5330028, Page: 43, Side: b, Line: 15, Word: 7",PN Personal name,,,,,,,,,אלעזר,)l(zr,proper name Personal name,
mysbwr,"Masekhet: 5330028, Page: 43, Side: b, Line: 18, Word: 0",verb G,,,,,to have thoughts,idioms:,,,מיסבור,sbr,verb peal,to have thoughts | idioms:
sbr,"Masekhet: 5330028, Page: 43, Side: b, Line: 18, Word: 1",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
r',"Masekhet: 5330028, Page: 43, Side: b, Line: 18, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330028, Page: 43, Side: b, Line: 18, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
)t),"Masekhet: 5330028, Page: 43, Side: b, Line: 20, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
(wbd),"Masekhet: 5330028, Page: 43, Side: b, Line: 20, Word: 1",noun sg. emphatic,,,,,"act, deed",,,,עובדא,(wbd,noun sg. emphatic,"act, deed"
qwmy,"Masekhet: 5330028, Page: 43, Side: b, Line: 20, Word: 2",p01,,,,,before,,,,קומי,qwmy,preposition independent,before
r',"Masekhet: 5330028, Page: 43, Side: b, Line: 20, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
yhw$(,"Masekhet: 5330028, Page: 43, Side: b, Line: 20, Word: 4",PN Personal name,,,,,,,,,יהושע,yhw$(,proper name Personal name,
"""bN""","Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 0",No data,,,,,,,,,בן,None,No data,
lwy,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 1",PN Personal name,,,,,,,,,לוי,lwy,proper name Personal name,
^)m',"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 3",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
lyt,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 4",verb G,,,,,,,,,לית,lyt,verb peal,
cryK,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 5",A01 C,,,,,poor; needy,,,,צריך,cryk,adjective singular absolute or construct (h)aphel,poor; needy
mxlph,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 6",verb C,,,,,to exchange,to sprout forth again,to make pass over or by,,מחלפה,xlp,verb (h)aphel,to exchange | to sprout forth again | to make pass over or by
$yTtyh,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 7",noun sg. emphatic,,,,,branch; row; method,,,,שיטתיה,$yTh#2,noun sg. emphatic,branch; row; method
dr',"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 8",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
yhw$),"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 9",PN Personal name,,,,,,,,,יהושא,yhw$),proper name Personal name,
"""bN""","Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 10",No data,,,,,,,,,בן,None,No data,
lwy,"Masekhet: 5330028, Page: 43, Side: b, Line: 21, Word: 11",PN Personal name,,,,,,,,,לוי,lwy,proper name Personal name,
