text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hd),"Masekhet: 5330022, Page: 75, Side: d, Line: 57, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
)mrh,"Masekhet: 5330022, Page: 75, Side: d, Line: 57, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
dlyt,"Masekhet: 5330022, Page: 75, Side: d, Line: 57, Word: 2",c,verb G,,,,,,,,דלית,lyt,conjunction | verb peal,
kllwy,"Masekhet: 5330022, Page: 75, Side: d, Line: 58, Word: 0",noun pl. emphatic,,,,,general rule,,,,כללוי,kll,noun pl. emphatic,general rule
dr',"Masekhet: 5330022, Page: 75, Side: d, Line: 58, Word: 1",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
kllyN,"Masekhet: 5330022, Page: 75, Side: d, Line: 58, Word: 2",noun pl. absolute,,,,,general rule,,,,כללין,kll,noun pl. absolute,general rule
wd),"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 0",R,c,,,,this (f.),"and, also",,,ודא,w_,R | conjunction,"this (f.) | and, also"
msyy(h,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 1",V,,,,,,,,,מסייעה,syy( syy( verb D,V,
lr',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
ywnh,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 3",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
dr',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 4",c,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,conjunction | noun,chief; teacher
ywnh,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 5",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
)m',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hd),"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 7",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
)mrh,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyt,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 9",verb G,,,,,,,,,לית,lyt,verb peal,
kllwy,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 10",noun pl. emphatic,,,,,general rule,,,,כללוי,kll,noun pl. emphatic,general rule
dr',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 11",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
kllyN,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 12",noun pl. absolute,,,,,general rule,,,,כללין,kll,noun pl. absolute,general rule
)yt),"Masekhet: 5330022, Page: 76, Side: a, Line: 10, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,איתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
xmy,"Masekhet: 5330022, Page: 76, Side: a, Line: 10, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמי,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
ycyb),"Masekhet: 5330022, Page: 76, Side: a, Line: 10, Word: 2",noun sg. emphatic,,,,,citizen,,,,יציבא,ycyb,noun sg. emphatic,citizen
{{b$myy)}}{^b)r()^},"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 0",N,p02,,,,heaven; ceiling,"in, with",,,בשמייא,b_,noun | preposition with pronominal suffix,"heaven; ceiling | in, with"
wgywr),"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 1",A02 C,c,,,,"foreign, alien","and, also",,,וגיורא,w_,adjective singular determined (h)aphel | conjunction,"foreign, alien | and, also"
b$my,"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 2",N,p02,,,,heaven; ceiling,"in, with",,,בשמי,b_,noun | preposition with pronominal suffix,"heaven; ceiling | in, with"
$myy),"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 3",N,,,,,heaven; ceiling,,,,שמייא,$myyn $myyn noun pl. emphatic,noun,heaven; ceiling
hwy,"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
cwrkh,"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 1",N,,,,,need,,,,צורכה,cwrk cwrk noun sg. emphatic,noun,need
lhhy),"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 2",P01 C,p03,,,,that one (f.),,,,לההיא,l_,preposition independent (h)aphel | preposition proclitic,that one (f.)
d)m',"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דאמ',d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsh,"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 5",PN Personal name,,,,,,,,,יוסה,ywsh,proper name Personal name,
mh,"Masekhet: 5330022, Page: 76, Side: a, Line: 20, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
npq,"Masekhet: 5330022, Page: 76, Side: a, Line: 20, Word: 1",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפק,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
mN bynyhwN,"Masekhet: 5330022, Page: 76, Side: a, Line: 20, Word: 2",p02 C,,,,,from between,,,,מן ביניהון,mn@byny,preposition with pronominal suffix (h)aphel,from between
wlyt,"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 0",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,
br n$,"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 1",N,,,,,"human, person",,,,בר נש,brn$ brn$ noun sg. abs. or construct,noun,"human, person"
)mr,"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
""")P""","Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 3",No data,,,,,,,,,אף,None,No data,
)l),"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 4",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
dhw),"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 5",c,P01 C,,,,he,,,,דהוא,hw),conjunction | preposition independent (h)aphel,he
mwdy,"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 6",verb C,,,,,to praise,to confess,"to consent, acknowledge",,מודי,ydy,verb (h)aphel,"to praise | to confess | to consent, acknowledge"
(l,"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 7",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
qdmyyt),"Masekhet: 5330022, Page: 76, Side: a, Line: 27, Word: 8",A02 C,,,,,first,,,,קדמייתא,qdmy,adjective singular determined (h)aphel,first
wq$y),"Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 0",A01,c,,,,hard,"and, also",,,וקשיא,w_,adjective singular absolute or construct | conjunction,"hard | and, also"
mN,"Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
dw,"Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 2",c,P01 C,,,,he,,,,דו,hw),conjunction | preposition independent (h)aphel,he
smK,"Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 3",verb G,,,,,"to prop up, to support","to lean on, recline on (often in the context of eating)","to rely on, to be sure","to touch, be adjacent to",סמך,smk,verb peal,"to prop up, to support | to lean on, recline on (often in the context of eating) | to rely on, to be sure | to touch, be adjacent to"
lh,"Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 4",p01,,,,,,,,,לה,l_,preposition independent,
"""ldbr","Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 5",No data,,,,,,,,,לדבר,None,No data,
"twrh""","Masekhet: 5330022, Page: 76, Side: b, Line: 24, Word: 6",No data,,,,,,,,,תורה,None,No data,
)mryN,"Masekhet: 5330022, Page: 76, Side: b, Line: 30, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
xzr,"Masekhet: 5330022, Page: 76, Side: b, Line: 30, Word: 1",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
byh,"Masekhet: 5330022, Page: 76, Side: b, Line: 30, Word: 2",p02 C,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix (h)aphel,"in, with"
r',"Masekhet: 5330022, Page: 76, Side: b, Line: 30, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330022, Page: 76, Side: b, Line: 30, Word: 4",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
mN,"Masekhet: 5330022, Page: 76, Side: b, Line: 30, Word: 5",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330022, Page: 76, Side: b, Line: 31, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
r',"Masekhet: 5330022, Page: 76, Side: b, Line: 31, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywnh,"Masekhet: 5330022, Page: 76, Side: b, Line: 31, Word: 2",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
