text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)zlyt,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 0",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזלית,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
lqysryN,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 1",p03,GN Geographic name,,,,,,,,לקיסרין,qysryN,preposition proclitic | geographical name Geographic name,
w$m(yt,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 2",verb G,c,,,,to hear (w. d.o. or,) something,to listen,,ושמעית,w_,verb peal | conjunction,to hear (w. d.o. or | ) something | to listen
r',"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)xwwh,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 4",PN Personal name,,,,,,,,,אחווה,)xwwh,proper name Personal name,
wr',"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 5",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
z(yr),"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 6",PN Personal name,,,,,,,,,זעירא,z(yr),proper name Personal name,
w)b),"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 7",noun sg. emphatic,c,,,,father,"and, also",,,ואבא,w_,noun sg. emphatic | conjunction,"father | and, also"
hwh,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 8",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)m',"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 9",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 10",p01,,,,,,,,,ליה,l_,preposition independent,
b$M,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 11",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
r',"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 12",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
y$m()l,"Masekhet: 5330009, Page: 57, Side: a, Line: 49, Word: 13",PN Personal name,,,,,,,,,ישמעאל,y$m()l,proper name Personal name,
mplygyN,"Masekhet: 5330009, Page: 57, Side: a, Line: 59, Word: 0",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",מפליגין,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
)ty),"Masekhet: 5330009, Page: 57, Side: b, Line: 09, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתיא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
dr',"Masekhet: 5330009, Page: 57, Side: b, Line: 09, Word: 1",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ywsy,"Masekhet: 5330009, Page: 57, Side: b, Line: 09, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
kr',"Masekhet: 5330009, Page: 57, Side: b, Line: 09, Word: 3",p02,N,,,,like,chief; teacher,,,כר',rby#2 rby#2 noun sg. abs. or construct,preposition with pronominal suffix | noun,like | chief; teacher
