text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
r',"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
xgyy,"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 1",PN Personal name,,,,,,,,,חגיי,xgyy,proper name Personal name,
$)l,"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 2",verb G,,,,,to ask,to ask for something,,,שאל,$)l,verb peal,to ask | to ask for something
lxbryyh,"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 3",p03,noun pl. emphatic,,,,comrade,,,,לחברייה,xbr,preposition proclitic | noun pl. emphatic,comrade
)wP,"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 0",c,,,,,"also, even",,,,אוף,)wp )wp c,conjunction,"also, even"
)n),"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 1",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I
crykh,"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 2",A01 C,,,,,poor; needy,,,,צריכה,cryk,adjective singular absolute or construct (h)aphel,poor; needy
ly,"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 3",p02 C,,,,,,,,,לי,l_,preposition with pronominal suffix (h)aphel,
)n),"Masekhet: 5330038, Page: 45, Side: c, Line: 61, Word: 0",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I
cryk),"Masekhet: 5330038, Page: 45, Side: c, Line: 61, Word: 1",A01 C,,,,,poor; needy,,,,צריכא,cryk,adjective singular absolute or construct (h)aphel,poor; needy
ly,"Masekhet: 5330038, Page: 45, Side: c, Line: 61, Word: 2",p02 C,,,,,,,,,לי,l_,preposition with pronominal suffix (h)aphel,
)m',"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 1",p02 C,,,,,,,,,לון,l_,preposition with pronominal suffix (h)aphel,
{nym),"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 2",No data,,,,,,,,,{נימא,None,No data,
lkwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 3",No data,,,,,,,,,לכון,None,No data,
mynN}<nmr,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מינן}נמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lkwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 5",p02 C,,,,,,,,,לכון,l_,preposition with pronominal suffix (h)aphel,
)n{N}<)>#09#>,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 6",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I
""")w","Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 7",No data,,,,,,,,,או,None,No data,
hwd(,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 8",No data,,,,,,,,,הודע,None,No data,
)lyw,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 9",No data,,,,,,,,,אליו,None,No data,
xT)tw,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 10",No data,,,,,,,,,חטאתו,None,No data,
"whby)""","Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 11",No data,,,,,,,,,והביא,None,No data,
()l,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 12",verb G,,,,,to enter,w.,:  to have sexual relations with,"+ in years, days : to be advanced in age",עאל,(ll,verb peal,"to enter | w. | :  to have sexual relations with | + in years, days : to be advanced in age"
r',"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 13",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 14",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
)mryN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 15",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 16",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
q$y,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 17",verb D,,,,,to harden,to treat hard,to do with great difficulty,to make heavy,קשי,q$y,verb pael,to harden | to treat hard | to do with great difficulty | to make heavy
lN,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 0",p02 C,,,,,,,,,לן,l_,preposition with pronominal suffix (h)aphel,
hd),"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 1",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
mylt),"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 2",N,,,,,"word, speech; thing",,,,מילתא,mylh mylh noun sg. emphatic,noun,"word, speech; thing"
)m',"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 4",p02 C,,,,,,,,,לון,l_,preposition with pronominal suffix (h)aphel,
wlmh,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 5",c,c,,,,why?,"and, also",,,ולמה,w_,conjunction | conjunction,"why? | and, also"
l),"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 6",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)gybtwnyh,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 7",verb C,,,,,to answer,,,,אגיבתוניה,gwb,verb (h)aphel,to answer
mN,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 8",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 9",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
""")w","Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 10",No data,,,,,,,,,או,None,No data,
hwd(,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 11",No data,,,,,,,,,הודע,None,No data,
)lyw,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 12",No data,,,,,,,,,אליו,None,No data,
"xT)tw""","Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 13",No data,,,,,,,,,חטאתו,None,No data,
"""whby)""","Masekhet: 5330038, Page: 45, Side: d, Line: 01, Word: 0",No data,,,,,,,,,והביא,None,No data,
