text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hd),"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 0",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
)mrh,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
)ylyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 2",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
dknsyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 3",c,verb G,,,,"to gather, collect",to take a wife,,,דכנסין,kns,conjunction | verb peal,"to gather, collect | to take a wife"
)rmlN,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 4",noun pl. absolute,,,,,widow,,,,ארמלן,)rmlh,noun pl. absolute,widow
"""cryK","Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 5",No data,,,,,,,,,צריך,None,No data,
lkwnsh,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 6",No data,,,,,,,,,לכונסה,None,No data,
"mb(wd""","Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 7",No data,,,,,,,,,מבעוד,None,No data,
"""ywM","Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 0",No data,,,,,,,,,יום,None,No data,
$l),"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 1",No data,,,,,,,,,שלא,None,No data,
yh),"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 2",No data,,,,,,,,,יהא,None,No data,
kqwnh,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 3",No data,,,,,,,,,כקונה,None,No data,
qnyyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 4",No data,,,,,,,,,קניין,None,No data,
b$bt,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 5",No data,,,,,,,,,בשבת,None,No data,
r',"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 6",No data,,,,,,,,,ר',None,No data,
"l(zr""","Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 7",No data,,,,,,,,,לעזר,None,No data,
myyty,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 8",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,מייתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
lh,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 9",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
T(M,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 10",verb G,,,,,to taste,"to eat, dine",,,טעם,T(m,verb peal,"to taste | to eat, dine"
dmtny',"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 11",p,noun sg. emphatic,,,,tannaitic tradition,,,,דמתני',mtny,preposition | noun sg. emphatic,tannaitic tradition
"""$)M","Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 12",No data,,,,,,,,,שאם,None,No data,
hyh,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 13",No data,,,,,,,,,היה,None,No data,
"lw""","Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 14",No data,,,,,,,,,לו,None,No data,
"""T(nt","Masekhet: 5330026, Page: 24, Side: d, Line: 36, Word: 0",No data,,,,,,,,,טענת,None,No data,
btwlyM,"Masekhet: 5330026, Page: 24, Side: d, Line: 36, Word: 1",No data,,,,,,,,,בתולים,None,No data,
hyh,"Masekhet: 5330026, Page: 24, Side: d, Line: 36, Word: 2",No data,,,,,,,,,היה,None,No data,
m$kyM,"Masekhet: 5330026, Page: 24, Side: d, Line: 36, Word: 3",No data,,,,,,,,,משכים,None,No data,
lbyt,"Masekhet: 5330026, Page: 24, Side: d, Line: 36, Word: 4",No data,,,,,,,,,לבית,None,No data,
"dyN""","Masekhet: 5330026, Page: 24, Side: d, Line: 36, Word: 5",No data,,,,,,,,,דין,None,No data,
lyt,"Masekhet: 5330026, Page: 24, Side: d, Line: 40, Word: 0",verb G,,,,,,,,,לית,lyt,verb peal,
ykwl,"Masekhet: 5330026, Page: 24, Side: d, Line: 40, Word: 1",verb G,,,,,to eat,to consume,to enjoy the usufruct of something,in idioms,יכול,)kl,verb peal,to eat | to consume | to enjoy the usufruct of something | in idioms
"""qyd$h","Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 0",No data,,,,,,,,,קידשה,None,No data,
"bxwph""","Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 1",No data,,,,,,,,,בחופה,None,No data,
lyt,"Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 2",verb G,,,,,,,,,לית,lyt,verb peal,
lyh,"Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 3",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
b)ylyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 4",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
^q^nsyy),"Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 5",noun pl. emphatic,,,,,fine,,,,קנסייא,qns,noun pl. emphatic,fine
)mryN,"Masekhet: 5330026, Page: 24, Side: d, Line: 45, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330026, Page: 24, Side: d, Line: 46, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
mtnyh,"Masekhet: 5330026, Page: 24, Side: d, Line: 46, Word: 1",PN Personal name,,,,,,,,,מתניה,mtnyh,proper name Personal name,
