text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hwynN,"Masekhet: 5330004, Page: 26, Side: d, Line: 46, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוינן,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
mT(y,"Masekhet: 5330004, Page: 26, Side: d, Line: 46, Word: 1",verb G,,,,,"to wander, stray",to err,"fem. +. d.o.: to be forgotten by, escape notice of",to forget,מטעי,T(y,verb peal,"to wander, stray | to err | fem. +. d.o.: to be forgotten by, escape notice of | to forget"
{w}mtny,"Masekhet: 5330004, Page: 26, Side: d, Line: 46, Word: 2",noun sg. abs. or construct,,,,,tannaitic tradition,,,,מתני,mtny,noun sg. abs. or construct,tannaitic tradition
"""kl)yM""","Masekhet: 5330004, Page: 26, Side: d, Line: 46, Word: 3",No data,,,,,,,,,כלאים,None,No data,
mh,"Masekhet: 5330004, Page: 26, Side: d, Line: 50, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
drbnyN,"Masekhet: 5330004, Page: 26, Side: d, Line: 50, Word: 1",p,noun pl. emphatic,,,,chief; teacher,,,,דרבנין,rb,preposition | noun pl. emphatic,chief; teacher
sbryN,"Masekhet: 5330004, Page: 26, Side: d, Line: 50, Word: 2",verb G,,,,,to have thoughts,idioms:,,,סברין,sbr,verb peal,to have thoughts | idioms:
mymr,"Masekhet: 5330004, Page: 26, Side: d, Line: 50, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
whwh,"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 0",verb G,c,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,והוה,w_,verb peal | conjunction,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
mstkl,"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 1",verb Dt,,,,,to err,to become confused,,,מסתכל,skl,verb ethpaal,to err | to become confused
byh,"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 2",p02 C,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix (h)aphel,"in, with"
)m',"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 4",p01,,,,,,,,,ליה,l_,preposition independent,
mh,"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 5",P01,,,,,what?,,,,מה,mh,preposition independent,what?
)t,"Masekhet: 5330004, Page: 26, Side: d, Line: 60, Word: 6",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.)
mstkl,"Masekhet: 5330004, Page: 26, Side: d, Line: 61, Word: 0",verb Dt,,,,,to err,to become confused,,,מסתכל,skl,verb ethpaal,to err | to become confused
by,"Masekhet: 5330004, Page: 26, Side: d, Line: 61, Word: 1",p02 C,,,,,"in, with",,,,בי,b_,preposition with pronominal suffix (h)aphel,"in, with"
{h),"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 0",No data,,,,,,,,,{הא,None,No data,
kN}<hkN>,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 1",a01,,,,,"so, thus",,,,כן}הכן,hkyn,a01,"so, thus"
hwh,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 2",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
cryK,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 3",A01,,,,,poor; needy,,,,צריך,cryk,adjective singular absolute or construct,poor; needy
mstkl,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 4",verb Dt,,,,,to err,to become confused,,,מסתכל,skl,verb ethpaal,to err | to become confused
byh,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 5",p02 C,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix (h)aphel,"in, with"
kd,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 6",c,,,,,when,,,,כד,kd,conjunction,when
hwwN,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 7",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
rbnyN,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 8",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher
qdm)yy,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 9",A05 C,,,,,first,,,,קדמאיי,qdmy,adjective plural determined (h)aphel,first
b(wN,"Masekhet: 5330004, Page: 26, Side: d, Line: 62, Word: 10",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעון,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
