text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)yt,"Masekhet: 5330007, Page: 48, Side: c, Line: 49, Word: 0",verb G,,,,,,,,,אית,)yt,verb peal,
db(y,"Masekhet: 5330007, Page: 48, Side: c, Line: 49, Word: 1",verb G,c,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דבעי,d_ d_ c,verb peal | conjunction,"to seek, look for | to ask a question | to wish for something, want, request | to require"
my$m(ynh,"Masekhet: 5330007, Page: 48, Side: c, Line: 49, Word: 2",verb G,,,,,to hear (w. d.o. or,) something,to listen,,מישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330007, Page: 48, Side: c, Line: 50, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330007, Page: 48, Side: c, Line: 50, Word: 1",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
r',"Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywnh,"Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 1",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
mpyq,"Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 2",verb C,,,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,מפיק,npq,verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
ly$n),"Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 3",N,,,,,tongue,,,,לישנא,ly$n ly$n noun sg. emphatic,noun,tongue
"""bzkh","Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 4",No data,,,,,,,,,בזכה,None,No data,
b$dh,"Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 5",No data,,,,,,,,,בשדה,None,No data,
hbqr,"Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 6",No data,,,,,,,,,הבקר,None,No data,
"wgydwlyh""","Masekhet: 5330007, Page: 48, Side: d, Line: 09, Word: 7",No data,,,,,,,,,וגידוליה,None,No data,
r',"Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywnh,"Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 1",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
mpyq,"Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 2",verb C,,,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,מפיק,npq,verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
ly$n),"Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 3",N,,,,,tongue,,,,לישנא,ly$n ly$n noun sg. emphatic,noun,tongue
"""mpny","Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 4",No data,,,,,,,,,מפני,None,No data,
$)rC,"Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 5",No data,,,,,,,,,שארץ,None,No data,
"pwlTtN""","Masekhet: 5330007, Page: 48, Side: d, Line: 12, Word: 6",No data,,,,,,,,,פולטתן,None,No data,
w(wd,"Masekhet: 5330007, Page: 48, Side: d, Line: 18, Word: 0",a01 C,c,,,,still; again,"and, also",,,ועוד,w_,a01 (h)aphel | conjunction,"still; again | and, also"
mN,"Masekhet: 5330007, Page: 48, Side: d, Line: 18, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
hdh,"Masekhet: 5330007, Page: 48, Side: d, Line: 18, Word: 2",P01,,,,,this (f.),,,,הדה,hd),preposition independent,this (f.)
dtny,"Masekhet: 5330007, Page: 48, Side: d, Line: 18, Word: 3",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
mh,"Masekhet: 5330007, Page: 48, Side: d, Line: 24, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
)yt,"Masekhet: 5330007, Page: 48, Side: d, Line: 24, Word: 1",verb G,,,,,,,,,אית,)yt,verb peal,
lK,"Masekhet: 5330007, Page: 48, Side: d, Line: 24, Word: 2",p01,,,,,,,,,לך,l_,preposition independent,
khd),"Masekhet: 5330007, Page: 48, Side: d, Line: 24, Word: 3",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
dtnynN,"Masekhet: 5330007, Page: 48, Side: d, Line: 24, Word: 4",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתנינן,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
