text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
lyt,"Masekhet: 5330021, Page: 69, Side: d, Line: 63, Word: 0",verb G,,,,,,,,,לית,lyt,verb peal,
ykyl,"Masekhet: 5330021, Page: 69, Side: d, Line: 63, Word: 1",verb G,,,,,to be able (capability),to overpower,(in prohibitive clauses) : to be empowered,,יכיל,ykl,verb peal,to be able (capability) | to overpower | (in prohibitive clauses) : to be empowered
wlmh,"Masekhet: 5330021, Page: 70, Side: a, Line: 16, Word: 0",c,c,,,,why?,"and, also",,,ולמה,w_,conjunction | conjunction,"why? | and, also"
lynN,"Masekhet: 5330021, Page: 70, Side: a, Line: 16, Word: 1",verb G,,,,,,,,,לינן,lyt,verb peal,
)mryN,"Masekhet: 5330021, Page: 70, Side: a, Line: 16, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
h),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 0",I01 C,,,,,here! look!,,,,הא,h),I01 (h)aphel,here! look!
tlt),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 1",n01 C,,,,,three,,,,תלתא,tlt,numeral singular absolute or construct (h)aphel,three
tnyyN,"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 2",N,,,,,tanna,,,,תניין,tnyy#2 tnyy#2 noun pl. absolute,noun,tanna
tnyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 3",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna
qdmyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 4",A02 C,,,,,first,,,,קדמייא,qdmy,adjective singular determined (h)aphel,first
sbr,"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 5",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
mymr,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""mymwt","Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 1",No data,,,,,,,,,מימות,None,No data,
yhw$(,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 2",No data,,,,,,,,,יהושע,None,No data,
bN,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 3",No data,,,,,,,,,בן,None,No data,
"nwN""","Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 4",No data,,,,,,,,,נון,None,No data,
tnyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 5",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna
)xryy),"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 6",A02,,,,,"final, last",,,,אחרייא,)xry,adjective singular determined,"final, last"
sbr,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 7",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
mymr,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""mymwt","Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 9",No data,,,,,,,,,מימות,None,No data,
")x$wrw$""","Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 10",No data,,,,,,,,,אחשורוש,None,No data,
tnyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 11",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna
)xryy),"Masekhet: 5330021, Page: 70, Side: a, Line: 29, Word: 0",A02,,,,,"final, last",,,,אחרייא,)xry,adjective singular determined,"final, last"
sbr,"Masekhet: 5330021, Page: 70, Side: a, Line: 29, Word: 1",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
mymr,"Masekhet: 5330021, Page: 70, Side: a, Line: 29, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""(yr","Masekhet: 5330021, Page: 70, Side: a, Line: 29, Word: 3",No data,,,,,,,,,עיר,None,No data,
mkl,"Masekhet: 5330021, Page: 70, Side: a, Line: 29, Word: 4",No data,,,,,,,,,מכל,None,No data,
"mqwM""","Masekhet: 5330021, Page: 70, Side: a, Line: 29, Word: 5",No data,,,,,,,,,מקום,None,No data,
kgwN,"Masekhet: 5330021, Page: 70, Side: a, Line: 32, Word: 0",p01 C,,,,,"like, as",,,,כגון,kgwn,preposition independent (h)aphel,"like, as"
hd),"Masekhet: 5330021, Page: 70, Side: a, Line: 32, Word: 1",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
xmth,"Masekhet: 5330021, Page: 70, Side: a, Line: 32, Word: 2",GN Geographic name,,,,,,,,,חמתה,xmth,geographical name Geographic name,
mN,"Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 1",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
"""w(ry","Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 2",No data,,,,,,,,,וערי,None,No data,
mbcr,"Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 3",No data,,,,,,,,,מבצר,None,No data,
hcdyM,"Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 4",No data,,,,,,,,,הצדים,None,No data,
cr,"Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 5",No data,,,,,,,,,צר,None,No data,
"wxmt""","Masekhet: 5330021, Page: 70, Side: a, Line: 33, Word: 6",No data,,,,,,,,,וחמת,None,No data,
"""rqt","Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 0",No data,,,,,,,,,רקת,None,No data,
wkynrt,"Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 1",No data,,,,,,,,,וכינרת,None,No data,
hcydyM,"Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 2",No data,,,,,,,,,הצידים,None,No data,
kpr xyTyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 3",No data,,,,,,,,,כפר חיטייא,None,No data,
"cr""","Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 4",No data,,,,,,,,,צר,None,No data,
dsmykh,"Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 5",c,A01,,,,leaning; adjacent,,,,דסמיכה,smyk,conjunction | adjective singular absolute or construct,leaning; adjacent
lh,"Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 6",p01,,,,,,,,,לה,l_,preposition independent,
"""xmt","Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 7",No data,,,,,,,,,חמת,None,No data,
xmth,"Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 8",No data,,,,,,,,,חמתה,None,No data,
"rqt""","Masekhet: 5330021, Page: 70, Side: a, Line: 34, Word: 9",No data,,,,,,,,,רקת,None,No data,
"""Tybry)","Masekhet: 5330021, Page: 70, Side: a, Line: 35, Word: 0",No data,,,,,,,,,טיבריא,None,No data,
knrt,"Masekhet: 5330021, Page: 70, Side: a, Line: 35, Word: 1",No data,,,,,,,,,כנרת,None,No data,
"gnysr""","Masekhet: 5330021, Page: 70, Side: a, Line: 35, Word: 2",No data,,,,,,,,,גניסר,None,No data,
)yt),"Masekhet: 5330021, Page: 70, Side: a, Line: 37, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,איתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
xmy,"Masekhet: 5330021, Page: 70, Side: a, Line: 37, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמי,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
"""bw","Masekhet: 5330021, Page: 70, Side: a, Line: 37, Word: 2",No data,,,,,,,,,בו,None,No data,
)ynN,"Masekhet: 5330021, Page: 70, Side: a, Line: 37, Word: 3",No data,,,,,,,,,אינן,None,No data,
"qwryN""","Masekhet: 5330021, Page: 70, Side: a, Line: 37, Word: 4",No data,,,,,,,,,קורין,None,No data,
"""wbxwch","Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 0",No data,,,,,,,,,ובחוצה,None,No data,
lw,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 1",No data,,,,,,,,,לו,None,No data,
qwryN,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 2",No data,,,,,,,,,קורין,None,No data,
"xzqyh""","Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 3",No data,,,,,,,,,חזקיה,None,No data,
qry,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 4",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",קרי,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
lh,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 5",p01,,,,,,,,,לה,l_,preposition independent,
"""b)rb(h","Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 6",No data,,,,,,,,,בארבעה,None,No data,
($r,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 7",No data,,,,,,,,,עשר,None,No data,
wbxm$h,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 8",No data,,,,,,,,,ובחמשה,None,No data,
"($r""","Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 9",No data,,,,,,,,,עשר,None,No data,
dw,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 10",c,P01 C,,,,he,,,,דו,hw),conjunction | preposition independent (h)aphel,he
x$$,"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 11",verb G,,,,,"to sense, to feel","to suffer, be ill",to care about,,חשש,x$$,verb peal,"to sense, to feel | to suffer, be ill | to care about"
lhy),"Masekhet: 5330021, Page: 70, Side: a, Line: 38, Word: 12",P01 C,p03,,,,that one (f.),,,,להיא,l_,preposition independent (h)aphel | preposition proclitic,that one (f.)
dtny,"Masekhet: 5330021, Page: 70, Side: a, Line: 39, Word: 0",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
r',"Masekhet: 5330021, Page: 70, Side: a, Line: 39, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
$m(wN,"Masekhet: 5330021, Page: 70, Side: a, Line: 39, Word: 2",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
"""bN""","Masekhet: 5330021, Page: 70, Side: a, Line: 39, Word: 3",No data,,,,,,,,,בן,None,No data,
ywxy,"Masekhet: 5330021, Page: 70, Side: a, Line: 39, Word: 4",PN Personal name,,,,,,,,,יוחי,ywxy,proper name Personal name,
r',"Masekhet: 5330021, Page: 70, Side: a, Line: 40, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330021, Page: 70, Side: a, Line: 40, Word: 1",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
qry,"Masekhet: 5330021, Page: 70, Side: a, Line: 40, Word: 2",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",קרי,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
lh,"Masekhet: 5330021, Page: 70, Side: a, Line: 40, Word: 3",p01,,,,,,,,,לה,l_,preposition independent,
