text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
ny$m(ynh,"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,נישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 2",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
)q({^x^}bryy)l(,"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 3",PN Personal name,,,,,,,,,אקעברייאלע,)q(bryy)l(,proper name Personal name,
ngb,"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 4",verb G,,,,,to dry up (intrans.),,,,נגב,ngb,verb peal,to dry up (intrans.)
qwmy,"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 5",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before
mw(d),"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 6",noun sg. emphatic,,,,,holiday,,,,מועדא,mw(d,noun sg. emphatic,holiday
tlt),"Masekhet: 5330023, Page: 80, Side: a, Line: 54, Word: 7",n01 C,,,,,three,,,,תלתא,tlt,numeral singular absolute or construct (h)aphel,three
ywmyN,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 0",noun pl. absolute,,,,,day,,,,יומין,ywm,noun pl. absolute,day
xzr,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 1",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
bmw(d),"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 2",p02,noun sg. emphatic,,,,"in, with",holiday,,,במועדא,mw(d,preposition with pronominal suffix | noun sg. emphatic,"in, with | holiday"
)t),"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
(wbdh,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 4",noun sg. emphatic,,,,,"act, deed",,,,עובדה,(wbd,noun sg. emphatic,"act, deed"
qwmy,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 5",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before
rb,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 6",noun sg. abs. or construct,,,,,chief; teacher,,,,רב,rb,noun sg. abs. or construct,chief; teacher
xwnh,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 7",PN Personal name,,,,,,,,,חונה,xwnh,proper name Personal name,
w)m',"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 8",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
)ylyN,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 9",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
d)kx$yN,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 10",c,verb C,,,,to cause deterioration,to contradict,,,דאכחשין,kx$,conjunction | verb (h)aphel,to cause deterioration | to contradict
^y^$tyyN,"Masekhet: 5330023, Page: 80, Side: a, Line: 55, Word: 11",verb G,,,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,ישתיין,$ty,verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco"
)ylyN,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 0",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
dl),"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 1",c,a01,,,,"no, not",,,,דלא,l),conjunction | a01,"no, not"
)kx$yN,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 2",verb C,,,,,to cause deterioration,to contradict,,,אכחשין,kx$,verb (h)aphel,to cause deterioration | to contradict
l),"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 3",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
y$tyyN,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 4",verb G,,,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,ישתיין,$ty,verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco"
r',"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 5",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywnh,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 6",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
wr',"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 7",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
ywsy,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 8",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
hwrwN,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 9",verb C,,,,,to teach,to make a legal decision,,,הורון,yry,verb (h)aphel,to teach | to make a legal decision
bhd),"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 10",p02,P01,,,,"in, with",this (f.),,,בהדא,hd),preposition with pronominal suffix | preposition independent,"in, with | this (f.)"
mqrt,"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 11",noun sg. emphatic,,,,,store room; cool place,,,,מקרת,mqrh,noun sg. emphatic,store room; cool place
dcylyy),"Masekhet: 5330023, Page: 80, Side: a, Line: 56, Word: 12",noun pl. emphatic,p,,,,(??),,,,דצילייא,d_ d_ p,noun pl. emphatic | preposition,(??)
dhwwt,"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 0",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דהוות,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
zry(h,"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 1",verb G,,,,,to sow,to beget,fig. : to scatter like seed,,זריעה,zr(,verb peal,to sow | to beget | fig. : to scatter like seed
s(ryN,"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 2",N,,,,,barley,,,,סערין,&(rh &(rh noun pl. absolute,noun,barley
myxcdynwN,"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 3",verb G,,,,,"to reap, to harvest",,,,מיחצדינון,xcd,verb peal,"to reap, to harvest"
bmw(d),"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 4",p02,noun sg. emphatic,,,,"in, with",holiday,,,במועדא,mw(d,preposition with pronominal suffix | noun sg. emphatic,"in, with | holiday"
dl),"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 5",c,a01,,,,"no, not",,,,דלא,l),conjunction | a01,"no, not"
ypq(N,"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 6",verb G,,,,,"to split, to burst (trans.)",to burst open (intrans.),,,יפקען,pq(,verb peal,"to split, to burst (trans.) | to burst open (intrans.)"
wyybdN,"Masekhet: 5330023, Page: 80, Side: a, Line: 57, Word: 7",verb G,c,,,,"to be lost, disappear",to perish,to be deprived of (w. d.o. or,),וייבדן,w_,verb peal | conjunction,"to be lost, disappear | to perish | to be deprived of (w. d.o. or | )"
w)yt,"Masekhet: 5330023, Page: 80, Side: a, Line: 62, Word: 0",verb G,c,,,,,,,,ואית,w_,verb peal | conjunction,
db(y,"Masekhet: 5330023, Page: 80, Side: a, Line: 62, Word: 1",verb G,c,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דבעי,d_ d_ c,verb peal | conjunction,"to seek, look for | to ask a question | to wish for something, want, request | to require"
my$m(ynh,"Masekhet: 5330023, Page: 80, Side: a, Line: 62, Word: 2",verb G,,,,,to hear (w. d.o. or,) something,to listen,,מישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330023, Page: 80, Side: a, Line: 62, Word: 3",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330023, Page: 80, Side: a, Line: 62, Word: 4",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
""")wtN","Masekhet: 5330023, Page: 80, Side: a, Line: 63, Word: 0",No data,,,,,,,,,אותן,None,No data,
$b(t,"Masekhet: 5330023, Page: 80, Side: a, Line: 63, Word: 1",No data,,,,,,,,,שבעת,None,No data,
ymyM,"Masekhet: 5330023, Page: 80, Side: a, Line: 63, Word: 2",No data,,,,,,,,,ימים,None,No data,
"h)xrwnyM""","Masekhet: 5330023, Page: 80, Side: a, Line: 63, Word: 3",No data,,,,,,,,,האחרונים,None,No data,
l),"Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
mstbr),"Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 1",verb Gt,,,,,"to be reasonable, seem to be the case",to be considered,to have hope for,,מסתברא,sbr,verb ethpeel,"to be reasonable, seem to be the case | to be considered | to have hope for"
my(bdynwN,"Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 2",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,מיעבדינון,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
"""b$b(t","Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 3",No data,,,,,,,,,בשבעת,None,No data,
ymy,"Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 4",No data,,,,,,,,,ימי,None,No data,
hrgl,"Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 5",No data,,,,,,,,,הרגל,None,No data,
wyhyw,"Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 6",No data,,,,,,,,,ויהיו,None,No data,
")swryN""","Masekhet: 5330023, Page: 80, Side: a, Line: 64, Word: 7",No data,,,,,,,,,אסורין,None,No data,
)gTrgTyy),"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 0",noun pl. emphatic,,,,,"cataract, waterfall",,,,אגטרגטייא,)gTrgT,noun pl. emphatic,"cataract, waterfall"
mh,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 1",P01,,,,,what?,,,,מה,mh,preposition independent,what?
)t,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 2",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.)
(byd,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 3",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עביד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
lwN,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 4",p02,,,,,,,,,לון,l_,preposition with pronominal suffix,
"""kmy","Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 5",No data,,,,,,,,,כמי,None,No data,
qylwN,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 6",No data,,,,,,,,,קילון,None,No data,
)w,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 7",No data,,,,,,,,,או,None,No data,
)ynN,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 8",No data,,,,,,,,,אינן,None,No data,
kmy,"Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 9",No data,,,,,,,,,כמי,None,No data,
"qylwN""","Masekhet: 5330023, Page: 80, Side: b, Line: 08, Word: 10",No data,,,,,,,,,קילון,None,No data,
ptr,"Masekhet: 5330023, Page: 80, Side: b, Line: 24, Word: 0",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain"
lh,"Masekhet: 5330023, Page: 80, Side: b, Line: 24, Word: 1",p01,,,,,,,,,לה,l_,preposition independent,
tryN,"Masekhet: 5330023, Page: 80, Side: b, Line: 24, Word: 2",b,,,,,two,,,,תרין,tryyn tryyn n01 C,b,two
ptryN,"Masekhet: 5330023, Page: 80, Side: b, Line: 24, Word: 3",noun pl. absolute,,,,,explanation,,,,פתרין,ptr,noun pl. absolute,explanation
ptr,"Masekhet: 5330023, Page: 80, Side: b, Line: 29, Word: 0",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain"
lh,"Masekhet: 5330023, Page: 80, Side: b, Line: 29, Word: 1",p01,,,,,,,,,לה,l_,preposition independent,
ptr,"Masekhet: 5330023, Page: 80, Side: b, Line: 29, Word: 2",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain"
xwrN,"Masekhet: 5330023, Page: 80, Side: b, Line: 29, Word: 3",P01 C,,,,,other,,,,חורן,)wxrn,preposition independent (h)aphel,other
r',"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
byr',"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 2",noun sg. abs. or construct,,,,,important person,,,,ביר',byrby,noun sg. abs. or construct,important person
bwN,"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 3",PN Personal name,,,,,,,,,בון,bwN,proper name Personal name,
)m',"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
)ylyN,"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 5",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
$mw(t),"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 6",noun sg. emphatic,,,,,reported news; hearing,,,,שמועתא,$mw(h,noun sg. emphatic,reported news; hearing
dhk),"Masekhet: 5330023, Page: 80, Side: b, Line: 36, Word: 7",c,a01 C,,,,here,,,,דהכא,hkh,conjunction | a01 (h)aphel,here
