text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
yyb),"Masekhet: 5330008, Page: 52, Side: c, Line: 02, Word: 0",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is
khd),"Masekhet: 5330008, Page: 52, Side: c, Line: 02, Word: 1",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
)w,"Masekhet: 5330008, Page: 52, Side: c, Line: 07, Word: 0",c,,,,,or,,,,או,)w,conjunction,or
yyb),"Masekhet: 5330008, Page: 52, Side: c, Line: 07, Word: 1",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is
khd),"Masekhet: 5330008, Page: 52, Side: c, Line: 07, Word: 2",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
r',"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
b),"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 1",PN Personal name,,,,,,,,,בא,b),proper name Personal name,
r',"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)my,"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 3",PN Personal name,,,,,,,,,אמי,)my,proper name Personal name,
hwwN,"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ytybyN,"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 5",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתיבין,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited
bcwr,"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 6",p02,GN Geographic name,,,,"in, with",,,,בצור,cwr,preposition with pronominal suffix | geographical name Geographic name,"in, with"
)t),"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 7",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
(wbd),"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 8",noun sg. emphatic,,,,,"act, deed",,,,עובדא,(wbd,noun sg. emphatic,"act, deed"
qwmyhwN,"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 9",p02 C,,,,,before,,,,קומיהון,qwmy,preposition with pronominal suffix (h)aphel,before
whwry,"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 10",c,verb C,,,,to teach,to make a legal decision,,,והורי,yry,conjunction | verb (h)aphel,to teach | to make a legal decision
r',"Masekhet: 5330008, Page: 52, Side: c, Line: 10, Word: 11",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
