text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
gr$,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 0",noun sg. abs. or construct,,,,,continuation,,,,גרש,gr$,noun sg. abs. or construct,continuation
r)$h,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 1",N,,,,,head; top; chief,,,,ראשה,r)$ r)$ noun sg. emphatic,noun,head; top; chief
"d""ndryM""","Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 2",No data,,,,,,,,,דנדרים,None,No data,
qdmyt),"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 3",A02 C,,,,,first,,,,קדמיתא,qdmy,adjective singular determined (h)aphel,first
(d dmTy,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 4",p01 C,,,,,as far as,,,,עד דמטי,(d@mTy,preposition independent (h)aphel,as far as
)$kx,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 5",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
tny,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 6",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
rby,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 7",N,,,,,chief; teacher,,,,רבי,rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
y$m()l,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 8",PN Personal name,,,,,,,,,ישמעאל,y$m()l,proper name Personal name,
hd),"Masekhet: 5330029, Page: 51, Side: a, Line: 53, Word: 0",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
hy),"Masekhet: 5330029, Page: 51, Side: a, Line: 53, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
qdmyyt),"Masekhet: 5330029, Page: 51, Side: a, Line: 53, Word: 2",A02 C,,,,,first,,,,קדמייתא,qdmy,adjective singular determined (h)aphel,first
"""whtny","Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 0",No data,,,,,,,,,והתני,None,No data,
br qpr),"Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 1",PN Personal name,,,,,,,,,בר קפרא,!,proper name Personal name,
"xrs""","Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 2",No data,,,,,,,,,חרס,None,No data,
l),"Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 3",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
xsp),"Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 4",noun sg. emphatic,,,,,baked clay,,,,חספא,xsp,noun sg. emphatic,baked clay
"""l$wN","Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 0",No data,,,,,,,,,לשון,None,No data,
nywwty,"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 1",No data,,,,,,,,,ניוותי,None,No data,
"hw)""","Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 2",No data,,,,,,,,,הוא,None,No data,
d)ynwN,"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 3",c,R,,,,they,,,,דאינון,hynwn hynwn P01 C,conjunction | R,they
qryy,"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 4",noun pl. absolute,,,,,biblical verse,,,,קריי,qrh,noun pl. absolute,biblical verse
lxsp),"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 5",p03,noun sg. emphatic,,,,baked clay,,,,לחספא,xsp,preposition proclitic | noun sg. emphatic,baked clay
ksp),"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 6",noun sg. emphatic,,,,,sherd (dial.),,,,כספא,ksp#2,noun sg. emphatic,sherd (dial.)
hyy {d}<l>N,"Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 0",R,,,,,which ones,,,,היי לן,hyylyn hyylyn P01 C,R,which ones
)ynwN,"Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 1",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they
"""kynwyy","Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 2",No data,,,,,,,,,כינויי,None,No data,
"kynwyyN""...","Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 3",No data,,,,,,,,,כינויין,None,No data,
mnzq<n>),"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 0",verb D,,,,,,,,,מנזקנא,nzq#2,verb pael,
mnzyqn),"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 1",verb D,,,,,,,,,מנזיקנא,nzq#2,verb pael,
mpxzn),"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 2",verb D,,,,,artificial word for oath,,,,מפחזנא,pxz#2,verb pael,artificial word for oath
""")mr","Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 3",No data,,,,,,,,,אמר,None,No data,
r',"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 4",No data,,,,,,,,,ר',None,No data,
ywsh,"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 5",No data,,,,,,,,,יוסה,None,No data,
)yN,"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 6",No data,,,,,,,,,אין,None,No data,
)ylw,"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 7",No data,,,,,,,,,אילו,None,No data,
